culture,earth_NS,earth_EW,earth_notes,color,color_dark
arabic,18.2672,42.3681,Arabian desert,#7d963a,#7d963a
arabic_moon_stations,18.2672,42.3681,Arabian desert,#7d963a,#7d963a
armintxe,43.361944,-2.508056,Armintxe Cave,#ef9f30,#ef9f30
aztec,19.433333,-99.133333,Mexico City (Tenochtitlan),#315c93,#fdd190
belarusian,53.916667,27.55,Minsk,#a9bbca,#a9bbca
boorong,-35.343889,142.833333,Lake Tyrrell,#7eb9cb,#7eb9cb
chinese_medieval,39.916667,116.383333,Beijing,#e36856,#e36856
dakota,46.813333,-100.778889,North Dakota,#303258,#d56a88
egyptian,30.033333,31.216667,Cairo,#91b6a8,#91b6a8
hawaiian_starlines,21.3,-157.816667,Honolulu,#1e8871,#1e8871
indian,28.613889,77.208333,New Delhi,#d56a88,#d56a88
inuit,63.748611,-68.519722,Iqaluit,#b5a63f,#b5a63f
japanese_moon_stations,35.683333,139.766667,Tokyo,#e8d668,#e8d668
kamilaroi,-31.083333,150.916667,Tamworth,#773b76,#ece4cf
korean,37.566667,126.966667,Seoul,#2f8cae,#5475ba
lokono,10.5,-66.916667,Caracas,#f6b8bb,#f6b8bb
macedonian,40.483333,22.316667,Vergina,#bdb6a9,#bdb6a9
maori,-41.288889,174.777222,Wellington,#454341,#ffeb34
maya,14.613333,-90.535278,Guatemala City,#caaba9,#caaba9
mongolian,47.920278,106.917222,Ulaanbaatar,#67422f,#a9baca
mulapin,32.536389,44.420833,Babylon,#f38b88,#f38b88
navajo,35.672778,-109.062222,Window Rock,#6c7363,#ebf5f7
norse,59.933333,10.683333,Oslo,#f4d2b7,#f4d2b7
northern_andes,7.133333,-73,Bucaramanga,#c3cf00,#c3cf00
ojibwe,46.816667,-71.216667,Quebec City,#877b93,#877b93
romanian,44.416667,26.1,Bucharest,#972549,#ca2955
sami,69.011667,23.043333,Kautokeino,#cdce7b,#cdce7b
sardinian,39.227778,9.111111,Cagliari,#d3bc93,#d3bc93
seleucid,36.2055,36.171806,Antioch,#fdd190,#fdd190
siberian,66.4,112.316667,Udachny,#7c7773,#7c7773
tongan,-21.133333,-175.2,Nuku?alofa,#c7d5d6,#c7d5d6
tukano,1.198333,-70.173333,Mitu,#ae7b3a,#ae7b3a
tupi,-15.793889,-47.882778,Brasilia,#d23958,#d23958
western,37.983972,23.727806,Athens,#5bc4c7,#5bc4c7
