num_pairs,star,name,ra,dec,culture
9,94779,Ad-Dajajah,19.28504,53.368459,arabic
9,100064,Al-Jadi,20.300904,-12.544852,arabic
9,91875,Al-I'klil Al-Janobi,18.729706,-38.323441,arabic
9,53740,Al-Battiyah,10.996244,-18.298783,arabic
8,98036,Al-'Okab,19.921887,6.406763,arabic
8,113368,Al-Hut Al-Janubi,22.960838,-29.622236,arabic
7,88714,Al-Mijmarah,18.11052,-50.09147700000001,arabic
7,86032,Al-Hawwa',17.582241,12.560035,arabic
7,11767,Ad-Dubb Al-A'sghar,2.52975,89.26410899999998,arabic
6,109492,Al-Multaheb,22.180908,58.201261,arabic
6,76127,Al-I'klil Ash-Shamali,15.548829,31.359133,arabic
6,61174,Al-Ghurab,12.53451,-16.196007,arabic
6,28380,Momsek Al-A'aennah,5.995351,37.212585,arabic
5,77853,Al-Mizan,15.897093,-16.729293,arabic
5,101421,Ad-Dulfin,20.553547,11.303263,arabic
5,43103,As-Sarattan,8.778284,28.759898,arabic
5,91262,As-Sulhofat,18.61564,38.783692,arabic
5,677,Al-Mara'ah Al-Musalsalah,0.139791,29.090432,arabic
4,96837,As-Sahm,19.68415,17.476041,arabic
4,8886,That Al-Korsi,1.906584,63.670101,arabic
4,104521,Qett'at Al-Faras,21.172361,10.131579,arabic
3,10559,Al-Muthallath,2.265635,33.358895000000004,arabic
3,13209,Al-Hamal,2.833063,27.260507,arabic
27,89931,Ar-Rami,18.3499,-29.828103,arabic
25,7588,An-Nahr,1.628556,-57.236757,arabic
21,67301,Ad-Dubb Al-A'kbar,13.792354,49.313265,arabic
21,26727,Al-Jabbar,5.679313,-1.942572,arabic
20,10324,Qayttas,2.2166650000000003,8.846717,arabic
20,42799,Ash-Shuja'a,8.720410000000001,3.3986620000000003,arabic
20,86414,Al-Jathi,17.657747,46.006332,arabic
2,64241,Al-Hulbah,13.166469,17.529431,arabic
19,4889,Al-Hut,1.046971,31.804263,arabic
18,30438,As-Safinah,6.399195,-52.69566,arabic
17,33160,Al-Kalb Al-A'kbar,6.903167,-12.038628,arabic
16,71683,Qanttorus,14.660765,-60.833976,arabic
16,31681,At-Tawa'man,6.628528,16.399252,arabic
15,106278,Ad-Dalw,21.525982,-5.571172,arabic
14,87585,At-Tinneen,17.892134,56.872643,arabic
14,28910,Al-A'rnab,6.10259,-14.935254,arabic
13,1067,Al-Faras Al-A'adham,0.220598,15.183596,arabic
13,77634,As-Sab'a,15.849316,-33.627165000000005,arabic
12,85927,Al-'Aqrab,17.560145000000002,-37.103821,arabic
12,25428,Ath-Thawr,5.438198000000001,28.60745,arabic
12,57380,Al-'Athra',11.764322,6.529376,arabic
11,71795,Al-'Awwa',14.68582,13.7283,arabic
11,77516,Al-Hayyah,15.827001999999998,-3.4302080000000004,arabic
10,17448,Hamil Ra's Al-Ghul,3.738648,32.288248,arabic
10,57632,Al-A'sad,11.817663,14.57206,arabic
1,37279,Al-Kalb Al-A'sghar,7.655033,5.224993,arabic
