num_pairs,star,name,ra,dec,culture
6,117447,Big Bison,23.813937,62.214516,armintxe
6,96757,Horse Head,19.668275,18.01389,armintxe
5,97804,Double Horse,19.874547,1.005661,armintxe
4,105199,Lions ,21.30963,62.585573,armintxe
4,102635,Second Horse,20.797025,47.831869,armintxe
4,105898,Dead Ibex,21.447668,48.835168,armintxe
4,110351,The River,22.350428,46.536569,armintxe
4,99655,Dead Horse,20.223288,56.567722,armintxe
4,107418,Little Bison,21.75748,61.12080600000001,armintxe
13,100587,Wounded Ibex,20.397671,32.190172,armintxe
11,105138,Second Ibex,21.298632,34.896898,armintxe
