num_pairs,star,name,ra,dec,culture
9,74666,Rataj,15.258376,33.314833,belarusian
9,100064,Kaziarog,20.300904,-12.544852,belarusian
7,11767,Maly Vos,2.52975,89.26410899999998,belarusian
7,27989,Kreselca Pana Jezusa,5.919529,7.407063000000001,belarusian
7,67301,Illyouo voz,13.792354,49.313265,belarusian
7,17847,Kurki,3.819373,24.053415,belarusian
6,76127,Karona,15.548829,31.359133,belarusian
5,20205,Vuzhy,4.329889,15.627642000000002,belarusian
5,91262,Niavesta,18.61564,38.783692,belarusian
4,102098,Petrou Krest,20.690532,45.280338,belarusian
3,26263,Grabli,5.593307,-3.25284,belarusian
3,13209,Baran,2.833063,27.260507,belarusian
2,26727,Kastsy,5.679313,-1.942572,belarusian
2,64241,Sito,13.166469,17.529431,belarusian
16,31681,Blizniuki,6.628528,16.399252,belarusian
15,87585,Zmej,17.892134,56.872643,belarusian
1,24608,Kaza,5.27815,45.997991,belarusian
1,37826,Poland and Lithuania,7.755277,28.026199,belarusian
1,11767,Gvozd,2.52975,89.26410899999998,belarusian
1,746,Gusina Daroga,0.152887,59.14978000000001,belarusian
