num_pairs,star,name,ra,dec,culture
9,15371,Kourt-chin,3.303309,-62.506363,boorong
9,65245,Tourtchinboiongerra,13.370855,30.291938,boorong
8,36366,Yurree,7.485195,31.78455,boorong
8,101589,Otchocut,20.588482,14.674213,boorong
7,92953,Won,18.938044,-42.710676,boorong
7,50785,Collowgulloric War,10.369569,-58.265572,boorong
6,37740,Wanjel,7.740792999999999,24.397993,boorong
6,96229,Totyarguil,19.568153,7.378941,boorong
6,22701,Collowgulloric Warepil,4.881575,-5.4526949999999985,boorong
6,78820,Djuit,16.09062,-19.805453,boorong
6,85927,Karik Karik,17.560145000000002,-37.103821,boorong
5,73776,Berm-Berm-Gle,15.08003,-64.03135,boorong
4,32402,War,6.764922,-52.409691,boorong
4,7506,Yerredetkurrk,1.61244,-58.270966,boorong
4,30324,Warepil,6.378329,-17.955918,boorong
26,26594,Kulkunbulla,5.653096,4.121467,boorong
23,33152,Unurgunite,6.902209,-24.184211,boorong
16,18246,Purra,3.9022,31.883635,boorong
12,60851,Bunya,12.472025,-64.34098900000001,boorong
11,91262,Neilloan,18.61564,38.783692,boorong
10,67459,Marpeankurrk,13.824623,15.797904999999998,boorong
10,17664,Lamankurrk,3.783166000000001,24.520124,boorong
1,2021,,0.427916,-77.25424699999998,boorong
1,74395,Tchingal,15.20476,-52.099247,boorong
1,89931,Warring,18.3499,-29.828103,boorong
1,67480,Weetkurrk,13.828564000000002,21.264105,boorong
1,21421,Gellarlec,4.598677,16.509301,boorong
1,100064,Collenbitchick,20.300904,-12.544852,boorong
1,44816,Mindi,9.133268,-43.432589,boorong
