num_pairs,star,name,ra,dec,culture
9,20507,九州殊口,4.3946809999999985,-3.74547,chinese_medieval
9,77655,贯索,15.85387,35.657382,chinese_medieval
9,104732,天津,21.215607,30.226916,chinese_medieval
9,35350,井宿,7.30155,16.540383,chinese_medieval
9,82396,尾宿,16.83608,-34.293232,chinese_medieval
9,68282,库楼,13.977987,-44.803584,chinese_medieval
8,19461,杠(附华盖),4.167439,80.69868100000002,chinese_medieval
8,20889,毕宿,4.476943,19.180431,chinese_medieval
8,96665,右旗,19.653234,5.397773,chinese_medieval
8,98754,左旗,20.058338,16.031254999999998,chinese_medieval
8,101772,九坎,20.626116,-47.291502,chinese_medieval
8,100195,天田(牛宿),20.323223,-19.118533,chinese_medieval
8,29919,八谷,6.298563,61.515286,chinese_medieval
8,116727,天钩,23.65582,77.632276,chinese_medieval
8,88012,天籥,17.977514000000006,-28.759089000000003,chinese_medieval
8,87563,天纪,17.888341,40.007959,chinese_medieval
8,20266,传舍,4.344541,65.14044100000001,chinese_medieval
8,21402,天节,4.594239,10.16079,chinese_medieval
8,29696,座旗,6.256304,29.498076,chinese_medieval
8,13268,天船,2.844945,55.895496,chinese_medieval
8,20884,九斿,4.475589,1.380821,chinese_medieval
8,93580,天弁,19.058959,1.818768,chinese_medieval
8,24010,参旗,5.161654,15.597232,chinese_medieval
8,3521,八魁,0.7491869999999999,-42.676558,chinese_medieval
7,4147,天溷,0.8834709999999999,-1.14426,chinese_medieval
7,61468,青丘,12.595987,-41.021945,chinese_medieval
7,75458,紫微左垣,15.415494,58.966065,chinese_medieval
7,111944,车府,22.675233,44.276305,chinese_medieval
7,46390,星宿,9.45979,-8.658603,chinese_medieval
7,4427,王良,0.945143,60.71674,chinese_medieval
7,42799,柳宿,8.720410000000001,3.3986620000000003,chinese_medieval
7,12692,大陵,2.717451,55.106019,chinese_medieval
7,61359,轸宿,12.573121,-23.396759,chinese_medieval
6,71295,折威,14.580758,-20.439381,chinese_medieval
6,92549,扶筐,18.859712,52.975117,chinese_medieval
6,70027,亢池,14.329233,16.306948000000002,chinese_medieval
6,59856,常陈,12.27504,33.061527000000005,chinese_medieval
6,27989,参宿,5.919529,7.407063000000001,chinese_medieval
6,86565,市楼,17.690243,-12.875307,chinese_medieval
6,83947,七公,17.159238000000002,40.777033,chinese_medieval
6,54061,北斗,11.062155,61.75103299999999,chinese_medieval
6,9480,华盖,2.032644,70.90701999999997,chinese_medieval
6,68756,紫微右垣,14.073165,64.37585,chinese_medieval
6,48356,张宿,9.85797,-14.846603,chinese_medieval
6,17489,昴宿,3.746726,24.28947,chinese_medieval
6,10054,六甲,2.157062,81.29594499999997,chinese_medieval
6,37447,天狗,7.687454,-9.551131,chinese_medieval
6,51814,天牢,10.586017,57.082637,chinese_medieval
6,100345,牛宿,20.350187,-14.781367,chinese_medieval
6,9487,外屏,2.034117,2.763759,chinese_medieval
6,43142,外厨,8.787496,-1.897033,chinese_medieval
5,25539,诸王,5.460579,21.936965,chinese_medieval
5,17529,卷舌,3.753232,42.578549,chinese_medieval
5,5434,阁道,1.158368,47.241792,chinese_medieval
5,7981,右更,1.7082700000000002,20.268504,chinese_medieval
5,44127,,8.986828,48.041826,chinese_medieval
5,9347,天仓,2.000084,-21.077831,chinese_medieval
5,10795,左更,2.316097,23.167815,chinese_medieval
5,102532,瓠瓜,20.77764,16.124295999999998,chinese_medieval
5,46733,文昌,9.525453,63.061861,chinese_medieval
5,93085,建,18.962167,-21.106654,chinese_medieval
5,117020,雷电,23.722878,10.331536,chinese_medieval
5,78893,尚书,16.105475,67.81013399999999,chinese_medieval
5,89341,斗宿,18.229392,-21.058834,chinese_medieval
5,101483,败瓜,20.565845,13.027255,chinese_medieval
5,100965,天柱,20.470687,81.422708,chinese_medieval
5,44816,天稷,9.133268,-43.432589,chinese_medieval
5,37819,天社,7.7542490000000015,-37.968584,chinese_medieval
5,112833,勾陈,22.850818,85.373739,chinese_medieval
4,84720,龟,17.317655,-46.636235,chinese_medieval
4,6502,𫓧锧,1.391933,-30.945617,chinese_medieval
4,98066,狗国,19.930651,-26.299506,chinese_medieval
4,118268,霹雳,23.988525,6.863321000000001,chinese_medieval
4,78820,房宿,16.09062,-19.805453,chinese_medieval
4,92862,辇道,18.922249,43.946088,chinese_medieval
4,107763,人,21.830748,30.174215000000004,chinese_medieval
4,110991,造父,22.486183,58.415198,chinese_medieval
4,113963,室宿,23.079348,15.205264,chinese_medieval
4,75097,北极,15.345482999999998,71.834016,chinese_medieval
4,11783,刍藁,2.534786,-15.244677,chinese_medieval
4,33018,五诸侯(井宿),6.879816,33.961254,chinese_medieval
4,44390,内阶,9.04242,67.62961899999999,chinese_medieval
4,29038,水府,6.126201,14.768472,chinese_medieval
4,62886,五诸侯(太微垣),12.888263,21.244943,chinese_medieval
4,57477,天理,11.782116,55.62819,chinese_medieval
4,58159,五帝座,11.927926,15.646818,chinese_medieval
4,41822,鬼宿,8.526591999999999,18.09442,chinese_medieval
4,41816,爟,8.525145,24.081105,chinese_medieval
4,57045,势,11.695418,55.172011,chinese_medieval
4,73507,天床,15.024195,60.204453,chinese_medieval
4,57757,太微右垣,11.844922,1.764718,chinese_medieval
4,97433,天厨,19.80285,70.26793,chinese_medieval
4,87585,天棓,17.892134,56.872643,chinese_medieval
4,25475,天潢,5.447578,33.262258,chinese_medieval
4,22176,天高,4.7713410000000005,18.734693,chinese_medieval
4,83000,斗,16.961139000000006,9.375033,chinese_medieval
4,53773,东瓯,11.002572,-42.225859,chinese_medieval
4,15737,天阴,3.379234,20.742069,chinese_medieval
4,112519,五帝内座,22.791378,83.15383,chinese_medieval
4,23015,五车,4.9498940000000005,33.166090000000004,chinese_medieval
4,60129,太微左垣,12.331766,-0.6668029999999999,chinese_medieval
3,51233,内平,10.464727,36.707212,chinese_medieval
3,87234,御女,17.824154999999994,76.96288100000002,chinese_medieval
3,78727,西咸,16.072774,-11.374611,chinese_medieval
3,100232,天桴,20.328685,-1.078514,chinese_medieval
3,56332,土司空(轸宿),11.54837,-31.087226,chinese_medieval
3,92791,渐台,18.908412,36.898613,chinese_medieval
3,34033,四渎,7.060575999999998,10.951817,chinese_medieval
3,102618,女宿,20.794598,-9.495776,chinese_medieval
3,101692,离珠,20.61212,-2.549957,chinese_medieval
3,38722,水位,7.927749,19.88397,chinese_medieval
3,81724,东咸,16.692884,-17.742167000000006,chinese_medieval
3,81641,斛,16.677413,4.219789,chinese_medieval
3,94779,奚仲,19.28504,53.368459,chinese_medieval
3,69427,亢宿,14.214929,-10.273702,chinese_medieval
3,82802,宦者,16.922825,18.433213,chinese_medieval
3,19205,砺石,4.116795,29.001299,chinese_medieval
3,88635,箕宿,18.096803,-30.424091,chinese_medieval
3,88601,宗人,18.090913,2.500099,chinese_medieval
3,67464,衡,13.825078,-41.68770900000001,chinese_medieval
3,117887,云雨,23.912951,0.109309,chinese_medieval
3,52457,长垣,10.7236,23.188404,chinese_medieval
3,52638,少微,10.764416,30.682313,chinese_medieval
3,27830,司怪,5.88879,27.612262,chinese_medieval
3,23972,玉井,5.15244,-8.754081,chinese_medieval
3,72573,四辅,14.838814,82.511944,chinese_medieval
3,24244,军井,5.204973000000002,-11.869219,chinese_medieval
3,111710,虚梁,22.629273,-4.228056,chinese_medieval
3,25985,厕,5.545504,-17.822289,chinese_medieval
3,57328,内屏,11.754733,8.258119,chinese_medieval
3,72622,氐宿,14.847976999999998,-16.041778,chinese_medieval
3,110960,坟墓(附危宿),22.480531,-0.019972,chinese_medieval
3,109074,危宿,22.096399,-0.319851,chinese_medieval
3,109973,败臼,22.274045,-41.627225,chinese_medieval
3,16369,天廪,3.514549,12.936678,chinese_medieval
3,85755,天江,17.523598,-23.962643,chinese_medieval
27,63003,器府,12.9099,-57.177924,chinese_medieval
22,57587,翼宿,11.806524,-10.313105,chinese_medieval
21,115990,螣蛇,23.500536,58.54892,chinese_medieval
2,106340,离瑜,21.537381,-33.944623,chinese_medieval
2,67927,右摄提,13.911411,18.397717,chinese_medieval
2,37826,北河,7.755277,28.026199,chinese_medieval
2,68523,柱(角宿),14.028748,-45.603421,chinese_medieval
2,109937,杵(危宿),22.26616,37.748737,chinese_medieval
2,110371,臼,22.355372,28.330529,chinese_medieval
2,70574,柱(角宿),14.435619,-45.221424,chinese_medieval
2,72105,梗河,14.749784,27.074222,chinese_medieval
2,70497,天枪,14.419967000000002,51.850744,chinese_medieval
2,114341,羽林军,23.157443,-21.17241,chinese_medieval
2,72659,帝席,14.856493,19.10046,chinese_medieval
2,71860,柱(角宿),14.698823,-47.3882,chinese_medieval
2,37279,南河,7.655033,5.224993,chinese_medieval
2,62541,九卿,12.815059,14.122584,chinese_medieval
2,67480,周鼎,13.828564000000002,21.264105,chinese_medieval
2,9884,娄宿,2.119555,23.462423,chinese_medieval
2,66234,三公(紫微垣),13.57425,49.015973,chinese_medieval
2,26237,伐(附参宿),5.589768,-4.838358,chinese_medieval
2,72125,左摄提,14.754017,16.96428,chinese_medieval
2,116591,羽林军,23.627655,-13.060243,chinese_medieval
2,12719,胃宿,2.724198,27.707146,chinese_medieval
2,109624,羽林军,22.207155,-14.193957,chinese_medieval
2,113998,羽林军,23.086904,-17.07925,chinese_medieval
2,115033,羽林军,23.298393,-9.182513,chinese_medieval
2,116247,羽林军,23.554618,-20.914504,chinese_medieval
2,117629,羽林军,23.855927,-18.909163,chinese_medieval
2,116957,羽林军,23.707729,-15.448033,chinese_medieval
2,117541,羽林军,23.837425,-9.974136,chinese_medieval
2,1158,羽林军,0.241008,-7.780532000000001,chinese_medieval
2,70300,柱(角宿),14.383956,-39.511819,chinese_medieval
2,35550,天樽,7.335383,21.98232,chinese_medieval
2,62267,三公(太微垣),12.760294,7.6733259999999985,chinese_medieval
2,116231,𫓧钺,23.549512,-37.818268,chinese_medieval
2,111515,羽林军,22.593437,-23.991094,chinese_medieval
2,65936,柱(角宿),13.517404999999998,-39.407307,chinese_medieval
2,111539,羽林军,22.59689,-17.460424,chinese_medieval
2,107797,羽林军,21.836939,-16.844914000000006,chinese_medieval
2,112211,羽林军,22.726454,-18.830375,chinese_medieval
2,10320,天庾,2.21513,-30.723825,chinese_medieval
2,75264,骑官,15.378021,-44.689622,chinese_medieval
2,75501,骑官,15.422285,-38.73362,chinese_medieval
2,101923,罗堰,20.654533,-14.95476,chinese_medieval
2,52353,三师,10.69908,65.71628,chinese_medieval
2,75828,骑官,15.490075,-46.732704,chinese_medieval
2,76552,骑官,15.634232,-42.567348,chinese_medieval
2,91919,织女,18.738984,39.670123,chinese_medieval
2,98036,河鼓,19.921887,6.406763,chinese_medieval
2,80343,罚,16.401718,-20.037327,chinese_medieval
2,56647,明堂,11.615814,-0.823749,chinese_medieval
2,54863,灵台,11.233842999999998,8.060694999999999,chinese_medieval
2,25143,咸池,5.380644,41.02926,chinese_medieval
2,23767,柱(毕宿),5.10858,41.234474,chinese_medieval
2,27639,柱(毕宿),5.850675,37.305573,chinese_medieval
2,26536,柱(毕宿),5.643913,30.492412,chinese_medieval
2,80112,心宿,16.353143,-25.592796,chinese_medieval
2,90842,杵(箕宿),18.532284,-43.507383,chinese_medieval
2,73334,骑官,14.986025,-42.104194,chinese_medieval
2,113531,羽林军,22.993243,-13.070895,chinese_medieval
2,75177,骑官,15.36344,-36.261376,chinese_medieval
2,26207,觜宿,5.5856330000000005,9.934158,chinese_medieval
2,46771,酒旗,9.532428,11.299827,chinese_medieval
2,46982,天相,9.575736,-5.914948000000001,chinese_medieval
2,84380,女床,17.250788,36.809162,chinese_medieval
2,72800,骑官,14.880855,-37.80316,chinese_medieval
2,74395,车骑,15.20476,-52.099247,chinese_medieval
2,73714,阵车,15.067839,-25.281965,chinese_medieval
2,73559,骑官,15.032801,-34.358875,chinese_medieval
2,74604,骑官,15.2437,-31.519121,chinese_medieval
18,60018,郎位,12.308781,30.249047,chinese_medieval
16,44248,轩辕,9.010685,41.782911,chinese_medieval
16,3881,奎宿,0.830234,41.078911,chinese_medieval
15,18543,天苑,3.967157,-13.508515,chinese_medieval
14,94114,鳖,19.157869,-37.904474,chinese_medieval
14,48219,天庙,9.830931,-36.268463,chinese_medieval
13,31700,军市,6.631506,-18.237478,chinese_medieval
13,12828,天囷,2.749039,10.114146,chinese_medieval
13,118209,垒壁阵,23.977883,-3.5559830000000003,chinese_medieval
13,108085,天垒城,21.898808,-37.364852,chinese_medieval
12,21248,天园,4.55849,-29.766492,chinese_medieval
12,80337,积卒,16.400354999999998,-39.19298,chinese_medieval
11,8068,天大将军,1.727675,50.688732,chinese_medieval
10,3300,天厩,0.7010810000000001,50.512526,chinese_medieval
10,84379,天市左垣,17.250531,24.839204,chinese_medieval
10,80816,天市右垣,16.503667999999998,21.489613,chinese_medieval
10,38170,弧矢,7.821571,-24.859786,chinese_medieval
10,110391,天钱,22.35988,-21.59823,chinese_medieval
10,97067,天渊,19.727116,-37.53876500000001,chinese_medieval
1,26451,天关,5.627413,21.142549,chinese_medieval
1,43067,天记,8.772927000000001,-13.547720000000002,chinese_medieval
1,54539,太尊,11.161062,44.498487,chinese_medieval
1,62423,内厨,12.792873,66.790304,chinese_medieval
1,115746,天皇大帝,23.44999,87.30750400000002,chinese_medieval
1,77277,大理,15.777772,62.599557,chinese_medieval
1,89937,柱史,18.350736,72.732843,chinese_medieval
1,86614,女史,17.698978,72.148843,chinese_medieval
1,74605,阴德,15.243926,67.346722,chinese_medieval
1,37265,积水(井宿),7.652760000000002,34.584346000000004,chinese_medieval
1,54951,虎贲,11.253397,23.095502,chinese_medieval
1,60189,长沙(附轸宿),12.34268,-22.215901,chinese_medieval
1,44127,三台(上台),8.986828,48.041826,chinese_medieval
1,61174,左辖(附轸宿),12.53451,-16.196007,chinese_medieval
1,59199,右辖(附轸宿),12.140225,-24.728875,chinese_medieval
1,57613,军门,11.812524,-26.749777,chinese_medieval
1,50372,三台(中台),10.284952,42.914365,chinese_medieval
