num_pairs,star,name,ra,dec,culture
9,87585,Wakinyan,17.892134,56.872643,dakota
8,37740,Mato Tipila,7.740792999999999,24.397993,dakota
7,67301,To/Tun Win,13.792354,49.313265,dakota
7,17702,Can Hd/Gleska Wakan,3.79141,24.105137,dakota
6,9884,Cansasa Pusyapi,2.119555,23.462423,dakota
5,97165,Ahdeska/Agleska,19.749574,45.13081,dakota
5,17702,Wicincala Sakowin,3.79141,24.105137,dakota
4,47908,Oceti,9.764188,23.774255,dakota
4,1067,Keya,0.220598,15.183596,dakota
13,26727,Nape,5.679313,-1.942572,dakota
12,9487,Hehaka,2.034117,2.763759,dakota
12,17702,Tayamni,3.79141,24.105137,dakota
11,35904,Zuzeca,7.401584,-29.303104,dakota
