num_pairs,star,name,ra,dec,culture
8,68756,Two Poles,14.073165,64.37585,egyptian
7,67301,Bull's Foreleg,13.792354,49.313265,egyptian
7,17851,Flock,3.819782,24.136712,egyptian
4,108085,Sheep,21.898808,-37.364852,egyptian
4,61084,Waty Bekety,12.519429,-57.113212,egyptian
4,45941,Chematy,9.368562,-55.010668,egyptian
4,34444,Kenemet,7.139857000000001,-26.3932,egyptian
4,20889,Jaw,4.476943,19.180431,egyptian
4,93174,Net,18.978721,-37.107357,egyptian
4,12828,Sheepfold,2.749039,10.114146,egyptian
4,42628,Stars of Water,8.687586,20.476905,egyptian
4,8886,Two Jaws,1.906584,63.670101,egyptian
31,111944,Giant,22.675233,44.276305,egyptian
3,33160,Triangle,6.903167,-12.038628,egyptian
3,69673,Mooring Post,14.261029999999998,19.18241,egyptian
28,27072,Sah,5.741057,-22.448382,egyptian
21,64394,Horus,13.197904,27.878183,egyptian
20,92420,Hippopotamus,18.834665,33.362667,egyptian
2,95241,Khanuwy Fish,19.377303,-44.458965,egyptian
14,8796,Bird,1.884696,29.578829,egyptian
12,40526,Sek,8.275256,9.185545,egyptian
11,107128,Boat,21.700192,-23.262858,egyptian
11,57632,Lion,11.817663,14.57206,egyptian
10,72622,Selkis,14.847976999999998,-16.041778,egyptian
10,78820,Prow,16.09062,-19.805453,egyptian
10,89826,Crocodile,18.331031,36.064547,egyptian
1,37826,Pair of Stars,7.755277,28.026199,egyptian
1,39429,Ferry Boat,8.059737,-40.003148,egyptian
