num_pairs,star,name,ra,dec,culture
9,677,Ka Lupe o Kawelo,0.139791,29.090432,hawaiian_starlines
9,57632,Ka`ohiweliweli,11.817663,14.57206,hawaiian_starlines
8,27989,Ka Hei-Hei o Na Keiki,5.919529,7.407063000000001,hawaiian_starlines
8,102098,Navigator's Triangle,20.690532,45.280338,hawaiian_starlines
7,67301,Na Hiku,13.792354,49.313265,hawaiian_starlines
5,11767,Ka Iwikuamo`o,2.52975,89.26410899999998,hawaiian_starlines
4,60965,Me`e,12.497739,-16.515432,hawaiian_starlines
4,8886,`Iwa Keli`i,1.906584,63.670101,hawaiian_starlines
2,61084,Hanaiakamalama,12.519429,-57.113212,hawaiian_starlines
13,85927,Manaiakalani,17.560145000000002,-37.103821,hawaiian_starlines
11,32349,Ke Ka o Makali`i,6.752481,-16.716116,hawaiian_starlines
1,17499,Makali`i,3.747927,24.113339,hawaiian_starlines
1,71683,Nakuhikuhi,14.660765,-60.833976,hawaiian_starlines
