num_pairs,star,name,ra,dec,culture
8,82396,Mulā,16.83608,-34.293232,indian
7,17851,Kṛittikā,3.819782,24.136712,indian
5,60965,Hasta,12.497739,-16.515432,indian
4,43109,Aśleṣā,8.779587,6.418809,indian
3,76333,Viśākhā,15.592104999999998,-14.789537,indian
2,91926,Abhijit,18.739661,39.612721,indian
2,78820,Anurādhā,16.09062,-19.805453,indian
2,12719,Bharanī,2.724198,27.707146,indian
2,98036,Śrabaṇā,19.921887,6.406763,indian
2,80112,Jyeṣṭhā,16.353143,-25.592796,indian
2,26207,Mṛgaśirā,5.5856330000000005,9.934158,indian
1,110395,Śatabhiṣā,22.360938,-1.387331,indian
1,92855,Uttara āṣāṛā,18.92109,-26.296721999999995,indian
1,113881,Pūrba bhādrapada,23.062901,28.082789,indian
1,90185,Pūrba āṣāṛā,18.402868,-34.384615999999994,indian
1,1067,Uttara bhādrapada,0.220598,15.183596,indian
1,5737,Revatī,1.228857,7.575353999999999,indian
1,102281,Dhaniṣṭhā,20.724315,15.074581,indian
1,8832,Aśvinī,1.89217,19.293852,indian
1,65474,Chitrā,13.419883,-11.161322,indian
1,57632,Uttara phālgunī,11.817663,14.57206,indian
1,54872,Pūrba phālgunī,11.235138,20.523717,indian
1,49669,Maghā,10.139532,11.967207,indian
1,42911,Puṣyā,8.74475,18.154309,indian
1,36850,Punarvasu,7.5766339999999985,31.888276,indian
1,27989,Ārdrā,5.919529,7.407063000000001,indian
1,21421,Rohiṇī,4.598677,16.509301,indian
1,69673,Svātī,14.261029999999998,19.18241,indian
