num_pairs,star,name,ra,dec,culture
7,67301,Tukturjuit,13.792354,49.313265,inuit
7,17851,Sakiattiak,3.819782,24.136712,inuit
5,8886,Uqsuutaattiaq,1.906584,63.670101,inuit
4,21421,Qimmiitt,4.598677,16.509301,inuit
3,24608,Quturjuuk,5.27815,45.997991,inuit
3,4427,Pituaq,0.945143,60.71674,inuit
2,26727,Ullaktut,5.679313,-1.942572,inuit
1,97649,Aagjuuk,19.846388,8.868322000000003,inuit
1,27989,Akkuttujuuk,5.919529,7.407063000000001,inuit
1,67927,Sivulliik,13.911411,18.397717,inuit
1,91262,Kingulliq,18.61564,38.783692,inuit
