num_pairs,star,name,ra,dec,culture
8,52943,TasukiBoshi,10.827079,-16.193648,japanese_moon_stations
8,30343,ChichiriBoshi,6.3826730000000005,22.513586,japanese_moon_stations
8,82396,AshitareBoshi,16.83608,-34.293232,japanese_moon_stations
6,42402,NurikoBoshi,8.645955,3.341435,japanese_moon_stations
5,27989,KagasukiBoshi,5.919529,7.407063000000001,japanese_moon_stations
5,47431,HotohoriBoshi,9.664267,-1.14281,japanese_moon_stations
5,47452,ChirikoBoshi,9.671768,-14.332292,japanese_moon_stations
4,59316,MitsukakeBoshi,12.168746,-22.619766,japanese_moon_stations
4,20889,AmefuriBoshi,4.476943,19.180431,japanese_moon_stations
4,17499,SubaruBoshi,3.747927,24.113339,japanese_moon_stations
4,42911,TamahomeBoshi,8.74475,18.154309,japanese_moon_stations
4,102618,UrukiBoshi,20.794598,-9.495776,japanese_moon_stations
4,93864,HikitsuBoshi,19.11567,-27.670423,japanese_moon_stations
4,89931,MiBoshi,18.3499,-29.828103,japanese_moon_stations
4,74392,TomoBoshi,15.203692000000002,-19.79171,japanese_moon_stations
3,100064,InamiBoshi,20.300904,-12.544852,japanese_moon_stations
3,69974,AmiBoshi,14.318498000000002,-13.371095,japanese_moon_stations
3,13209,EkieBoshi,2.833063,27.260507,japanese_moon_stations
3,26366,TorokiBoshi,5.615108,9.290673,japanese_moon_stations
3,78820,SoiBoshi,16.09062,-19.805453,japanese_moon_stations
3,109074,UmiyameBoshi,22.096399,-0.319851,japanese_moon_stations
2,8832,TataraBoshi,1.89217,19.293852,japanese_moon_stations
2,80112,NakagoBoshi,16.353143,-25.592796,japanese_moon_stations
12,5571,TokakiBoshi,1.190894,21.03465,japanese_moon_stations
1,1067,NamameBoshi,0.220598,15.183596,japanese_moon_stations
1,113963,HatsuiBoshi,23.079348,15.205264,japanese_moon_stations
1,106278,TomiteBoshi,21.525982,-5.571172,japanese_moon_stations
1,65474,SuBoshi,13.419883,-11.161322,japanese_moon_stations
