num_pairs,star,name,ra,dec,culture
7,67301,Anorhâkoya,13.792354,49.313265,lokono
6,17847,Yôkoro wiwa,3.819373,24.053415,lokono
4,1067,Yorhada,0.220598,15.183596,lokono
4,21421,Kama tâla,4.598677,16.509301,lokono
33,93174,Ifakoya,18.978721,-37.107357,lokono
25,26126,Kwakoya,5.571326,3.766895,lokono
2,61084,Hithikoya,12.519429,-57.113212,lokono
2,26727,Mabukuli,5.679313,-1.942572,lokono
18,64394,Awarhakoya,13.197904,27.878183,lokono
17,81693,Katarokoya,16.688113,31.602726,lokono
1,85696,Kasarhowakoya,17.512732,-37.295811,lokono
