num_pairs,star,name,ra,dec,culture
9,27366,терезии,5.795941,-9.669605,macedonian
7,67301,арамии,13.792354,49.313265,macedonian
6,17847,квачка,3.819373,24.053415,macedonian
6,78493,софра,16.024047,29.851061,macedonian
4,100453,сврдел,20.370473,40.256679,macedonian
3,91262,пирустија,18.61564,38.783692,macedonian
3,25428,петел,5.438198000000001,28.60745,macedonian
3,21421,лисица,4.598677,16.509301,macedonian
3,6686,уши,1.430216,60.235283,macedonian
2,94713,маши,19.272804,38.133731,macedonian
2,27989,орач,5.919529,7.407063000000001,macedonian
2,20889,свињи,4.476943,19.180431,macedonian
2,26549,рало,5.6457690000000005,-2.600069,macedonian
2,102532,крст,20.77764,16.124295999999998,macedonian
1,24951,јастреб,5.3442120000000015,46.963783,macedonian
1,3677,гумно,0.7842319999999999,41.964834,macedonian
1,37279,волци,7.655033,5.224993,macedonian
1,18532,јарем,3.96423,40.010215,macedonian
1,26311,волови,5.603559,-1.20192,macedonian
