num_pairs,star,name,ra,dec,culture
9,18907,Kulte',4.052606,5.989305,maya
7,6686,Way Paat Ahiin,1.430216,60.235283,maya
7,68895,Xoc,14.106193,-26.682361,maya
5,5364,Zool,1.1431639999999998,-10.182264,maya
5,12832,Ch'oom,2.749328,12.445761,maya
4,80763,Siina'an,16.490128,-26.432002,maya
3,27366,Oxib' Xk'ub',5.795941,-9.669605,maya
3,50851,Kimi,10.383458,6.542643,maya
3,107380,B'alaam,21.749113,-33.025781,maya
3,64962,Uo,13.315359,-23.171512,maya
2,37826,kitamob,7.755277,28.026199,maya
10,92855,Kaan,18.92109,-26.296721999999995,maya
1,26727,Aak,5.679313,-1.942572,maya
1,60718,Paddler Gods,12.443311,-63.09909200000001,maya
