num_pairs,star,name,ra,dec,culture
9,14146,Khabasiranu,3.039863,-23.624472,mulapin
9,113246,Nunu,22.932472,-32.539628,mulapin
9,21421,Alu,4.598677,16.509301,mulapin
8,3693,Anunitu,0.788981,24.267178,mulapin
8,41822,Allutu,8.526591999999999,18.09442,mulapin
8,67927,SHU.PA,13.911411,18.397717,mulapin
7,746,Epinnu,0.152887,59.14978000000001,mulapin
7,93194,Enzu,18.982395,32.689557,mulapin
7,101916,Pagru,20.652161,10.086203,mulapin
6,67301,Ereqqu,13.792354,49.313265,mulapin
6,11767,MU.BU.KESH.DA,2.52975,89.26410899999998,mulapin
6,76127,kakkab balti,15.548829,31.359133,mulapin
6,39953,Mashkakatu,8.158876,-47.336588,mulapin
5,96837,Shakhu,19.68415,17.476041,mulapin
5,39757,Qashtu,8.125736999999999,-24.304324,mulapin
5,32349,Shukudu,6.752481,-16.716116,mulapin
5,59199,Aribu,12.140225,-24.728875,mulapin
5,87833,MAR.GID.DA AN.NA,17.943437,51.488895,mulapin
5,17847,"Zappu, Sebettu",3.819373,24.053415,mulapin
4,21421,is le,4.598677,16.509301,mulapin
4,57380,Shir'u,11.764322,6.529376,mulapin
4,3419,Ninmakh,0.72649,-17.986604999999994,mulapin
4,677,Iku,0.139791,29.090432,mulapin
4,105199,Sisu,21.30963,62.585573,mulapin
4,8903,Agru,1.910668,20.808035,mulapin
3,7607,Lulimu,1.633205,48.628213,mulapin
3,34088,Tu'amu sekhrutu,7.0684809999999985,20.570297,mulapin
3,37826,Tu'amu rabutu,7.755277,28.026199,mulapin
26,110003,GU.LA (EA),22.280565,-7.783289999999999,mulapin
25,98032,Pabilsang,19.921026,-41.868288,mulapin
22,85696,Zuqaqipu,17.512732,-37.295811,mulapin
2,28380,Gamlu,5.995351,37.212585,mulapin
19,47908,Urgulu,9.764188,23.774255,mulapin
19,68895,Nirakh,14.106193,-26.682361,mulapin
18,28910,Targlugallu,6.10259,-14.935254,mulapin
17,65109,Numushda,13.343296,-36.71229500000001,mulapin
16,18246,Shibu,3.9022,31.883635,mulapin
15,92175,Eru,18.786242,-4.7478669999999985,mulapin
15,6732,Shinunutu,1.44491,19.240422,mulapin
14,30343,Shidallu,6.3826730000000005,22.513586,mulapin
13,78918,UR.IDIM,16.109873999999998,-36.802288,mulapin
13,106481,U.KA.DU.A,21.56635,45.591837,mulapin
13,107556,Sukhurmashu,21.784011,-16.127285999999998,mulapin
12,84012,kakkab Zababa,17.172968,-15.72491,mulapin
11,74785,Zibanitu,15.283449,-9.382917,mulapin
10,60742,sissinnu Eru,12.448966,28.268423,mulapin
10,80816,Kalbu,16.503667999999998,21.489613,mulapin
1,69673,Khegalaju,14.261029999999998,19.18241,mulapin
1,65477,Shelebu,13.420413,54.987958,mulapin
1,30438,Eridu,6.399195,-52.69566,mulapin
1,22449,Lulal u Latarak,4.830669,6.961276,mulapin
1,54061,Lakhru,11.062155,61.75103299999999,mulapin
1,49669,sharru,10.139532,11.967207,mulapin
1,68702,Shullat u Khanish,14.063729,-60.373039,mulapin
1,4427,Barbaru,0.945143,60.71674,mulapin
1,91262,Lamassu,18.61564,38.783692,mulapin
1,80763,"Irat Zuqaqipi, Lisi",16.490128,-26.432002,mulapin
1,85696,Sharur u Shargaz,17.512732,-37.295811,mulapin
1,94481,Nin-SAR and Erragal,19.229302,39.145968,mulapin
1,11767,Ibila-Emakh maru reshtu sha Anim,2.52975,89.26410899999998,mulapin
