num_pairs,star,name,ra,dec,culture
9,94779,Ajijaak,19.28504,53.368459,ojibwe
8,72607,Maang,14.845104999999998,74.155505,ojibwe
8,78820,Nanaboujou,16.09062,-19.805453,ojibwe
6,76127,Madoodiswan,15.548829,31.359133,ojibwe
5,17702,Bagone Giizhig,3.79141,24.105137,ojibwe
4,77760,Noondeshin Bemaadizid,15.877903,42.451518,ojibwe
19,1067,Mooz,0.220598,15.183596,ojibwe
13,67301,Ojiig,13.792354,49.313265,ojibwe
12,49669,Mishibizhii-Gaadidnaway,10.139532,11.967207,ojibwe
10,37279,Biboonkeonini,7.655033,5.224993,ojibwe
