num_pairs,star,name,ra,dec,culture
9,49669,Calul,10.139532,11.967207,romanian
8,107310,Crucea mare,21.73571,28.742632,romanian
7,11767,Carul mic,2.52975,89.26410899999998,romanian
7,76127,Hora,15.548829,31.359133,romanian
7,37826,Fratii,7.755277,28.026199,romanian
6,21421,Vierii,4.598677,16.509301,romanian
6,21421,Taurul,4.598677,16.509301,romanian
6,32349,Dulaul,6.752481,-16.716116,romanian
6,8832,Berbecul,1.89217,19.293852,romanian
6,25336,Rarita,5.418851,6.349702,romanian
6,9640,Jgheabul si putul,2.064984,42.329725,romanian
6,8886,Tronul,1.906584,63.670101,romanian
5,17847,Closca cu pui,3.819373,24.053415,romanian
5,116727,Coasa,23.65582,77.632276,romanian
5,26237,Secera,5.589768,-4.838358,romanian
5,91262,Ciobanul cu oile,18.61564,38.783692,romanian
5,60965,Corbul,12.497739,-16.515432,romanian
4,25859,Porumbita,5.520209,-35.470519,romanian
4,24608,Capra,5.27815,45.997991,romanian
4,73714,Cantarul,15.067839,-25.281965,romanian
4,44066,Racul,8.974784,11.857701,romanian
31,78554,Sarpele,16.038248,22.804454,romanian
3,26727,Sfredelul mare,5.679313,-1.942572,romanian
3,101421,Crucea mica,20.553547,11.303263,romanian
22,113889,Crapii,23.064615,3.820045,romanian
22,102624,Varsatorul,20.795621,-5.027701,romanian
22,10324,Chitul,2.2166650000000003,8.846717,romanian
2,97278,Fata de imparat,19.770994,10.613261,romanian
2,26727,Trisfetitele,5.679313,-1.942572,romanian
19,67301,Carul Mare,13.792354,49.313265,romanian
18,79992,Omul,16.329010999999998,46.313366,romanian
16,67459,Vacarul,13.824623,15.797904999999998,romanian
16,65474,Fecioara,13.419883,-11.161322,romanian
15,87585,Balaurul,17.892134,56.872643,romanian
15,18246,Barda,3.9022,31.883635,romanian
11,92041,Arcasul,18.76094,-26.990778,romanian
10,74857,Scorpia,15.297178,-30.148673,romanian
10,107556,Tapul,21.784011,-16.127285999999998,romanian
1,37279,Catelul,7.655033,5.224993,romanian
