num_pairs,star,name,ra,dec,culture
5,67301,Favdna's Bow and Arrow,13.792354,49.313265,sami
2,26727,Galla's Sons,5.679313,-1.942572,sami
2,36850,The Ski Runners,7.5766339999999985,31.888276,sami
14,8886,Sarva the Elk,1.906584,63.670101,sami
1,11767,Sky Support,2.52975,89.26410899999998,sami
1,69673,Favdna,14.261029999999998,19.18241,sami
1,91262,The Runner,18.61564,38.783692,sami
1,97649,Morning Star,19.846388,8.868322000000003,sami
1,17702,Pack of Dogs,3.79141,24.105137,sami
1,37279,Galla,7.655033,5.224993,sami
