num_pairs,star,name,ra,dec,culture
7,17851,S'Udrone,3.819782,24.136712,sardinian
7,67301,Sos Sette Frades,13.792354,49.313265,sardinian
7,27989,Sos Bacheddos,5.919529,7.407063000000001,sardinian
6,20889,Su Pinnetu,4.476943,19.180431,sardinian
6,25428,Sa Mandra,5.438198000000001,28.60745,sardinian
6,76127,Su Ballu de sas Fiuda,15.548829,31.359133,sardinian
5,49669,Sa Frache,10.139532,11.967207,sardinian
5,102098,Sa Rughe de Santu Antinu,20.690532,45.280338,sardinian
4,8886,Sa Tona,1.906584,63.670101,sardinian
2,26727,Sas Tres Marias,5.679313,-1.942572,sardinian
10,17448,Su Corru 'e Chervu,3.738648,32.288248,sardinian
