num_pairs,star,name,ra,dec,culture
8,25281,Tuinga ika,5.407949,-2.397146,tongan
6,78493,ʻAo ʻo ʻUvea,16.024047,29.851061,tongan
4,21421,Tu'ulalupe,4.598677,16.509301,tongan
4,8886,Kapakau'o'tafahi,1.906584,63.670101,tongan
2,61084,Toloatonga,12.519429,-57.113212,tongan
2,26727,Toloa,5.679313,-1.942572,tongan
2,42913,Toloalahi,8.745059,-54.70882099999999,tongan
2,26311,Houmatoloa,5.603559,-1.20192,tongan
2,60742,Fatanalua,12.448966,28.268423,tongan
1,36850,Lua tangata,7.5766339999999985,31.888276,tongan
1,71683,Fungasia,14.660765,-60.833976,tongan
