num_pairs,star,name,ra,dec,culture
8,17847,Nhorkoatero,3.819373,24.053415,tukano
7,25930,Sioyahpu,5.533445,-0.299092,tukano
6,54061,Sipé Phairó,11.062155,61.75103299999999,tukano
58,17772,Yai,3.805021,50.736767,tukano
5,114724,Mhua,23.238711,-6.049003,tukano
43,78820,Aña,16.09062,-19.805453,tukano
4,21421,Waikasa,4.598677,16.509301,tukano
4,60718,Yurara,12.443311,-63.09909200000001,tukano
22,61418,Yhé,12.585489,18.377058,tukano
18,115438,Dahsiaw,23.382842,-20.10058,tukano
12,102532,Pamõ,20.77764,16.124295999999998,tukano
