num_pairs,star,name,ra,dec,culture
9,114131,Grus,23.11465,-43.520358,western
9,71795,Bootes,14.68582,13.7283,western
9,94779,Cygnus,19.28504,53.368459,western
9,91875,Corona Australis,18.729706,-38.323441,western
9,53740,Crater,10.996244,-18.298783,western
9,100064,Capricornus,20.300904,-12.544852,western
8,98036,Aquila,19.921887,6.406763,western
7,37504,Volans,7.697004,-72.606098,western
7,11767,Ursa Minor,2.52975,89.26410899999998,western
7,39757,Puppis,8.125736999999999,-24.304324,western
7,86032,Ophiuchus,17.582241,12.560035,western
7,88714,Ara,18.11052,-50.09147700000001,western
7,45860,Lynx,9.350925,34.392562,western
6,28380,Auriga,5.995351,37.212585,western
6,113368,Piscis Austrinus,22.960838,-29.622236,western
6,109937,Lacerta,22.26616,37.748737,western
6,61174,Corvus,12.53451,-16.196007,western
6,76127,Corona Borealis,15.548829,31.359133,western
6,29651,Monoceros,6.247592,-6.274776,western
6,30277,Columba,6.368564,-33.4364,western
6,109492,Cepheus,22.180908,58.201261,western
5,91262,Lyra,18.61564,38.783692,western
5,16228,Camelopardalis,3.484482,59.94033,western
5,77853,Libra,15.897093,-16.729293,western
5,43103,Cancer,8.778284,28.759898,western
5,101421,Delphinus,20.553547,11.303263,western
5,27100,Dorado,5.7462230000000005,-65.73552600000001,western
5,677,Andromeda,0.139791,29.090432,western
5,79509,Norma,16.224648000000002,-54.630467,western
5,92175,Scutum,18.786242,-4.7478669999999985,western
4,62322,Musca,12.771346,-68.10811899999999,western
4,104521,Equuleus,21.172361,10.131579,western
4,53229,Leo Minor,10.888526,34.214871,western
4,19780,Reticulum,4.240404,-62.47385799999999,western
4,2021,Hydrus,0.427916,-77.25424699999998,western
4,96837,Sagitta,19.68415,17.476041,western
4,8886,Cassiopeia,1.906584,63.670101,western
3,107089,Octans,21.691253,-77.390046,western
3,105319,Indus,21.331096,-53.449427,western
3,10670,Triangulum,2.288573,33.847194,western
3,82273,Triangulum Australe,16.811076999999994,-69.027715,western
3,13209,Aries,2.833063,27.260507,western
3,116231,Sculptor,23.549512,-37.818268,western
3,110130,Tucana,22.308371,-60.259587,western
27,7588,Eridanus,1.628556,-57.236757,western
24,89931,Sagittarius,18.3499,-29.828103,western
21,26727,Orion,5.679313,-1.942572,western
20,10324,Cetus,2.2166650000000003,8.846717,western
2,71908,Circinus,14.708492,-64.975138,western
2,19747,Horologium,4.233363,-42.294368,western
2,40702,Chamaeleon,8.308703,-76.919722,western
2,64241,Coma Berenices,13.166469,17.529431,western
2,105140,Microscopium,21.298966,-32.172539,western
2,42515,Pyxis,8.668372999999999,-35.308352,western
2,72370,Apus,14.797701000000002,-79.044751,western
2,61084,Crux,12.519429,-57.113212,western
2,21060,Caelum,4.513916,-44.953749,western
2,32607,Pictor,6.803194,-61.941391,western
19,67301,Ursa Major,13.792354,49.313265,western
19,4889,Pisces,1.046971,31.804263,western
18,86414,Hercules,17.657747,46.006332,western
18,42799,Hydra,8.720410000000001,3.3986620000000003,western
17,33160,Canis Major,6.903167,-12.038628,western
16,71683,Centaurus,14.660765,-60.833976,western
16,31681,Gemini,6.628528,16.399252,western
15,87585,Draco,17.892134,56.872643,western
14,1067,Pegasus,0.220598,15.183596,western
14,45238,Carina,9.220041,-69.717208,western
14,106278,Aquarius,21.525982,-5.571172,western
14,28910,Lepus,6.10259,-14.935254,western
13,100751,Pavo,20.427459,-56.73509,western
13,77634,Lupus,15.849316,-33.627165000000005,western
12,25428,Taurus,5.438198000000001,28.60745,western
12,57380,Virgo,11.764322,6.529376,western
12,85927,Scorpius,17.560145000000002,-37.103821,western
11,5348,Phoenix,1.139742,-55.24576,western
11,77516,Serpens,15.827001999999998,-3.4302080000000004,western
10,39953,Vela,8.158876,-47.336588,western
10,17448,Perseus,3.738648,32.288248,western
10,57632,Leo,11.817663,14.57206,western
1,51437,Sextans,10.504855,-0.637026,western
1,25918,Mensa,5.531318,-76.340964,western
1,95771,Vulpecula,19.478427,24.664905,western
1,90568,Telescopium,18.480505,-49.070588,western
1,37279,Canis Minor,7.655033,5.224993,western
1,51172,Antlia,10.45253,-31.067779,western
1,61317,Canes Venatici,12.562411,41.35748,western
1,13147,Fornax,2.818169,-32.405898,western
