ast_ID,vals,ra,dec
1,2,"1.89217, 1.910668, 1.910668, 2.119555","19.293852, 20.808035, 20.808035, 23.462423"
2,3,"3.193822, 2.986868, 2.986868, 2.940596, 2.940596, 3.193822","19.726677, 21.340429, 21.340429, 18.023119, 18.023119, 19.726677"
3,5,"3.819373, 3.772104, 3.772104, 3.747927, 3.747927, 3.746726, 3.746726, 3.765132, 3.765132, 3.819373","24.053415, 23.948358, 23.948358, 24.113339, 24.113339, 24.28947, 24.28947, 24.554511, 24.554511, 24.053415"
4,4,"4.598677, 4.477705, 4.477705, 4.329889, 4.329889, 4.382247, 4.382247, 4.476943","16.509301, 15.870883, 15.870883, 15.627642000000002, 15.627642000000002, 17.542514, 17.542514, 19.180431"
5,3,"5.5856330000000005, 5.580344, 5.580344, 5.615108, 5.615108, 5.5856330000000005","9.934158, 9.489579, 9.489579, 9.290673, 9.290673, 9.934158"
6,1,"6.628528, 6.754824","16.399252, 12.895591"
7,1,"7.5766339999999985, 7.755277","31.888276, 28.026199"
8,2,"8.721430999999999, 8.67417, 8.67417, 8.74475","21.468501, 19.544808, 19.544808, 18.154309"
9,1,"9.129115, 9.528675","10.668191, 22.967971"
10,3,"10.278171, 10.332873, 10.332873, 10.122209, 10.122209, 10.139532","23.417311, 19.841489000000006, 19.841489000000006, 16.762664, 16.762664, 11.967207"
11,1,"11.235138, 11.237335","20.523717, 15.429570000000002"
12,1,"11.817663, 11.817663","14.57206, 14.57206"
13,4,"13.036278, 12.926725, 12.926725, 12.694345, 12.694345, 12.331766, 12.331766, 11.844922","10.95915, 3.39747, 3.39747, -1.449375, -1.449375, -0.6668029999999999, -0.6668029999999999, 1.764718"
14,1,"13.419883, 13.419883","-11.161322, -11.161322"
15,2,"14.266908, 14.214929, 14.214929, 14.318498000000002","-6.000547, -10.273702, -10.273702, -13.371095"
16,1,"14.847976999999998, 15.283449","-16.041778, -9.382917"
17,7,"16.09062, 16.005557, 16.005557, 15.980865, 15.980865, 15.67136, 15.67136, 15.699110999999998, 15.699110999999998, 15.897093, 15.897093, 16.09062, 15.699110999999998, 16.005557","-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -23.818078, -23.818078, -19.678828, -19.678828, -16.729293, -16.729293, -19.805453, -19.678828, -22.62171"
18,1,"16.490128, 16.490128","-26.432002, -26.432002"
19,1,"17.560145000000002, 17.512732","-37.103821, -37.295811"
20,14,"18.3499, 18.402868, 18.402868, 19.043532, 19.043532, 18.76094, 18.76094, 18.3499, 18.096803, 18.293793, 18.293793, 18.402868, 18.402868, 18.3499, 18.3499, 18.096803, 18.92109, 19.11567, 19.11567, 19.043532, 19.043532, 18.76094, 18.76094, 18.92109, 18.3499, 18.466179, 18.466179, 18.76094","-29.828103, -34.384615999999994, -34.384615999999994, -29.880105, -29.880105, -26.990778, -26.990778, -29.828103, -30.424091, -36.761686, -36.761686, -34.384615999999994, -34.384615999999994, -29.828103, -29.828103, -30.424091, -26.296721999999995, -27.670423, -27.670423, -29.880105, -29.880105, -26.990778, -26.990778, -26.296721999999995, -29.828103, -25.4217, -25.4217, -26.990778"
21,5,"19.772707, 19.668657, 19.668657, 19.424906, 19.424906, 19.438654, 19.438654, 19.607243, 19.607243, 19.772707","-19.761113, -23.429086, -23.429086, -23.962457, -23.962457, -21.776693, -21.776693, -18.852921, -18.852921, -19.761113"
22,2,"20.29413, 20.344393, 20.344393, 20.350187","-12.508212, -12.75908, -12.75908, -14.781367"
23,2,"20.794598, 20.877565, 20.877565, 21.159902","-9.495776, -8.983317999999997, -8.983317999999997, -11.371693"
24,2,"21.525982, 21.629197, 21.629197, 21.750071","-5.571172, -7.854201, -7.854201, -9.082428"
25,3,"22.421284, 22.480531, 22.480531, 22.589272, 22.360938, 22.480531","1.377401, -0.019972, -0.019972, -0.117498, -1.387331, -0.019972"
26,1,"23.062901, 23.079348","28.082789, 15.205264"
27,1,"0.139791, 0.220598","29.090432, 15.183596"
28,10,"0.830234, 0.68533, 0.68533, 0.61468, 0.61468, 0.642602, 0.642602, 0.788981, 0.788981, 1.163667, 1.163667, 1.190894, 1.190894, 1.324443, 1.324443, 1.352047, 1.352047, 1.162194, 1.162194, 0.830234","41.078911, 39.458664, 39.458664, 33.719344, 33.719344, 29.311751, 29.311751, 24.267178, 24.267178, 19.658408, 19.658408, 21.03465, 21.03465, 27.264059000000003, 27.264059000000003, 28.738207, 28.738207, 35.620558, 35.620558, 41.078911"
