ast_ID,vals,ra,dec
1,5,"0.139791, 0.655462, 0.655462, 1.162194, 2.064984, 1.162194, 1.162194, 0.945885, 0.945885, 0.830234","29.090432, 30.861024, 30.861024, 35.620558, 42.329725, 35.620558, 35.620558, 38.499345, 38.499345, 41.078911"
2,15,"21.525982, 22.096399, 22.096399, 22.360938, 22.360938, 22.480531, 22.480531, 22.589272, 22.589272, 22.87691, 22.87691, 23.264859, 23.264859, 23.382842, 22.096399, 22.280565, 22.280565, 22.107286, 22.280565, 22.510782, 22.510782, 22.826528, 22.826528, 22.910837, 20.794598, 21.525982, 23.382842, 23.157443, 23.157443, 22.960838","-5.571172, -0.319851, -0.319851, -1.387331, -1.387331, -0.019972, -0.019972, -0.117498, -0.117498, -7.579599000000001, -7.579599000000001, -9.087737, -9.087737, -20.10058, -0.319851, -7.783289999999999, -7.783289999999999, -13.869679, -7.783289999999999, -10.67795, -10.67795, -13.592632, -13.592632, -15.82082, -9.495776, -5.571172, -20.10058, -21.17241, -21.17241, -29.622236"
3,8,"19.921887, 19.846388, 19.846388, 19.770994, 19.846388, 19.424972, 19.424972, 19.874547, 20.188413, 19.874547, 19.424972, 19.090169, 19.090169, 18.993711, 19.424972, 19.10415","6.406763, 8.868322000000003, 8.868322000000003, 10.613261, 8.868322000000003, 3.114775, 3.114775, 1.005661, -0.8214610000000001, 1.005661, 3.114775, 13.863478, 13.863478, 15.068298, 3.114775, -4.882554"
4,7,"18.11052, 17.530695, 17.530695, 16.977006, 16.977006, 16.82976, 16.82976, 17.518318, 17.518318, 17.423239000000002, 17.423239000000002, 17.421665, 17.421665, 18.11052","-50.09147700000001, -49.876145, -49.876145, -55.990141, -55.990141, -59.041378, -59.041378, -60.683848, -60.683848, -56.377727, -56.377727, -55.529884, -55.529884, -50.09147700000001"
5,3,"2.833063, 2.119555, 2.119555, 1.910668, 1.910668, 1.89217","27.260507, 23.462423, 23.462423, 20.808035, 20.808035, 19.293852"
6,6,"5.995351, 5.992149, 5.992149, 5.27815, 5.27815, 5.041301, 5.041301, 4.9498940000000005, 5.438198000000001, 4.9498940000000005, 5.438198000000001, 5.995351","37.212585, 44.947433, 44.947433, 45.997991, 45.997991, 41.075837, 41.075837, 33.166090000000004, 28.60745, 33.166090000000004, 28.60745, 37.212585"
7,11,"14.68582, 14.261029999999998, 14.261029999999998, 14.749784, 14.749784, 15.258376, 15.258376, 15.032436, 15.032436, 14.534636, 14.534636, 14.5305, 14.5305, 14.261029999999998, 14.261029999999998, 13.911411, 13.911411, 13.824623, 14.534636, 14.273074, 14.273074, 14.419967000000002","13.7283, 19.18241, 19.18241, 27.074222, 27.074222, 33.314833, 33.314833, 40.390566, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 19.18241, 19.18241, 18.397717, 18.397717, 15.797904999999998, 38.308253, 46.088305, 46.088305, 51.850744"
8,5,"8.778284, 8.721430999999999, 8.721430999999999, 8.334406, 8.721430999999999, 8.74475, 8.74475, 8.275256, 8.74475, 8.974784","28.759898, 21.468501, 21.468501, 27.217707, 21.468501, 18.154309, 18.154309, 9.185545, 18.154309, 11.857701"
9,17,"6.903167, 7.062637, 7.062637, 6.935617999999999, 6.935617999999999, 6.752481, 6.752481, 7.050408999999998, 7.050408999999998, 7.139857000000001, 7.139857000000001, 7.246849, 7.246849, 7.401584, 6.9770970000000005, 7.028652, 7.028652, 7.139857000000001, 7.028652, 6.903623, 6.903623, 6.6113990000000005, 6.6113990000000005, 6.5842740000000015, 6.6113990000000005, 6.378329, 6.6113990000000005, 6.752481, 6.9770970000000005, 6.8306830000000005, 6.338553, 6.9770970000000005, 6.935617999999999, 6.903167","-12.038628, -15.633285999999998, -15.633285999999998, -17.054242000000002, -17.054242000000002, -16.716116, -16.716116, -23.833291, -23.833291, -26.3932, -26.3932, -26.772667, -26.772667, -29.303104, -28.972084, -27.93483, -27.93483, -26.3932, -27.93483, -23.928336, -23.928336, -19.255879, -19.255879, -22.964793, -19.255879, -17.955918, -19.255879, -16.716116, -28.972084, -32.508478000000004, -30.063367, -28.972084, -17.054242000000002, -12.038628"
10,1,"7.655033, 7.452512","5.224993, 8.289315"
11,9,"20.300904, 20.350187, 20.350187, 21.099118, 21.099118, 21.370776, 21.370776, 21.668181, 21.668181, 21.784011, 21.370776, 21.444452, 21.444452, 21.099118, 20.350187, 20.76826, 21.099118, 20.863692","-12.544852, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542000000006, -16.834542000000006, -16.662308, -16.662308, -16.127285999999998, -16.834542000000006, -22.411332, -22.411332, -17.232861, -14.781367, -25.270898000000006, -17.232861, -26.919133"
12,4,"1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887","63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001"
13,16,"14.660765, 14.063729, 14.063729, 13.664796, 13.664796, 13.925667, 13.925667, 13.977987, 13.977987, 13.826943, 13.826943, 13.825078, 13.825078, 13.517404999999998, 13.517404999999998, 13.343296, 13.825078, 14.111395000000002, 13.826943, 14.591786, 14.591786, 14.986025, 13.925667, 12.691971, 12.691971, 12.467331, 12.467331, 12.13931, 12.13931, 11.579355, 11.579355, 11.596363","-60.833976, -60.373039, -60.373039, -53.466394, -53.466394, -47.288375, -47.288375, -44.803584, -44.803584, -42.473732, -42.473732, -41.68770900000001, -41.68770900000001, -39.407307, -39.407307, -36.71229500000001, -41.68770900000001, -36.369954, -42.473732, -42.157824, -42.157824, -42.104194, -47.288375, -48.959888, -48.959888, -50.230635, -50.230635, -50.722425, -50.722425, -54.264091, -54.264091, -63.01984100000001"
14,6,"22.180908, 22.82802, 22.82802, 21.477662, 21.477662, 21.30963, 21.30963, 22.180908, 22.82802, 23.65582, 23.65582, 21.477662","58.201261, 66.200408, 66.200408, 70.560716, 70.560716, 62.585573, 62.585573, 58.201261, 66.200408, 77.632276, 77.632276, 70.560716"
15,20,"2.2166650000000003, 2.469317, 1.734479, 0.72649, 0.72649, 0.323799, 0.72649, 1.1431639999999998, 1.1431639999999998, 1.40039, 1.40039, 1.857676, 1.857676, 2.432501, 2.432501, 2.659398, 2.659398, 2.735375, 2.735375, 2.534786, 2.534786, 1.734479, 2.322442, 2.659398, 2.322442, 2.658044, 2.658044, 2.721678, 2.721678, 3.039588, 3.039588, 2.99525, 2.99525, 2.749039, 2.749039, 2.469317, 2.469317, 2.597909, 2.597909, 2.721678","8.846717, 8.460054, -15.93748, -17.986604999999994, -17.986604999999994, -8.823921, -17.986604999999994, -10.182264, -10.182264, -8.183257000000001, -8.183257000000001, -10.335038, -10.335038, -12.29048, -12.29048, -11.872156, -11.872156, -13.858695999999998, -13.858695999999998, -15.244677, -15.244677, -15.93748, -2.977643, -11.872156, -2.977643, 0.328511, 0.328511, 3.235818, 3.235818, 4.352884, 4.352884, 8.907364999999997, 8.907364999999997, 10.114146, 10.114146, 8.460054, 8.460054, 5.593246, 5.593246, 3.235818"
16,2,"13.166469, 13.197904, 13.197904, 12.448966","17.529431, 27.878183, 27.878183, 28.268423"
