ast_ID,vals,ra,dec
Cas,6,"23.813937, 0.7086180000000001, 0.7086180000000001, 1.738317, 1.738317, 1.906584, 1.906584, 1.432208, 1.432208, 2.484437, 1.432208, 2.057268","62.214516, 58.753411, 58.753411, 57.53661700000001, 57.53661700000001, 63.670101, 63.670101, 68.130012, 68.130012, 67.402474, 68.130012, 72.42129399999997"
Cep,4,"21.30963, 22.063135, 22.063135, 21.987518, 21.987518, 23.131623, 21.987518, 21.477662","62.585573, 64.627971, 64.627971, 73.179896, 73.179896, 75.387496, 73.179896, 70.560716"
Col,11,"21.298632, 21.579596, 21.579596, 21.669749, 21.579596, 21.315369, 21.315369, 21.307551, 21.307551, 20.815637, 20.815637, 21.082184, 21.082184, 20.952893, 20.952893, 21.051343, 21.051343, 20.790149, 21.051343, 21.322828, 21.322828, 21.298632","34.896898, 38.534054, 38.534054, 43.273839, 38.534054, 41.040518, 41.040518, 43.945945, 43.945945, 46.114134, 46.114134, 43.927852, 43.927852, 41.167136, 41.167136, 38.657415, 38.657415, 36.490717, 38.657415, 38.237473, 38.237473, 34.896898"
Cyg,6,"19.668275, 20.157116, 20.157116, 19.866408, 19.866408, 19.610555, 19.610555, 19.737943, 19.737943, 19.938438, 19.737943, 19.272804","18.01389, 36.839621, 36.839621, 47.02733900000001, 47.02733900000001, 44.694936, 44.694936, 37.354355, 37.354355, 35.083424, 37.354355, 38.133731"
Lac,4,"20.797025, 21.019702, 21.019702, 21.020644, 21.020644, 20.623217, 20.623217, 20.382089","47.831869, 46.155773, 46.155773, 43.721788, 43.721788, 38.328665, 38.328665, 42.983543"
Leo,5,"19.874547, 20.188413, 20.188413, 19.937292000000006, 19.937292000000006, 20.619673, 20.638967, 20.188413, 19.937292000000006, 19.770994","1.005661, -0.8214610000000001, -0.8214610000000001, 11.423721, 11.423721, -1.311014, -1.105121, -0.8214610000000001, 11.423721, 10.613261"
Lyn,4,"21.447668, 21.309008, 21.447668, 21.51647, 21.309008, 20.711025, 21.447668, 20.940407","48.835168, 61.18439300000001, 48.835168, 60.45943199999999, 61.18439300000001, 60.601316, 48.835168, 50.728598"
Men,13,"20.397671, 20.489926, 20.489926, 20.642038, 20.642038, 20.777462, 20.777462, 20.926858, 20.926858, 20.997458, 20.997458, 20.971209, 20.926858, 20.66441, 20.66441, 20.625816, 20.625816, 20.237949, 20.237949, 20.339279, 20.339279, 20.254415, 20.254415, 20.018346, 20.018346, 20.489926","32.190172, 30.368555, 30.368555, 21.201174, 21.201174, 16.124133999999998, 16.124133999999998, 13.721536, 13.721536, 16.824342, 16.824342, 22.325908, 13.721536, 11.249649, 11.249649, 14.595087, 14.595087, 15.197609, 15.197609, 17.792928, 17.792928, 25.591957, 25.591957, 27.753573, 27.753573, 30.368555"
Peg,4,"22.350428, 1.633205, 1.633205, 2.736634, 2.736634, 3.1881630000000003, 3.1881630000000003, 3.76646","46.536569, 48.628213, 48.628213, 49.228448, 49.228448, 39.611582, 39.611582, 45.681899"
Phe,4,"20.223288, 20.755878, 20.755878, 20.990377, 20.755878, 20.505551, 20.505551, 20.022655","56.567722, 57.579725, 57.579725, 59.438594, 57.579725, 49.78017, 49.78017, 50.104695"
Psc,4,"21.75748, 21.725127, 21.725127, 22.392675, 22.392675, 23.500536, 23.500536, 22.486183","61.12080600000001, 58.780046, 58.780046, 52.229046, 52.229046, 58.54892, 58.54892, 58.415198"
