ast_ID,vals,ra,dec
1,7,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.897168, 11.897168, 11.030677, 11.030677, 11.062155, 11.062155, 12.257086","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.75103299999999, 61.75103299999999, 57.032617"
2,5,"18.61564, 18.746209, 18.746209, 18.834665, 18.834665, 18.982395, 18.982395, 18.908412, 18.908412, 18.746209","38.783692, 37.60511500000001, 37.60511500000001, 33.362667, 33.362667, 32.689557, 32.689557, 36.898613, 36.898613, 37.60511500000001"
3,7,"3.819373, 3.79141, 3.79141, 3.763779, 3.763779, 3.75347, 3.75347, 3.746726, 3.746726, 3.747927, 3.747927, 3.772104, 3.772104, 3.79141","24.053415, 24.105137, 24.105137, 24.367748, 24.367748, 24.467278, 24.467278, 24.28947, 24.28947, 24.113339, 24.113339, 23.948358, 23.948358, 24.105137"
4,4,"20.690532, 20.370473, 20.370473, 19.749574, 20.370473, 20.770178, 20.370473, 19.512023000000006","45.280338, 40.256679, 40.256679, 45.13081, 40.256679, 33.970256, 40.256679, 27.959681"
5,6,"15.548829, 15.463818, 15.463818, 15.578128, 15.578128, 15.712381, 15.712381, 15.826570000000002, 15.826570000000002, 15.959794, 15.959794, 16.024047","31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061"
6,1,"5.27815, 5.27815","45.997991, 45.997991"
7,5,"4.329889, 4.382247, 4.382247, 4.424828, 4.424828, 4.476943, 4.329889, 4.477705, 4.477705, 4.598677","15.627642000000002, 17.542514, 17.542514, 17.92791, 17.92791, 19.180431, 15.627642000000002, 15.870883, 15.870883, 16.509301"
8,1,"7.755277, 7.5766339999999985","28.026199, 31.888276"
9,2,"5.679313, 5.603559, 5.603559, 5.533445","-1.942572, -1.20192, -1.20192, -0.299092"
10,1,"2.52975, 2.52975","89.26410899999998, 89.26410899999998"
11,9,"15.258376, 15.032436, 15.032436, 14.534636, 14.534636, 14.5305, 14.5305, 14.261029999999998, 14.261029999999998, 13.911411, 14.261029999999998, 14.749784, 14.749784, 15.258376, 13.911411, 13.824623, 14.749784, 15.258376","33.314833, 40.390566, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 19.18241, 19.18241, 18.397717, 19.18241, 27.074222, 27.074222, 33.314833, 18.397717, 15.797904999999998, 27.074222, 33.314833"
12,3,"5.593307, 5.580002, 5.580002, 5.648079, 5.580002, 5.532183","-3.25284, -7.200386999999999, -7.200386999999999, -7.212828999999998, -7.200386999999999, -7.301537"
13,3,"2.833063, 2.119555, 2.119555, 1.910668, 1.910668, 1.89217","27.260507, 23.462423, 23.462423, 20.808035, 20.808035, 19.293852"
14,15,"17.892134, 17.943437, 17.943437, 17.507213, 17.507213, 17.537767000000002, 17.537767000000002, 17.892134, 17.892134, 19.209225, 19.209225, 19.80285, 19.80285, 19.259229, 19.259229, 18.350736, 18.350736, 17.146448, 17.146448, 16.39986, 16.39986, 16.031532000000002, 16.031532000000002, 15.415494, 15.415494, 14.073165, 14.073165, 12.558058, 12.558058, 11.523407","56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076"
15,2,"13.166469, 13.197904, 13.197904, 12.448966","17.529431, 27.878183, 27.878183, 28.268423"
16,7,"2.52975, 17.536918, 17.536918, 16.766159, 16.766159, 15.734298999999998, 15.734298999999998, 16.291791, 16.291791, 15.345482999999998, 15.345482999999998, 14.845104999999998, 14.845104999999998, 15.734298999999998","89.26410899999998, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493"
17,7,"5.919529, 5.5856330000000005, 5.5856330000000005, 5.418851, 5.418851, 5.533445, 5.533445, 5.242298, 5.919529, 5.679313, 5.679313, 5.795941, 5.795941, 5.242298","7.407063000000001, 9.934158, 9.934158, 6.349702, 6.349702, -0.299092, -0.299092, -8.20164, 7.407063000000001, -1.942572, -1.942572, -9.669605, -9.669605, -8.20164"
18,16,"6.628528, 7.0684809999999985, 7.0684809999999985, 7.335383, 7.335383, 7.30155, 7.30155, 6.754824, 7.335383, 7.598708, 7.598708, 7.740792999999999, 7.598708, 7.755277, 7.598708, 7.428779, 7.428779, 7.1856589999999985, 7.1856589999999985, 7.5766339999999985, 7.1856589999999985, 6.879816, 7.1856589999999985, 6.732202, 6.732202, 6.482719, 6.732202, 6.3826730000000005, 6.3826730000000005, 6.247961, 6.247961, 6.068671","16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341"
19,9,"20.300904, 20.350187, 20.350187, 21.099118, 21.099118, 21.370776, 21.370776, 21.668181, 21.668181, 21.784011, 21.370776, 21.444452, 21.444452, 21.099118, 20.350187, 20.76826, 21.099118, 20.863692","-12.544852, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542000000006, -16.834542000000006, -16.662308, -16.662308, -16.127285999999998, -16.834542000000006, -22.411332, -22.411332, -17.232861, -14.781367, -25.270898000000006, -17.232861, -26.919133"
20,1,"0.152887, 0.152887","59.14978000000001, 59.14978000000001"
