ast_ID,vals,ra,dec
Bbg,5,"15.08003, 14.754802, 14.754802, 14.708492, 14.754802, 14.926287, 14.754802, 14.331002, 14.754802, 14.660765","-64.03135, -62.875648, -62.875648, -64.975138, -62.875648, -60.114164, -62.875648, -61.272972, -62.875648, -60.833976"
Bun,12,"12.472025, 12.443311, 12.443311, 12.252427, 12.252427, 12.519429, 12.498388, 12.476029, 12.476029, 12.365953, 12.365953, 12.380403, 12.380403, 12.458019, 12.458019, 12.527871, 12.527871, 12.699051, 12.699051, 12.795359, 12.795359, 12.910889, 12.184969, 12.252427","-64.34098900000001, -63.09909200000001, -63.09909200000001, -58.748928, -58.748928, -57.113212, -56.52494, -56.407816, -56.407816, -56.374385, -56.374385, -57.676132, -57.676132, -58.991756, -58.991756, -59.423922, -59.423922, -59.685819, -59.685819, -59.688764, -59.688764, -59.146701, -56.40135600000001, -58.748928"
Col,1,"20.300904, 20.300904","-12.544852, -12.544852"
Cwp,6,"4.881575, 5.023985, 5.023985, 5.15244, 5.15244, 5.204973000000002, 5.204973000000002, 5.220522, 5.220522, 5.215528, 5.15244, 5.242298","-5.4526949999999985, -7.173964999999999, -7.173964999999999, -8.754081, -8.754081, -11.869219, -11.869219, -12.941291, -12.941291, -16.205468, -8.754081, -8.20164"
Cwr,7,"10.369569, 10.464649, 10.464649, 10.645834, 10.645834, 10.711269, 10.711269, 10.745842, 10.745842, 10.823457, 10.823457, 10.891559, 10.891559, 11.143165","-58.265572, -58.739403, -58.739403, -59.182997, -59.182997, -59.215759, -59.215759, -59.56519, -59.56519, -59.323793, -59.323793, -58.853171, -58.853171, -58.975037"
Djt,6,"16.09062, 16.005557, 16.005557, 15.980865, 15.980865, 15.948077, 16.598043, 16.490128, 16.490128, 16.353143, 16.353143, 15.67136","-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073, -28.216016, -26.432002, -26.432002, -25.592796, -25.592796, -23.818078"
Gel,1,"4.598677, 4.598677","16.509301, 16.509301"
Krk,6,"17.560145000000002, 17.708132, 17.512732, 17.708132, 17.708132, 17.793078, 17.708132, 17.552052, 17.552052, 17.202551999999994, 17.708132, 18.293793","-37.103821, -39.029983, -37.295811, -39.029983, -39.029983, -40.126997, -39.029983, -41.173066, -41.173066, -43.239189, -39.029983, -36.761686"
Ktc,9,"3.303309, 3.489558, 3.489558, 3.736593, 3.736593, 5.229288, 5.229288, 7.1457880000000005, 7.1457880000000005, 6.997378, 6.997378, 7.280508, 5.229288, 7.663458, 5.229288, 5.560421, 5.229288, 3.787295","-62.506363, -62.937527, -62.937527, -64.806903, -64.806903, -67.185255, -67.185255, -70.498932, -70.498932, -67.916443, -67.916443, -67.95715200000001, -67.185255, -72.581916, -67.185255, -62.489825, -67.185255, -74.238962"
Kts,1,"0.427916, 0.427916","-77.25424699999998, -77.25424699999998"
Kul,26,"5.653096, 5.690775, 5.690775, 5.704893, 5.704893, 5.707953, 5.707953, 5.684888, 5.684888, 5.679313, 5.684888, 5.776364, 5.776364, 5.8416739999999985, 5.8416739999999985, 5.874011, 5.533445, 5.49555, 5.679313, 5.6457690000000005, 5.586885, 5.585891, 5.585891, 5.582358, 5.582358, 5.574802, 5.574802, 5.543883, 5.543883, 5.533445, 5.574802, 5.684888, 5.586885, 5.580053, 5.580053, 5.567747, 5.567747, 5.558735, 5.558735, 5.54482, 5.54482, 5.552041, 5.552041, 5.569372, 5.569372, 5.604954, 5.604954, 5.626334, 5.626334, 5.637149, 5.637149, 5.679313","4.121467, 3.778039, 3.778039, 2.367177, 2.367177, 1.4746290000000002, 1.4746290000000002, 0.337753, 0.337753, -1.942572, 0.337753, 1.168193, 1.168193, 2.0247, 2.0247, 1.855134, -0.299092, -1.092239, -1.942572, -2.600069, -0.735354, -0.269599, -0.269599, -0.12286, -0.12286, -0.012345, -0.012345, 0.011933, 0.011933, -0.299092, -0.012345, 0.337753, -0.735354, -0.953637, -0.953637, -1.035726, -1.035726, -1.156073, -1.156073, -1.591831, -1.591831, -1.7173580000000002, -1.7173580000000002, -1.901853, -1.901853, -1.63533, -1.63533, -1.422134, -1.422134, -1.169176, -1.169176, -1.942572"
