ast_ID,vals,ra,dec
01A,1,"13.419883, 13.578220000000002","-11.161322, -0.59582"
01B,1,"13.388582, 13.532746","-4.924427, -6.255816"
01C,1,"13.717698, 13.56887","3.537903, 3.658967"
01D,1,"13.165831, 13.165831","-5.53901, -5.53901"
01E,2,"13.828564000000002, 13.683986, 13.683986, 13.677909","21.264105, 22.495768, 22.495768, 19.955719"
01F,1,"13.534114, 13.306763","-18.72888, -18.311196"
01G,1,"13.61346, 13.315359","-26.495198, -23.171512"
01H,9,"13.977987, 14.591786, 14.591786, 14.111395000000002, 14.111395000000002, 13.824091, 13.824091, 13.343296, 13.343296, 13.200901000000002, 13.200901000000002, 13.109743, 13.109743, 13.185804999999998, 13.185804999999998, 13.232698, 13.232698, 13.189789","-44.803584, -42.157824, -42.157824, -36.369954, -36.369954, -34.450776, -34.450776, -36.71229500000001, -36.71229500000001, -37.803022, -37.803022, -41.588443, -41.588443, -42.232891, -42.232891, -43.139107, -43.139107, -43.36855300000001"
01I,3,"13.825078, 13.826943, 13.971186, 14.10077, 14.10077, 13.825078","-41.68770900000001, -42.473732, -42.10075300000001, -41.179633, -41.179633, -41.68770900000001"
01J,1,"13.11518, 13.664796","-49.906246, -53.466394"
01K,2,"14.698823, 14.631454000000002, 14.631454000000002, 14.505823","-47.3882, -49.425828, -49.425828, -49.519018"
01L,2,"14.435619, 14.345159, 14.345159, 14.323396","-45.221424, -45.18706, -45.18706, -46.058093"
01M,2,"14.028748, 13.925667, 13.925667, 13.863117","-45.603421, -47.288375, -47.288375, -46.898666"
01N,2,"14.383956, 14.342623, 14.342623, 14.021962","-39.511819, -37.885295, -37.885295, -40.221943"
01O,2,"13.517404999999998, 13.435482999999998, 13.435482999999998, 13.448922","-39.407307, -39.755107, -39.755107, -41.497562"
02A,3,"14.214929, 14.266908, 14.266908, 14.470038, 14.214929, 14.318498000000002","-10.273702, -6.000547, -6.000547, -2.227957, -10.273702, -13.371095"
02B,1,"14.261029999999998, 14.261029999999998","19.18241, 19.18241"
02C,6,"14.580758, 14.424970000000002, 14.424970000000002, 14.310626999999998, 14.310626999999998, 14.256691, 14.256691, 14.18069, 14.18069, 14.074160999999998, 14.074160999999998, 13.741618","-20.439381, -19.969985, -19.969985, -18.715968, -18.715968, -18.20069, -18.20069, -16.30203, -16.30203, -14.971708, -14.971708, -16.179072"
02D,2,"14.754017, 14.678768, 14.678768, 14.68582","16.96428, 16.418324, 16.418324, 13.7283"
02E,2,"13.911411, 13.78771, 13.78771, 13.824623","18.397717, 17.456906, 17.456906, 15.797904999999998"
02F,1,"14.413507999999998, 14.384942","-24.80631, -27.754017"
02G,1,"14.212785, 14.106193","-27.261186, -26.682361"
03A,3,"14.847976999999998, 15.203692000000002, 15.203692000000002, 15.592104999999998, 15.592104999999998, 15.283449","-16.041778, -19.79171, -19.79171, -14.789537, -14.789537, -9.382917"
03B,1,"15.827001999999998, 15.827001999999998","-3.4302080000000004, -3.4302080000000004"
03C,1,"14.29995, 14.29995","35.509505, 35.509505"
03D,2,"14.749784, 14.578, 14.578, 14.5305","27.074222, 29.74513, 29.74513, 30.371437"
03E,2,"14.856493, 14.542374, 14.542374, 14.440935","19.10046, 22.260059, 22.260059, 19.2269"
03F,6,"14.329233, 14.291237, 14.291237, 14.243224, 14.243224, 14.234773, 14.234773, 14.247457999999998, 14.247457999999998, 14.321188, 14.321188, 14.329233","16.306948000000002, 15.263379999999998, 15.263379999999998, 13.975451, 13.975451, 12.959444, 12.959444, 10.10061, 10.10061, 13.004299, 13.004299, 16.306948000000002"
03G,2,"15.067839, 14.957765, 14.957765, 14.905592","-25.281965, -21.415475, -21.415475, -24.642202"
03H,2,"15.20476, 15.123874, 15.123874, 14.783694","-52.099247, -49.088612, -49.088612, -52.383518"
03I,1,"15.617070000000002, 15.67136","-28.135079, -23.818078"
03J,1,"15.198918, 15.198918","-48.737819, -48.737819"
03K,2,"15.032801, 14.910532, 14.910532, 14.727624","-34.358875, -33.300575, -33.300575, -35.173655"
03L,2,"15.2437, 15.297178, 15.297178, 15.109222","-31.519121, -30.148673, -30.148673, -30.918483"
03M,2,"14.880855, 14.810569, 14.810569, 14.699332","-37.80316, -36.634697, -36.634697, -37.793498"
03N,2,"15.36344, 15.385931, 15.385931, 15.455037","-36.261376, -36.858489, -36.858489, -36.76756"
03O,2,"15.422285, 15.356201, 15.356201, 15.585681","-38.73362, -40.647518, -40.647518, -41.166757"
03P,2,"14.986025, 14.975537, 14.975537, 14.860641","-42.104194, -43.13396, -43.13396, -43.57535900000001"
03Q,2,"15.378021, 15.147394, 15.147394, 15.085303","-44.689622, -45.279857, -45.279857, -47.051245"
03R,2,"15.490075, 15.308897, 15.308897, 15.368975","-46.732704, -47.875272, -47.875272, -47.927792"
03S,2,"15.634232, 15.686505, 15.686505, 15.598126","-42.567348, -44.661205, -44.661205, -44.958389"
04A,4,"16.09062, 16.005557, 16.005557, 15.980865, 15.980865, 15.948077, 16.113452, 16.09062","-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073, -20.669192, -19.805453"
04B,1,"16.113452, 16.123424","-20.669192, -20.868764"
04C,1,"16.199926, 16.199926","-19.460708, -19.460708"
04D,2,"16.401718, 16.450398999999994, 16.450398999999994, 16.518991","-20.037327, -18.456251, -18.456251, -16.612733"
04E,3,"16.692884, 16.535611, 16.535611, 16.426422, 16.426422, 16.503466","-17.742167000000006, -21.46639, -21.46639, -23.447178, -23.447178, -25.115224"
04F,3,"15.969825, 15.969825, 15.897093, 15.897093, 15.734556","-14.279357999999998, -14.279357999999998, -16.729293, -16.729293, -15.672834"
04G,1,"15.893532999999998, 15.893532999999998","-25.327142, -25.327142"
04H,1,"16.109873999999998, 15.849316","-36.802288, -33.627165000000005"
05A,2,"16.353143, 16.490128, 16.490128, 16.598043","-25.592796, -26.432002, -26.432002, -28.216016"
05B,12,"16.400354999999998, 16.606242, 16.400354999999998, 16.523037, 16.188256, 16.002036, 16.188256, 15.991743, 16.374741, 16.254257, 16.374741, 16.453067, 16.528269, 16.606268, 16.528269, 16.745165, 16.400354999999998, 16.188256, 16.188256, 16.374741, 16.374741, 16.528269, 16.528269, 16.400354999999998","-39.19298, -35.25532600000001, -39.19298, -34.704366, -41.11980300000001, -38.396706, -41.11980300000001, -41.744436, -43.912051, -47.372021, -43.912051, -47.554786, -41.817145, -42.858861, -41.817145, -40.839675, -39.19298, -41.11980300000001, -41.11980300000001, -43.912051, -43.912051, -41.817145, -41.817145, -39.19298"
06A,9,"16.83608, 16.864508999999998, 16.864508999999998, 16.899924, 16.899924, 17.202551999999994, 17.202551999999994, 17.621979999999994, 17.621979999999994, 17.793078, 17.793078, 17.708132, 17.708132, 17.560145000000002, 17.708132, 17.512732, 16.864508999999998, 16.872263","-34.293232, -38.04738, -38.04738, -42.362025, -42.362025, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -39.029983, -37.295811, -38.04738, -38.017536"
06B,1,"16.872263, 16.872263","-38.017536, -38.017536"
06C,4,"17.317655, 17.594332, 17.594332, 17.673276, 17.673276, 17.530695, 17.530695, 17.194077","-46.636235, -46.505684, -46.505684, -49.415587, -49.415587, -49.876145, -49.876145, -48.873399"
06D,3,"17.523598, 17.439504, 17.439504, 17.366827, 17.366827, 17.255836","-23.962643, -24.175309, -24.175309, -24.999545, -24.999545, -26.602829"
06E,1,"17.830965, 17.830965","-37.043304, -37.043304"
06F,1,"17.898548, 17.898548","-34.752721, -34.752721"
07A,3,"18.096803, 18.3499, 18.3499, 18.402868, 18.402868, 18.293793","-30.424091, -29.828103, -29.828103, -34.384615999999994, -34.384615999999994, -36.761686"
07B,2,"18.532284, 18.449561, 18.449561, 18.480505","-43.507383, -45.968459, -45.968459, -49.070588"
07C,1,"18.080662, 18.080662","-35.901442, -35.901442"
08A,5,"18.229392, 18.466179, 18.466179, 18.76094, 18.76094, 18.92109, 18.92109, 19.11567, 19.11567, 19.043532","-21.058834, -25.4217, -25.4217, -26.990778, -26.990778, -26.296721999999995, -26.296721999999995, -27.670423, -27.670423, -29.880105"
08B,5,"18.962167, 19.07805, 19.07805, 19.162731, 19.162731, 19.293911, 19.293911, 19.361211, 19.361211, 19.362117","-21.106654, -21.741496, -21.741496, -21.023615, -21.023615, -18.952908, -18.952908, -17.847197, -17.847197, -15.955018"
