ast_ID,vals,ra,dec
1,4,"9.764188, 9.879398, 9.879398, 10.278171, 10.278171, 10.332873, 10.332873, 10.122209","23.774255, 26.006951, 26.006951, 23.417311, 23.417311, 19.841489000000006, 19.841489000000006, 16.762664"
2,13,"5.679313, 5.6457690000000005, 5.6457690000000005, 5.5943010000000015, 5.5943010000000015, 5.587907, 5.587907, 5.5905510000000005, 5.679313, 5.603559, 5.603559, 5.533445, 5.603559, 5.242298, 5.533445, 5.49555, 5.49555, 5.407949, 5.407949, 5.130829, 5.626334, 5.3991190000000016, 5.558735, 5.54482, 5.54482, 5.213369","-1.942572, -2.600069, -2.600069, -4.856067, -4.856067, -5.389696, -5.389696, -5.9099010000000005, -1.942572, -1.20192, -1.20192, -0.299092, -1.20192, -8.20164, -0.299092, -1.092239, -1.092239, -2.397146, -2.397146, -5.086446, -1.422134, -7.808064999999999, -1.156073, -1.591831, -1.591831, -6.05719"
3,8,"7.740792999999999, 7.755277, 7.755277, 7.5766339999999985, 7.5766339999999985, 6.732202, 6.732202, 6.3826730000000005, 6.3826730000000005, 6.628528, 6.628528, 6.754824, 6.754824, 7.30155, 7.30155, 7.740792999999999","24.397993, 28.026199, 28.026199, 31.888276, 31.888276, 25.131124, 25.131124, 22.513586, 22.513586, 16.399252, 16.399252, 12.895591, 12.895591, 16.540383, 16.540383, 24.397993"
4,7,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.062155, 11.062155, 11.030677, 11.030677, 11.897168, 11.897168, 12.257086","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.75103299999999, 61.75103299999999, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617"
5,4,"0.220598, 23.079348, 23.079348, 23.062901, 23.062901, 0.139791, 0.139791, 0.220598","15.183596, 15.205264, 15.205264, 28.082789, 28.082789, 29.090432, 29.090432, 15.183596"
6,5,"19.749574, 20.370473, 20.370473, 20.690532, 20.370473, 20.770178, 20.370473, 19.938438, 19.938438, 19.512023000000006","45.13081, 40.256679, 40.256679, 45.280338, 40.256679, 33.970256, 40.256679, 35.083424, 35.083424, 27.959681"
7,12,"2.034117, 1.892597, 1.892597, 1.6905259999999998, 1.6905259999999998, 1.049058, 1.049058, 0.811373, 0.811373, 23.988525, 2.034117, 1.756564, 1.756564, 1.524725, 1.524725, 1.437573, 1.437573, 1.229152, 1.229152, 1.324443, 1.324443, 1.352047, 1.352047, 1.194342","2.763759, 3.187536, 3.187536, 5.487613, 5.487613, 7.890135000000001, 7.890135000000001, 7.585078999999999, 7.585078999999999, 6.863321000000001, 2.763759, 9.157736, 9.157736, 15.345823, 15.345823, 19.172346, 19.172346, 24.583713, 24.583713, 27.264059000000003, 27.264059000000003, 28.738207, 28.738207, 30.089638"
8,6,"2.119555, 1.910668, 1.910668, 1.89217, 2.288573, 2.1590580000000004, 2.1590580000000004, 1.884696, 1.884696, 1.89217, 2.288573, 2.119555","23.462423, 20.808035, 20.808035, 19.293852, 33.847194, 34.987297, 34.987297, 29.578829, 29.578829, 19.293852, 33.847194, 23.462423"
9,11,"7.401584, 7.139857000000001, 7.139857000000001, 6.9770970000000005, 6.9770970000000005, 6.8306830000000005, 6.8306830000000005, 6.338553, 6.338553, 5.849329, 5.849329, 5.660817, 5.660817, 5.520209, 7.401584, 7.647186, 7.647186, 7.821571, 7.821571, 7.94765, 7.94765, 8.125736999999999","-29.303104, -26.3932, -26.3932, -28.972084, -28.972084, -32.508478000000004, -32.508478000000004, -30.063367, -30.063367, -35.768309, -35.768309, -34.074108, -34.074108, -35.470519, -29.303104, -26.803836, -26.803836, -24.859786, -24.859786, -22.880119, -22.880119, -24.304324"
10,5,"3.79141, 3.772104, 3.772104, 3.747927, 3.747927, 3.75347, 3.75347, 3.79141, 3.79141, 3.819373","24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.105137, 24.105137, 24.053415"
11,12,"3.79141, 3.772104, 3.772104, 3.747927, 3.747927, 3.75347, 3.75347, 3.79141, 3.79141, 3.819373, 3.79141, 5.679313, 3.79141, 5.603559, 3.79141, 5.533445, 5.919529, 5.679313, 5.919529, 5.603559, 5.919529, 5.533445, 5.679313, 6.752481","24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.105137, 24.105137, 24.053415, 24.105137, -1.942572, 24.105137, -1.20192, 24.105137, -0.299092, 7.407063000000001, -1.942572, 7.407063000000001, -1.20192, 7.407063000000001, -0.299092, -1.942572, -16.716116"
12,7,"3.79141, 5.27815, 5.27815, 7.5766339999999985, 7.5766339999999985, 7.755277, 7.755277, 7.655033, 7.655033, 6.752481, 6.752481, 5.242298, 5.242298, 3.79141","24.105137, 45.997991, 45.997991, 31.888276, 31.888276, 28.026199, 28.026199, 5.224993, 5.224993, -16.716116, -16.716116, -8.20164, -8.20164, 24.105137"
13,9,"17.892134, 19.209225, 19.209225, 19.80285, 19.80285, 19.259229, 19.259229, 16.291791, 16.291791, 15.345482999999998, 19.259229, 18.345955, 18.345955, 17.146448, 17.146448, 16.39986, 16.39986, 16.031532000000002","56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 75.75533, 75.75533, 71.834016, 73.355468, 71.337814, 71.337814, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251"
