ast_ID,vals,ra,dec
1,7,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.062155, 11.062155, 11.030677, 11.030677, 11.897168, 11.897168, 12.257086","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.75103299999999, 61.75103299999999, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617"
2,8,"14.073165, 15.345482999999998, 15.345482999999998, 14.845104999999998, 14.845104999999998, 20.148145, 14.845104999999998, 14.073165, 19.209225, 15.415494, 15.415494, 16.031532000000002, 16.031532000000002, 16.39986, 16.39986, 17.146448","64.37585, 71.834016, 71.834016, 74.155505, 74.155505, 77.71141899999998, 74.155505, 64.37585, 67.661541, 58.966065, 58.966065, 58.565251, 58.565251, 61.514213, 61.514213, 65.714683"
3,11,"11.817663, 11.235138, 11.235138, 11.038827, 11.038827, 10.122209, 10.122209, 10.332873, 10.332873, 10.278171, 10.278171, 9.879398, 9.879398, 9.764188, 10.122209, 10.139532, 10.139532, 9.685842999999998, 10.139532, 11.237335, 11.237335, 11.235138","14.57206, 20.523717, 20.523717, 20.179842, 20.179842, 16.762664, 16.762664, 19.841489000000006, 19.841489000000006, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 16.762664, 11.967207, 11.967207, 9.892308, 11.967207, 15.429570000000002, 15.429570000000002, 20.523717"
4,4,"1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887","63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001"
5,28,"5.741057, 5.940082, 5.940082, 6.247592, 6.247592, 6.480297, 5.940082, 5.795941, 5.795941, 5.589532, 5.589532, 5.679313, 5.679313, 5.919529, 5.919529, 5.653096, 5.653096, 5.533445, 5.533445, 5.603559, 5.603559, 5.679313, 5.533445, 5.407949, 5.407949, 5.3991190000000016, 5.3991190000000016, 5.242298, 5.242298, 5.130829, 5.130829, 4.904193, 4.904193, 4.853434, 4.853434, 4.830669, 5.130829, 5.204973000000002, 5.204973000000002, 5.220522, 5.220522, 5.215528, 5.215528, 5.091018, 5.091018, 4.592512, 5.215528, 5.545504, 5.091018, 5.470756, 5.520209, 5.470756, 5.470756, 5.545504, 5.545504, 5.795941","-22.448382, -14.1677, -14.1677, -6.274776, -6.274776, -7.033061999999998, -14.1677, -9.669605, -9.669605, -4.42432, -4.42432, -1.942572, -1.942572, 7.407063000000001, 7.407063000000001, 4.121467, 4.121467, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -0.299092, -2.397146, -2.397146, -7.808064999999999, -7.808064999999999, -8.20164, -8.20164, -5.086446, -5.086446, 2.440672, 2.440672, 5.605104, 5.605104, 6.961276, -5.086446, -11.869219, -11.869219, -12.941291, -12.941291, -16.205468, -16.205468, -22.371032, -22.371032, -30.562341, -16.205468, -17.822289, -22.371032, -20.759441, -35.470519, -20.759441, -20.759441, -17.822289, -17.822289, -9.669605"
6,14,"1.884696, 2.1590580000000004, 2.1590580000000004, 3.158258, 3.158258, 2.736634, 2.736634, 2.844945, 2.844945, 3.405378, 3.405378, 4.109735, 4.109735, 4.248295, 4.248295, 3.698609, 3.698609, 3.98275, 3.98275, 3.743085, 3.743085, 3.136148, 3.136148, 2.843063, 2.843063, 2.288573, 2.288573, 1.884696","29.578829, 34.987297, 34.987297, 44.857544, 44.857544, 49.228448, 49.228448, 55.895496, 55.895496, 49.86118, 49.86118, 50.351262, 50.351262, 48.409331, 48.409331, 43.514373, 43.514373, 35.791033, 35.791033, 35.855729, 35.855729, 40.955648, 40.955648, 38.318644, 38.318644, 33.847194, 33.847194, 29.578829"
7,12,"8.275256, 9.099546, 9.099546, 9.239405, 9.239405, 9.664267, 9.664267, 11.322347, 11.322347, 11.414702, 11.414702, 11.550038, 11.550038, 11.088867, 11.088867, 10.434842, 10.434842, 9.85797, 9.85797, 9.45979, 9.45979, 8.645955, 8.645955, 8.275256","9.185545, 5.092316, 5.092316, 2.31428, 2.31428, -1.14281, -1.14281, -14.778541, -14.778541, -17.68401, -17.68401, -31.857625, -31.857625, -27.293612, -27.293612, -16.836289999999998, -16.836289999999998, -14.846603, -14.846603, -8.658603, -8.658603, 3.341435, 3.341435, 9.185545"
8,3,"6.903167, 6.752481, 6.752481, 7.062637, 7.062637, 6.903167","-12.038628, -16.716116, -16.716116, -15.633285999999998, -15.633285999999998, -12.038628"
9,1,"8.059737, 8.158876","-40.003148, -47.336588"
10,11,"21.700192, 21.370776, 21.403192, 21.159902, 21.159902, 20.947984, 21.784011, 21.668181, 21.668181, 21.478721, 21.478721, 21.444452, 21.444452, 21.118797, 21.118797, 20.863692, 20.863692, 20.76826, 20.76826, 20.350187, 20.350187, 20.300904","-23.262858, -16.834542000000006, -12.878108, -11.371693, -11.371693, -22.005746, -16.127285999999998, -16.662308, -16.662308, -21.80718, -21.80718, -22.411332, -22.411332, -25.005853, -25.005853, -26.919133, -26.919133, -25.270898000000006, -25.270898000000006, -14.781367, -14.781367, -12.544852"
