ast_ID,vals,ra,dec
HAN,2,"12.519429, 12.443311, 12.795359, 12.252427","-57.113212, -63.09909200000001, -59.688764, -58.748928"
IWA,4,"1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887","63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001"
IWI,5,"2.52975, 11.062155, 13.792354, 14.261029999999998, 14.261029999999998, 13.419883, 12.497739, 13.419883, 12.348809, 12.519429","89.26410899999998, 61.75103299999999, 49.313265, 19.18241, 19.18241, -11.161322, -16.515432, -11.161322, -13.565724, -57.113212"
KAO,9,"11.817663, 11.235138, 11.235138, 11.237335, 11.237335, 10.139532, 10.139532, 10.122209, 10.122209, 10.332873, 10.332873, 10.278171, 10.278171, 9.879398, 9.879398, 9.764188, 11.817663, 11.237335","14.57206, 20.523717, 20.523717, 15.429570000000002, 15.429570000000002, 11.967207, 11.967207, 16.762664, 16.762664, 19.841489000000006, 19.841489000000006, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 14.57206, 15.429570000000002"
KHK,8,"5.919529, 5.679313, 5.679313, 5.795941, 5.795941, 5.242298, 5.242298, 5.533445, 5.533445, 5.418851, 5.418851, 5.919529, 5.679313, 5.603559, 5.603559, 5.533445","7.407063000000001, -1.942572, -1.942572, -9.669605, -9.669605, -8.20164, -8.20164, -0.299092, -0.299092, 6.349702, 6.349702, 7.407063000000001, -1.942572, -1.20192, -1.20192, -0.299092"
KOM,11,"6.752481, 7.655033, 7.655033, 7.755277, 7.755277, 7.5766339999999985, 7.5766339999999985, 5.992149, 5.992149, 5.995351, 5.995351, 5.438198000000001, 5.438198000000001, 4.9498940000000005, 4.9498940000000005, 5.27815, 5.27815, 5.992149, 6.752481, 6.378329, 6.378329, 6.399195","-16.716116, 5.224993, 5.224993, 28.026199, 28.026199, 31.888276, 31.888276, 44.947433, 44.947433, 37.212585, 37.212585, 28.60745, 28.60745, 33.166090000000004, 33.166090000000004, 45.997991, 45.997991, 44.947433, -16.716116, -17.955918, -17.955918, -52.69566"
LUP,9,"0.139791, 23.062901, 23.062901, 23.079348, 23.079348, 0.220598, 0.220598, 0.139791, 22.960838, 23.079348, 0.152887, 0.139791, 0.72649, 0.4380560000000001, 0.220598, 0.72649, 23.062901, 22.829521","29.090432, 28.082789, 28.082789, 15.205264, 15.205264, 15.183596, 15.183596, 29.090432, -29.622236, 15.205264, 59.14978000000001, 29.090432, -17.986604999999994, -42.305981, 15.183596, -17.986604999999994, 28.082789, 55.902777"
MAK,1,"3.747927, 3.746726","24.113339, 24.28947"
MAN,13,"17.560145000000002, 17.708132, 17.708132, 17.793078, 17.793078, 17.621979999999994, 17.621979999999994, 17.202551999999994, 17.202551999999994, 16.899924, 16.899924, 16.864508999999998, 16.864508999999998, 16.83608, 16.83608, 16.598043, 16.598043, 16.490128, 16.490128, 16.353143, 16.353143, 16.005557, 16.09062, 16.005557, 16.005557, 15.980865","-37.103821, -39.029983, -39.029983, -40.126997, -40.126997, -42.997824, -42.997824, -43.239189, -43.239189, -42.362025, -42.362025, -38.04738, -38.04738, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -25.592796, -25.592796, -22.62171, -19.805453, -22.62171, -22.62171, -26.114105"
MEE,4,"12.497739, 12.263437, 12.263437, 12.168746, 12.168746, 12.573121, 12.573121, 12.497739","-16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -23.396759, -23.396759, -16.515432"
NAH,7,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.062155, 11.062155, 11.030677, 11.030677, 11.897168, 11.897168, 12.257086","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.75103299999999, 61.75103299999999, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617"
NAK,1,"14.660765, 14.063729","-60.833976, -60.373039"
NAV,8,"20.690532, 19.846388, 19.846388, 18.61564, 18.61564, 20.690532, 19.512023000000006, 19.749574, 19.749574, 20.370473, 20.370473, 20.770178, 20.770178, 20.690532, 20.690532, 20.370473","45.280338, 8.868322000000003, 8.868322000000003, 38.783692, 38.783692, 45.280338, 27.959681, 45.13081, 45.13081, 40.256679, 40.256679, 33.970256, 33.970256, 45.280338, 45.280338, 40.256679"
