ast_ID,vals,ra,dec
1,1,"19.846388, 19.770994","8.868322000000003, 10.613261"
2,1,"5.919529, 5.418851","7.407063000000001, 6.349702"
3,4,"4.598677, 4.477705, 4.477705, 4.329889, 4.329889, 4.382247, 4.382247, 4.476943","16.509301, 15.870883, 15.870883, 15.627642000000002, 15.627642000000002, 17.542514, 17.542514, 19.180431"
4,3,"5.27815, 5.992149, 5.992149, 7.5766339999999985, 7.5766339999999985, 7.755277","45.997991, 44.947433, 44.947433, 31.888276, 31.888276, 28.026199"
5,3,"0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887, 0.152887, 0.945143","60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001, 59.14978000000001, 60.71674"
6,7,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.897168, 11.897168, 11.030677, 11.030677, 11.062155, 11.062155, 12.257086","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.75103299999999, 61.75103299999999, 57.032617"
7,1,"13.911411, 14.261029999999998","18.397717, 19.18241"
8,7,"3.819782, 3.819373, 3.819373, 3.79141, 3.79141, 3.819782, 3.79141, 3.772104, 3.772104, 3.747927, 3.747927, 3.75347, 3.75347, 3.79141","24.136712, 24.053415, 24.053415, 24.105137, 24.105137, 24.136712, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.105137"
9,2,"5.679313, 5.603559, 5.603559, 5.533445","-1.942572, -1.20192, -1.20192, -0.299092"
10,5,"1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.81826, 0.81826, 0.6751159999999999, 0.6751159999999999, 0.152887","63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 57.815187, 57.815187, 56.53733100000001, 56.53733100000001, 59.14978000000001"
11,1,"18.61564, 18.61564","38.783692, 38.783692"
