ast_ID,vals,ra,dec
1,1,"13.419883, 13.578220000000002","-11.161322, -0.59582"
2,3,"14.318498000000002, 14.214929, 14.214929, 14.266908, 14.266908, 14.470038","-13.371095, -10.273702, -10.273702, -6.000547, -6.000547, -2.227957"
3,4,"15.203692000000002, 14.847976999999998, 14.847976999999998, 15.283449, 15.283449, 15.592104999999998, 15.592104999999998, 15.203692000000002","-19.79171, -16.041778, -16.041778, -9.382917, -9.382917, -14.789537, -14.789537, -19.79171"
4,3,"16.09062, 16.005557, 16.005557, 15.980865, 15.980865, 15.948077","-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073"
5,2,"16.353143, 16.490128, 16.490128, 16.598043","-25.592796, -26.432002, -26.432002, -28.216016"
6,8,"16.83608, 16.864508999999998, 16.864508999999998, 16.909731, 16.909731, 17.202551999999994, 17.202551999999994, 17.621979999999994, 17.621979999999994, 17.793078, 17.793078, 17.708132, 17.708132, 17.560145000000002, 17.560145000000002, 17.512732","-34.293232, -38.04738, -38.04738, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -37.103821, -37.295811"
7,4,"18.3499, 18.096803, 18.096803, 18.293793, 18.293793, 18.402868, 18.402868, 18.3499","-29.828103, -30.424091, -30.424091, -36.761686, -36.761686, -34.384615999999994, -34.384615999999994, -29.828103"
8,4,"19.11567, 18.92109, 18.92109, 18.76094, 18.76094, 19.043532, 18.954975, 19.11567","-27.670423, -26.296721999999995, -26.296721999999995, -26.990778, -26.990778, -29.880105, -44.301366, -27.670423"
9,3,"20.300904, 20.350187, 20.350187, 20.481004, 20.481004, 20.455336","-12.544852, -14.781367, -14.781367, -17.813686999999994, -17.813686999999994, -18.211721"
10,4,"20.794598, 20.877565, 20.877565, 20.869082, 20.869082, 20.795621, 20.795621, 20.794598","-9.495776, -8.983317999999997, -8.983317999999997, -5.507059, -5.507059, -5.027701, -5.027701, -9.495776"
11,1,"21.525982, 21.263731","-5.571172, 5.247845"
12,3,"22.096399, 21.736433, 21.736433, 22.169996, 22.169996, 22.096399","-0.319851, 9.875011, 9.875011, 6.197865, 6.197865, -0.319851"
13,1,"23.079348, 23.062901","15.205264, 28.082789"
14,1,"0.220598, 0.139791","15.183596, 29.090432"
15,12,"1.190894, 0.953445, 0.953445, 0.788981, 0.788981, 0.642602, 0.642602, 0.655462, 0.655462, 0.61468, 0.61468, 0.830234, 0.830234, 0.945885, 0.945885, 1.162194, 1.162194, 1.194342, 1.194342, 1.324443, 1.324443, 1.229152, 1.229152, 1.190894","21.03465, 23.417648, 23.417648, 24.267178, 24.267178, 29.311751, 29.311751, 30.861024, 30.861024, 33.719344, 33.719344, 41.078911, 41.078911, 38.499345, 38.499345, 35.620558, 35.620558, 30.089638, 30.089638, 27.264059000000003, 27.264059000000003, 24.583713, 24.583713, 21.03465"
16,2,"1.89217, 1.910668, 1.910668, 2.119555","19.293852, 20.808035, 20.808035, 23.462423"
17,3,"2.833063, 2.724198, 2.724198, 2.79848, 2.79848, 2.833063","27.260507, 27.707146, 27.707146, 29.247118, 29.247118, 27.260507"
18,4,"3.747927, 3.75347, 3.75347, 3.79141, 3.79141, 3.772104, 3.772104, 3.747927","24.113339, 24.467278, 24.467278, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339"
19,4,"4.476943, 4.382247, 4.382247, 4.295284, 4.329889, 4.477705, 4.477705, 4.598677","19.180431, 17.542514, 17.542514, 13.836592, 15.627642000000002, 15.870883, 15.870883, 16.509301"
20,3,"5.615108, 5.580344, 5.580344, 5.5856330000000005, 5.5856330000000005, 5.615108","9.290673, 9.489579, 9.489579, 9.934158, 9.934158, 9.290673"
21,5,"5.919529, 5.418851, 5.418851, 5.533445, 5.533445, 5.603559, 5.603559, 5.679313, 5.533445, 5.242298","7.407063000000001, 6.349702, 6.349702, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -0.299092, -8.20164"
