ast_ID,vals,ra,dec
Ald,1,"4.913273, 4.913273","7.779097, 7.779097"
Ban,1,"17.366531, 17.366531","-67.770668, -67.770668"
Bir,1,"6.258243, 6.258243","-4.914719, -4.914719"
Emu1,1,"16.995642, 16.995642","-18.248341, -18.248341"
Emu2,1,"16.995642, 16.995642","-18.248341, -18.248341"
Loo,1,"10.780024, 10.780024","-69.209786, -69.209786"
Miy,1,"2.61681, 2.61681","24.647222, 24.647222"
Mur,1,"13.343296, 13.343296","-36.71229500000001, -36.71229500000001"
SMC,1,"21.146575, 21.146575","-76.212469, -76.212469"
Wad,1,"7.745519, 7.745519","-66.071933, -66.071933"
Wam,1,"6.85197, 6.85197","-47.326047, -47.326047"
War,1,"16.002036, 16.002036","-38.396706, -38.396706"
Yar,1,"11.957198, 11.957198","-61.123431, -61.123431"
