ast_ID,vals,ra,dec
1,2,"13.473837, 13.279588, 13.279588, 13.293412","13.778787, 9.424156, 9.424156, 5.469869"
2,1,"14.027443, 13.56887","1.544532, 3.658967"
3,2,"13.578220000000002, 13.419883, 13.532746, 13.40923","-0.59582, -11.161322, -6.255816, -5.16401"
4,1,"13.165831, 13.165831","-5.53901, -5.53901"
5,1,"13.457546, 13.200984","-15.973578, -16.198601"
6,1,"13.315359, 13.150909","-23.171512, -23.11807"
7,2,"13.911411, 13.78771, 13.78771, 13.824623","18.397717, 17.456906, 17.456906, 15.797904999999998"
8,2,"14.754017, 14.678768, 14.678768, 14.68582","16.96428, 16.418324, 16.418324, 13.7283"
9,1,"14.261029999999998, 14.261029999999998","19.18241, 19.18241"
10,3,"14.470038, 14.266908, 14.266908, 14.214929, 14.214929, 14.318498000000002","-2.227957, -6.000547, -6.000547, -10.273702, -10.273702, -13.371095"
11,5,"13.831191, 13.975319, 13.975319, 14.106193, 14.106193, 14.212785, 14.212785, 14.384942, 14.384942, 14.469564000000002","-18.134168, -24.972249, -24.972249, -26.682361, -26.682361, -27.261186, -27.261186, -27.754017, -27.754017, -29.491638"
12,1,"14.111395000000002, 14.591786","-36.369954, -42.157824"
13,1,"14.534636, 14.534636","38.308253, 38.308253"
14,2,"14.749784, 14.578, 14.578, 14.5305","27.074222, 29.74513, 29.74513, 30.371437"
15,2,"14.440935, 14.173315, 14.173315, 13.828564000000002","19.2269, 25.091677, 25.091677, 21.264105"
16,6,"14.247457999999998, 14.389638, 14.389638, 14.403151, 14.403151, 14.20439, 14.20439, 14.065488, 14.065488, 14.022341, 14.022341, 14.247457999999998","10.10061, 8.446617, 8.446617, 5.820131, 5.820131, 2.4094330000000004, 2.4094330000000004, 4.9009730000000005, 4.9009730000000005, 8.894906, 8.894906, 10.10061"
17,1,"15.827001999999998, 15.827001999999998","-3.4302080000000004, -3.4302080000000004"
18,3,"15.283449, 15.592104999999998, 15.592104999999998, 15.203692000000002, 15.203692000000002, 14.847976999999998","-9.382917, -14.789537, -14.789537, -19.79171, -19.79171, -16.041778"
19,2,"15.067839, 15.297178, 15.297178, 14.838147","-25.281965, -30.148673, -30.148673, -27.960371"
20,1,"15.617070000000002, 15.64427","-28.135079, -29.777754"
21,1,"14.698823, 14.698823","-47.3882, -47.3882"
22,24,"12.443311, 12.356031, 12.356031, 12.519429, 12.519429, 12.13931, 12.13931, 12.467331, 12.467331, 12.691971, 12.691971, 13.664796, 13.664796, 14.338763, 14.338763, 14.338763, 14.338763, 14.376971, 14.376971, 12.9099, 12.795359, 12.519429, 12.519429, 12.252427, 13.664796, 14.028748, 14.028748, 13.977987, 13.977987, 13.826943, 13.826943, 13.343296, 13.343296, 13.200901000000002, 13.200901000000002, 12.890607, 12.890607, 12.691971, 12.890607, 12.691971, 14.338763, 15.20476, 15.20476, 15.198918, 15.198918, 15.308897, 14.376971, 15.291917000000002","-63.09909200000001, -60.401147, -60.401147, -57.113212, -57.113212, -50.722425, -50.722425, -50.230635, -50.230635, -48.959888, -48.959888, -53.466394, -53.466394, -56.386497, -56.386497, -56.386497, -56.386497, -58.459117000000006, -58.459117000000006, -57.177924, -59.688764, -57.113212, -57.113212, -58.748928, -53.466394, -45.603421, -45.603421, -44.803584, -44.803584, -42.473732, -42.473732, -36.71229500000001, -36.71229500000001, -37.803022, -37.803022, -40.178872, -40.178872, -48.959888, -40.178872, -48.959888, -56.386497, -52.099247, -52.099247, -48.737819, -48.737819, -47.875272, -58.459117000000006, -58.801208"
23,3,"14.660765, 14.708492, 14.708492, 14.063729, 14.063729, 14.660765","-60.833976, -64.975138, -64.975138, -60.373039, -60.373039, -60.833976"
24,3,"16.503466, 16.426422, 16.426422, 16.535611, 16.535611, 16.401718","-25.115224, -23.447178, -23.447178, -21.46639, -21.46639, -20.037327"
25,1,"16.199926, 16.199926","-19.460708, -19.460708"
26,2,"16.09062, 16.113452, 16.113452, 16.123424","-19.805453, -20.669192, -20.669192, -20.868764"
27,2,"16.283110999999998, 16.241357, 16.241357, 16.227875","-20.104088, -21.107636, -21.107636, -21.39996"
28,3,"16.09062, 16.005557, 16.005557, 15.980865, 15.980865, 15.948077","-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073"
29,1,"15.948193, 15.849316","-33.966134000000004, -33.627165000000005"
30,1,"15.893532999999998, 15.893532999999998","-25.327142, -25.327142"
31,3,"16.199997, 15.969825, 15.969825, 15.897093","-10.064253, -14.279357999999998, -14.279357999999998, -16.729293"
32,2,"16.598043, 16.490128, 16.490128, 16.353143","-28.216016, -26.432002, -26.432002, -25.592796"
33,10,"15.585681, 15.356201, 15.356201, 15.378021, 15.378021, 15.686505, 15.686505, 15.585681, 15.585681, 16.002036, 16.053579, 15.686505, 15.686505, 16.108176, 14.975537, 15.378021, 15.378021, 15.085303, 15.36344, 15.356201","-41.166757, -40.647518, -40.647518, -44.689622, -44.689622, -44.661205, -44.661205, -41.166757, -41.166757, -38.396706, -49.229695, -44.661205, -44.661205, -45.173185, -43.13396, -44.689622, -44.689622, -47.051245, -36.261376, -40.647518"
34,3,"17.523598, 17.439504, 17.439504, 17.366827, 17.366827, 17.255836","-23.962643, -24.175309, -24.175309, -24.999545, -24.999545, -26.602829"
