ast_ID,vals,ra,dec
1,7,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.897168, 11.897168, 11.030677, 11.030677, 11.062155, 11.062155, 12.257086","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.75103299999999, 61.75103299999999, 57.032617"
2,6,"3.819373, 3.79141, 3.79141, 3.772104, 3.772104, 3.747927, 3.747927, 3.75347, 3.75347, 3.763779, 3.763779, 3.79141","24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.367748, 24.367748, 24.105137"
3,2,"5.6457690000000005, 5.679313, 5.679313, 5.603559","-2.600069, -1.942572, -1.942572, -1.20192"
4,1,"5.603559, 5.533445","-1.20192, -0.299092"
5,9,"5.795941, 5.242298, 5.3991190000000016, 5.204973000000002, 5.3991190000000016, 5.333062, 5.3991190000000016, 5.422263, 5.422263, 5.333062, 5.333062, 5.204973000000002, 5.204973000000002, 5.220522, 5.220522, 5.326257, 5.326257, 5.422263","-9.669605, -8.20164, -7.808064999999999, -11.869219, -7.808064999999999, -12.315585, -7.808064999999999, -12.554091, -12.554091, -12.315585, -12.315585, -11.869219, -11.869219, -12.941291, -12.941291, -13.176788, -13.176788, -12.554091"
6,1,"3.96423, 3.136148","40.010215, 40.955648"
7,1,"7.655033, 6.752481","5.224993, -16.716116"
8,1,"0.7842319999999999, 0.700397","41.964834, 40.68825800000001"
9,1,"5.3442120000000015, 5.178585","46.963783, 46.96207"
10,2,"20.77764, 20.625816, 20.724315, 20.660635","16.124295999999998, 14.595087, 15.074581, 15.912072"
11,3,"4.598677, 4.5591800000000005, 4.5591800000000005, 4.6207720000000005, 4.6207720000000005, 4.7713410000000005","16.509301, 18.016722, 18.016722, 18.543031, 18.543031, 18.734693"
12,2,"19.272804, 19.266525, 19.266525, 19.46011","38.133731, 27.926302000000003, 27.926302000000003, 37.941197"
13,2,"5.919529, 6.126201, 6.126201, 6.198999","7.407063000000001, 14.768472, 14.768472, 14.208765"
14,3,"5.438198000000001, 5.452298000000001, 5.452298000000001, 5.4107, 5.4107, 5.256777","28.60745, 30.208603000000004, 30.208603000000004, 31.143148, 31.143148, 32.6876"
15,3,"18.61564, 18.834665, 18.61564, 19.229302, 18.834665, 18.982395","38.783692, 33.362667, 38.783692, 39.145968, 33.362667, 32.689557"
16,6,"16.024047, 15.959794, 15.959794, 15.826570000000002, 15.826570000000002, 15.712381, 15.712381, 15.578128, 15.578128, 15.463818, 15.463818, 15.548829","29.851061, 26.87788, 26.87788, 26.068394, 26.068394, 26.295637, 26.295637, 26.714693, 26.714693, 29.105703, 29.105703, 31.359133"
17,2,"4.476943, 4.382247, 4.382247, 4.329889","19.180431, 17.542514, 17.542514, 15.627642000000002"
18,4,"20.370473, 20.770178, 20.370473, 20.690532, 20.370473, 19.749574, 20.370473, 19.512023000000006","40.256679, 33.970256, 40.256679, 45.280338, 40.256679, 45.13081, 40.256679, 27.959681"
19,3,"1.430216, 0.945143, 0.945143, 0.152887, 0.152887, 0.6751159999999999","60.235283, 60.71674, 60.71674, 59.14978000000001, 59.14978000000001, 56.53733100000001"
