ast_ID,vals,ra,dec
1,7,"1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887, 0.152887, 20.690532, 20.690532, 20.370473, 20.370473, 20.254415, 20.370473, 18.61564","60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001, 59.14978000000001, 45.280338, 45.280338, 40.256679, 40.256679, 25.591957, 40.256679, 38.783692"
2,1,"5.679313, 5.533445","-1.942572, -0.299092"
3,3,"5.795941, 5.242298, 5.242298, 5.679313, 5.795941, 5.679313","-9.669605, -8.20164, -8.20164, -1.942572, -9.669605, -1.942572"
4,2,"7.755277, 7.5766339999999985, 7.5766339999999985, 7.791757","28.026199, 31.888276, 31.888276, 33.415696999999994"
5,7,"14.106193, 14.111395000000002, 14.111395000000002, 15.617070000000002, 14.111395000000002, 13.343296, 13.343296, 13.925667, 13.925667, 14.591786, 14.591786, 14.975537, 14.975537, 14.698823","-26.682361, -36.369954, -36.369954, -28.135079, -36.369954, -36.71229500000001, -36.71229500000001, -47.288375, -47.288375, -42.157824, -42.157824, -43.13396, -43.13396, -47.3882"
6,4,"16.490128, 15.948077, 15.948077, 16.523037, 16.523037, 16.909731, 16.523037, 15.710645","-26.432002, -29.214073, -29.214073, -34.704366, -34.704366, -42.361313, -34.704366, -37.424935"
7,10,"18.92109, 19.043532, 19.043532, 18.402868, 18.402868, 18.096803, 18.402868, 18.293793, 18.293793, 17.621979999999994, 17.621979999999994, 18.449561, 18.449561, 18.978721, 18.978721, 19.106971, 19.106971, 19.167154, 19.167154, 19.051907","-26.296721999999995, -29.880105, -29.880105, -34.384615999999994, -34.384615999999994, -30.424091, -34.384615999999994, -36.761686, -36.761686, -42.997824, -42.997824, -45.968459, -45.968459, -37.107357, -37.107357, -37.063437, -37.063437, -39.34079600000001, -39.34079600000001, -42.095105"
8,1,"12.443311, 6.752481","-63.09909200000001, -16.716116"
9,5,"1.1431639999999998, 0.72649, 0.72649, 0.323799, 0.976766, 1.1431639999999998, 0.323799, 0.358665, 0.358665, 0.976766","-10.182264, -17.986604999999994, -17.986604999999994, -8.823921, -29.357449, -10.182264, -8.823921, -28.981469, -28.981469, -29.357449"
10,9,"4.052606, 4.258905, 4.598677, 4.329889, 4.329889, 4.476943, 4.329889, 4.0113379999999985, 4.329889, 4.258905, 4.635961, 4.329889, 4.635961, 4.830669, 4.0113379999999985, 3.804519, 3.804519, 3.761234","5.989305, 8.892357, 16.509301, 15.627642000000002, 15.627642000000002, 19.180431, 15.627642000000002, 12.490347, 15.627642000000002, 8.892357, 12.510838, 15.627642000000002, 12.510838, 6.961276, 12.490347, 11.143294, 11.143294, 6.049991"
11,5,"2.749328, 2.749039, 2.749039, 2.413627, 2.749039, 2.469317, 2.749039, 3.037992, 2.469317, 2.721678","12.445761, 10.114146, 10.114146, 10.610565, 10.114146, 8.460054, 10.114146, 4.089734, 8.460054, 3.235818"
12,3,"10.383458, 9.532428, 9.532428, 9.664267, 9.664267, 10.383458","6.542643, 11.299827, 11.299827, -1.14281, -1.14281, 6.542643"
13,3,"21.749113, 19.982555, 19.982555, 20.059291, 20.059291, 21.749113","-33.025781, -26.195767, -26.195767, -37.940699, -37.940699, -33.025781"
14,3,"13.315359, 12.497739, 12.497739, 12.168746, 12.168746, 13.315359","-23.171512, -16.515432, -16.515432, -22.619766, -22.619766, -23.171512"
