ast_ID,vals,ra,dec
1,12,"10.139532, 8.92323, 10.139532, 10.332873, 10.332873, 10.278171, 10.278171, 9.879398, 9.879398, 9.764188, 8.92323, 8.807214, 8.807214, 8.779587, 8.779587, 8.627602, 8.627602, 8.562077, 8.562077, 8.645955, 8.645955, 8.720410000000001, 8.720410000000001, 8.807214","11.967207, 5.945563, 11.967207, 19.841489000000006, 19.841489000000006, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 5.945563, 5.837812, 5.837812, 6.418809, 6.418809, 5.703782, 5.703782, 4.757, 4.757, 3.341435, 3.341435, 3.3986620000000003, 3.3986620000000003, 5.837812"
2,10,"7.655033, 5.919529, 5.418851, 4.598677, 5.919529, 5.679313, 5.679313, 5.795941, 5.418851, 5.533445, 5.533445, 5.242298, 5.679313, 5.603559, 5.603559, 5.533445, 5.919529, 5.5856330000000005, 5.5856330000000005, 5.418851","5.224993, 7.407063000000001, 6.349702, 16.509301, 7.407063000000001, -1.942572, -1.942572, -9.669605, 6.349702, -0.299092, -0.299092, -8.20164, -1.942572, -1.20192, -1.20192, -0.299092, 7.407063000000001, 9.934158, 9.934158, 6.349702"
3,8,"14.845104999999998, 2.52975, 2.52975, 17.536918, 17.536918, 16.766159, 16.766159, 15.734298999999998, 15.734298999999998, 16.291791, 16.291791, 15.345482999999998, 15.345482999999998, 14.845104999999998, 14.845104999999998, 15.734298999999998","74.155505, 89.26410899999998, 89.26410899999998, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493"
4,13,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.062155, 11.062155, 11.030677, 11.030677, 11.897168, 11.897168, 12.257086, 11.897168, 11.767515, 9.868433, 9.849867, 9.849867, 8.504431, 8.504431, 9.525453, 9.525453, 11.062155, 11.030677, 9.849867","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.75103299999999, 61.75103299999999, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 53.69476, 47.779406, 54.06433199999999, 59.038735, 59.038735, 60.718169, 60.718169, 63.061861, 63.061861, 61.75103299999999, 56.382427, 59.038735"
5,19,"0.220598, 23.079348, 23.062901, 22.716704, 22.716704, 22.153789, 23.062901, 22.833385, 22.833385, 22.775521, 22.775521, 22.116847, 22.116847, 21.744092, 23.079348, 22.778216, 22.778216, 22.691033, 0.139791, 23.062901, 0.139791, 0.220598, 23.062901, 23.079348, 22.392675, 22.521515, 22.521515, 22.408609, 22.408609, 22.492173, 22.492173, 22.350428, 22.350428, 22.508128, 22.508128, 22.26616, 22.26616, 22.153789","15.183596, 15.205264, 28.082789, 30.221245, 30.221245, 33.172337, 28.082789, 24.601579, 24.601579, 23.565654, 23.565654, 25.345112, 25.345112, 25.645036, 15.205264, 12.172888, 12.172888, 10.831364, 29.090432, 28.082789, 29.090432, 15.183596, 28.082789, 15.205264, 52.229046, 50.282491, 50.282491, 49.476392, 49.476392, 47.706887, 47.706887, 46.536569, 46.536569, 43.123376, 43.123376, 37.748737, 37.748737, 33.172337"
6,9,"19.28504, 19.495098, 19.495098, 19.749574, 19.749574, 20.370473, 20.370473, 20.690532, 20.370473, 20.770178, 20.770178, 21.215607, 21.215607, 21.73571, 20.370473, 19.938438, 19.938438, 19.512023000000006","53.368459, 51.729779, 51.729779, 45.13081, 45.13081, 40.256679, 40.256679, 45.280338, 40.256679, 33.970256, 33.970256, 30.226916, 30.226916, 28.742632, 40.256679, 35.083424, 35.083424, 27.959681"
7,8,"16.09062, 16.005557, 16.005557, 15.980865, 15.980865, 15.948077, 16.005557, 16.490128, 16.490128, 16.598043, 16.598043, 16.83608, 16.83608, 16.864508999999998, 16.864508999999998, 16.909731","-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073, -22.62171, -26.432002, -26.432002, -28.216016, -28.216016, -34.293232, -34.293232, -38.04738, -38.04738, -42.361313"
8,6,"15.548829, 15.463818, 15.463818, 15.578128, 15.578128, 15.712381, 15.712381, 15.826570000000002, 15.826570000000002, 15.959794, 15.959794, 16.024047","31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061"
9,4,"15.877903, 16.329010999999998, 16.329010999999998, 16.568384, 16.568384, 16.714933, 16.714933, 16.684604999999998","42.451518, 46.313366, 46.313366, 42.437041, 42.437041, 38.922254, 38.922254, 36.201194"
10,5,"3.79141, 3.772104, 3.772104, 3.747927, 3.747927, 3.75347, 3.75347, 3.79141, 3.79141, 3.819373","24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.105137, 24.105137, 24.053415"
