ast_ID,vals,ra,dec
Arc,11,"18.76094, 18.402868, 18.402868, 18.3499, 18.3499, 18.466179, 18.466179, 18.76094, 18.76094, 18.92109, 18.466179, 18.772391, 18.772391, 18.962167, 18.962167, 19.07805, 19.07805, 19.162731, 19.162731, 19.293911, 19.293911, 19.361211","-26.990778, -34.384615999999994, -34.384615999999994, -29.828103, -29.828103, -25.4217, -25.4217, -26.990778, -26.990778, -26.296721999999995, -25.4217, -22.392176, -22.392176, -21.106654, -21.106654, -21.741496, -21.741496, -21.023615, -21.023615, -18.952908, -18.952908, -17.847197"
Bar,15,"3.9022, 3.98275, 3.98275, 3.96423, 3.96423, 3.738648, 3.738648, 3.9022, 3.96423, 3.405378, 3.405378, 3.079942, 3.079942, 2.844945, 2.844945, 2.9042950000000003, 2.9042950000000003, 2.736634, 2.736634, 3.151005, 3.151005, 3.405378, 3.405378, 3.158258, 3.158258, 3.136148, 3.136148, 3.0862700000000003, 2.843063, 3.136148","31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 32.288248, 32.288248, 31.883635, 40.010215, 49.86118, 49.86118, 53.50644000000001, 53.50644000000001, 55.895496, 55.895496, 52.762479000000006, 52.762479000000006, 49.228448, 49.228448, 49.613278, 49.613278, 49.86118, 49.86118, 44.857544, 44.857544, 40.955648, 40.955648, 38.840274, 38.318644, 40.955648"
Ber,6,"1.89217, 1.910668, 1.910668, 2.119555, 2.119555, 2.833063, 2.833063, 2.986868, 2.986868, 3.193822, 2.986868, 3.24836","19.293852, 20.808035, 20.808035, 23.462423, 23.462423, 27.260507, 27.260507, 21.340429, 21.340429, 19.726677, 21.340429, 21.044441"
C3i,4,"5.27815, 5.10858, 5.10858, 5.032815, 5.032815, 5.041301, 5.041301, 5.10858","45.997991, 41.234474, 41.234474, 43.823308, 43.823308, 41.075837, 41.075837, 41.234474"
Cal,9,"10.139532, 11.237335, 11.237335, 11.817663, 11.817663, 11.235138, 11.235138, 10.332873, 10.332873, 10.122209, 10.122209, 10.139532, 10.332873, 10.278171, 10.278171, 9.879398, 9.879398, 9.764188","11.967207, 15.429570000000002, 15.429570000000002, 14.57206, 14.57206, 20.523717, 20.523717, 19.841489000000006, 19.841489000000006, 16.762664, 16.762664, 11.967207, 19.841489000000006, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255"
Cap,10,"21.784011, 21.710973000000006, 21.710973000000006, 21.618008, 21.618008, 21.444452, 21.444452, 20.863692, 20.863692, 20.76826, 20.76826, 20.350187, 20.350187, 21.099118, 21.099118, 21.370776, 21.370776, 21.668181, 21.668181, 21.784011","-16.127285999999998, -18.866323, -18.866323, -19.466011, -19.466011, -22.411332, -22.411332, -26.919133, -26.919133, -25.270898000000006, -25.270898000000006, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542000000006, -16.834542000000006, -16.662308, -16.662308, -16.127285999999998"
Cat,4,"15.067839, 15.592104999999998, 15.592104999999998, 15.283449, 15.283449, 14.847976999999998, 14.847976999999998, 15.067839","-25.281965, -14.789537, -14.789537, -9.382917, -9.382917, -16.041778, -16.041778, -25.281965"
Ccp,5,"3.819373, 3.79141, 3.79141, 3.763779, 3.763779, 3.747927, 3.747927, 3.772104, 3.772104, 3.819373","24.053415, 24.105137, 24.105137, 24.367748, 24.367748, 24.113339, 24.113339, 23.948358, 23.948358, 24.053415"
Chi,22,"2.2166650000000003, 2.469317, 2.469317, 2.749039, 2.749039, 2.99525, 2.99525, 3.037992, 3.037992, 2.721678, 2.721678, 2.597909, 2.597909, 2.469317, 2.721678, 2.658044, 2.658044, 2.283068, 2.283068, 1.857676, 1.857676, 2.432501, 2.432501, 2.659398, 2.659398, 2.735375, 2.735375, 2.534786, 2.534786, 2.432501, 1.857676, 1.40039, 1.40039, 1.1431639999999998, 1.1431639999999998, 1.734479, 1.734479, 1.857676, 1.881142, 1.734479, 1.1431639999999998, 0.72649, 0.72649, 0.323799","8.846717, 8.460054, 8.460054, 10.114146, 10.114146, 8.907364999999997, 8.907364999999997, 4.089734, 4.089734, 3.235818, 3.235818, 5.593246, 5.593246, 8.460054, 3.235818, 0.328511, 0.328511, -6.422116, -6.422116, -10.335038, -10.335038, -12.29048, -12.29048, -11.872156, -11.872156, -13.858695999999998, -13.858695999999998, -15.244677, -15.244677, -12.29048, -10.335038, -8.183257000000001, -8.183257000000001, -10.182264, -10.182264, -15.93748, -15.93748, -10.335038, -16.92925, -15.93748, -10.182264, -17.986604999999994, -17.986604999999994, -8.823921"
Cio,5,"18.61564, 18.746209, 18.746209, 18.908412, 18.908412, 18.982395, 18.982395, 18.834665, 18.834665, 18.746209","38.783692, 37.60511500000001, 37.60511500000001, 36.898613, 36.898613, 32.689557, 32.689557, 33.362667, 33.362667, 37.60511500000001"
Cma,6,"6.752481, 6.378329, 6.378329, 6.338553, 6.338553, 6.9770970000000005, 6.9770970000000005, 7.028652, 7.028652, 7.401584, 6.9770970000000005, 6.752481","-16.716116, -17.955918, -17.955918, -30.063367, -30.063367, -28.972084, -28.972084, -27.93483, -27.93483, -29.303104, -28.972084, -16.716116"
Crb,5,"12.497739, 12.263437, 12.263437, 12.168746, 12.168746, 12.140225, 12.140225, 12.573121, 12.573121, 12.497739","-16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -24.728875, -24.728875, -23.396759, -23.396759, -16.515432"
Csa,5,"23.65582, 21.30963, 21.30963, 21.725127, 21.725127, 22.180908, 22.180908, 22.486183, 21.477662, 21.997092","77.632276, 62.585573, 62.585573, 58.780046, 58.780046, 58.201261, 58.201261, 58.415198, 70.560716, 70.86604"
Ctl,1,"7.655033, 7.452512","5.224993, 8.289315"
Dra,15,"17.892134, 17.943437, 17.943437, 17.507213, 17.507213, 17.537767000000002, 17.537767000000002, 17.892134, 17.892134, 19.209225, 19.209225, 19.80285, 19.80285, 19.259229, 19.259229, 18.350736, 18.350736, 17.146448, 17.146448, 16.39986, 16.39986, 16.031532000000002, 16.031532000000002, 15.415494, 15.415494, 14.073165, 14.073165, 12.558058, 12.558058, 11.523407","56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076"
Fap,2,"19.770994, 19.846388, 19.846388, 19.921887","10.613261, 8.868322000000003, 8.868322000000003, 6.406763"
Gem,7,"7.755277, 7.335383, 7.335383, 7.0684809999999985, 7.0684809999999985, 6.628528, 6.628528, 6.3826730000000005, 6.3826730000000005, 6.732202, 6.732202, 7.5766339999999985, 7.5766339999999985, 7.755277","28.026199, 21.98232, 21.98232, 20.570297, 20.570297, 16.399252, 16.399252, 22.513586, 22.513586, 25.131124, 25.131124, 31.888276, 31.888276, 28.026199"
Hra,7,"15.548829, 15.463818, 15.463818, 15.578128, 15.578128, 15.712381, 15.712381, 15.826570000000002, 15.826570000000002, 15.959794, 15.959794, 16.024047, 16.024047, 15.548829","31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061, 29.851061, 31.359133"
Jgb,6,"2.064984, 1.162194, 1.162194, 0.655462, 0.655462, 0.139791, 0.139791, 23.062901, 23.062901, 23.079348, 0.139791, 0.220598","42.329725, 35.620558, 35.620558, 30.861024, 30.861024, 29.090432, 29.090432, 28.082789, 28.082789, 15.205264, 29.090432, 15.183596"
Omu,18,"16.329010999999998, 16.568384, 16.568384, 16.714933, 16.714933, 17.250788, 17.250788, 17.294517000000006, 17.294517000000006, 17.394707999999998, 17.394707999999998, 17.93755, 17.93755, 17.657747, 16.714933, 16.688113, 16.688113, 17.004827, 17.004827, 17.250788, 16.688113, 16.503667999999998, 16.503667999999998, 16.365338, 17.004827, 17.512307999999994, 17.512307999999994, 17.774319000000006, 17.774319000000006, 17.962744, 17.962744, 18.125708, 18.125708, 18.130417, 18.130417, 18.077836","46.313366, 42.437041, 42.437041, 38.922254, 38.922254, 36.809162, 36.809162, 37.291498, 37.291498, 37.145946, 37.145946, 37.250539, 37.250539, 46.006332, 38.922254, 31.602726, 31.602726, 30.926405, 30.926405, 36.809162, 31.602726, 21.489613, 21.489613, 19.15313, 30.926405, 26.110645, 26.110645, 27.720676, 27.720676, 29.24788, 29.24788, 28.762488, 28.762488, 26.09734, 26.09734, 23.941999"
Pma,8,"21.73571, 21.215607, 21.215607, 20.770178, 20.770178, 20.370473, 20.370473, 19.749574, 19.749574, 19.495098, 20.690532, 20.370473, 20.370473, 19.938438, 19.938438, 19.512023000000006","28.742632, 30.226916, 30.226916, 33.970256, 33.970256, 40.256679, 40.256679, 45.13081, 45.13081, 51.729779, 45.280338, 40.256679, 40.256679, 35.083424, 35.083424, 27.959681"
