ast_ID,vals,ra,dec
1,14,"1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887, 1.430216, 3.079942, 3.079942, 3.405378, 3.405378, 3.136148, 3.405378, 3.715416, 3.715416, 3.96423, 3.96423, 3.9022, 3.715416, 5.27815, 5.27815, 5.438198000000001, 5.27815, 5.10858, 5.10858, 4.9498940000000005","63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001, 60.235283, 53.50644000000001, 53.50644000000001, 49.86118, 49.86118, 40.955648, 49.86118, 47.787551, 47.787551, 40.010215, 40.010215, 31.883635, 47.787551, 45.997991, 45.997991, 28.60745, 45.997991, 41.234474, 41.234474, 33.166090000000004"
2,5,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.030677, 11.062155, 11.897168","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 56.382427, 61.75103299999999, 53.69476"
3,2,"5.679313, 5.603559, 5.603559, 5.533445","-1.942572, -1.20192, -1.20192, -0.299092"
4,1,"2.52975, 2.52975","89.26410899999998, 89.26410899999998"
5,1,"14.261029999999998, 14.261029999999998","19.18241, 19.18241"
6,1,"18.61564, 18.61564","38.783692, 38.783692"
7,1,"19.846388, 19.846388","8.868322000000003, 8.868322000000003"
8,1,"3.79141, 3.79141","24.105137, 24.105137"
9,1,"7.655033, 7.655033","5.224993, 5.224993"
10,2,"7.5766339999999985, 7.5766339999999985, 7.755277, 7.755277","31.888276, 31.888276, 28.026199, 28.026199"
