ast_ID,vals,ra,dec
1,6,"4.476943, 4.424828, 4.424828, 4.382247, 4.382247, 4.329889, 4.329889, 4.476248, 4.476248, 4.598677, 4.598677, 4.476943","19.180431, 17.92791, 17.92791, 17.542514, 17.542514, 15.627642000000002, 15.627642000000002, 15.962181, 15.962181, 16.509301, 16.509301, 19.180431"
2,7,"3.819782, 3.819373, 3.819373, 3.79141, 3.79141, 3.763779, 3.763779, 3.75347, 3.75347, 3.747927, 3.747927, 3.772104, 3.772104, 3.79141","24.136712, 24.053415, 24.053415, 24.105137, 24.105137, 24.367748, 24.367748, 24.467278, 24.467278, 24.113339, 24.113339, 23.948358, 23.948358, 24.105137"
3,7,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.897168, 11.897168, 11.030677, 11.030677, 11.062155, 11.062155, 12.257086","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.75103299999999, 61.75103299999999, 57.032617"
4,7,"5.919529, 5.5856330000000005, 5.5856330000000005, 5.418851, 5.418851, 5.533445, 5.533445, 5.242298, 5.242298, 5.795941, 5.795941, 5.679313, 5.679313, 5.919529","7.407063000000001, 9.934158, 9.934158, 6.349702, 6.349702, -0.299092, -0.299092, -8.20164, -8.20164, -9.669605, -9.669605, -1.942572, -1.942572, 7.407063000000001"
5,6,"5.438198000000001, 5.995351, 5.995351, 5.992149, 5.992149, 5.27815, 5.27815, 5.041301, 5.041301, 4.9498940000000005, 4.9498940000000005, 5.438198000000001","28.60745, 37.212585, 37.212585, 44.947433, 44.947433, 45.997991, 45.997991, 41.075837, 41.075837, 33.166090000000004, 33.166090000000004, 28.60745"
6,6,"15.548829, 15.463818, 15.463818, 15.578128, 15.578128, 15.712381, 15.712381, 15.826570000000002, 15.826570000000002, 15.959794, 15.959794, 16.024047","31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061"
7,5,"10.139532, 10.122209, 10.122209, 10.332873, 10.332873, 10.278171, 10.278171, 9.879398, 9.879398, 9.764188","11.967207, 16.762664, 16.762664, 19.841489000000006, 19.841489000000006, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255"
8,10,"3.738648, 3.9022, 3.9022, 3.98275, 3.98275, 3.96423, 3.96423, 3.715416, 3.715416, 3.405378, 3.405378, 3.079942, 3.079942, 2.844945, 3.405378, 3.136148, 3.136148, 3.0862700000000003, 3.0862700000000003, 2.843063","32.288248, 31.883635, 31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 47.787551, 47.787551, 49.86118, 49.86118, 53.50644000000001, 53.50644000000001, 55.895496, 49.86118, 40.955648, 40.955648, 38.840274, 38.840274, 38.318644"
9,5,"20.690532, 20.370473, 20.370473, 19.938438, 19.938438, 19.512023000000006, 20.770178, 20.370473, 20.370473, 19.749574","45.280338, 40.256679, 40.256679, 35.083424, 35.083424, 27.959681, 33.970256, 40.256679, 40.256679, 45.13081"
10,4,"1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887","63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001"
11,2,"5.679313, 5.603559, 5.603559, 5.533445","-1.942572, -1.20192, -1.20192, -0.299092"
