ast_ID,vals,ra,dec
1,7,"0.152887, 0.6751159999999999, 0.6751159999999999, 0.945143, 0.945143, 1.430216, 1.430216, 1.906584, 0.5499970000000001, 0.884511, 0.884511, 1.185017, 0.845442, 0.884511","59.14978000000001, 56.53733100000001, 56.53733100000001, 60.71674, 60.71674, 60.235283, 60.235283, 63.670101, 62.931783, 61.12396999999999, 61.12396999999999, 55.149901, 64.24754899999999, 61.12396999999999"
2,1,"0.945143, 0.945143","60.71674, 60.71674"
3,16,"3.9022, 3.738648, 3.9022, 3.98275, 3.98275, 3.96423, 3.96423, 3.715416, 3.715416, 3.405378, 3.405378, 3.079942, 3.079942, 2.844945, 2.844945, 3.0923380000000003, 3.405378, 2.736634, 2.736634, 2.42706, 2.42706, 2.064984, 2.843063, 3.0862700000000003, 3.0862700000000003, 3.136148, 3.136148, 3.715416, 2.406919, 2.736634, 3.0923380000000003, 3.079942","31.883635, 32.288248, 31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 47.787551, 47.787551, 49.86118, 49.86118, 53.50644000000001, 53.50644000000001, 55.895496, 55.895496, 56.705719, 49.86118, 49.228448, 49.228448, 50.278631, 50.278631, 42.329725, 38.318644, 38.840274, 38.840274, 40.955648, 40.955648, 47.787551, 50.006546, 49.228448, 56.705719, 53.50644000000001"
4,2,"5.995351, 5.992149, 5.992149, 5.27815","37.212585, 44.947433, 44.947433, 45.997991"
5,10,"6.628528, 6.754824, 6.754824, 7.335383, 7.335383, 7.755277, 7.5766339999999985, 6.732202, 6.732202, 6.482719, 6.482719, 6.3826730000000005, 6.879816, 7.1856589999999985, 7.1856589999999985, 7.428779, 7.428779, 7.598708, 7.598708, 7.7352539999999985","16.399252, 12.895591, 12.895591, 21.98232, 21.98232, 28.026199, 31.888276, 25.131124, 25.131124, 20.212133, 20.212133, 22.513586, 33.961254, 30.245163, 30.245163, 27.79808, 27.79808, 26.895741, 26.895741, 25.784159"
6,17,"1.190894, 1.524725, 1.524725, 1.756564, 1.756564, 2.034117, 2.034117, 1.503087, 1.503087, 1.049058, 1.049058, 0.811373, 1.190894, 0.953445, 0.953445, 0.788981, 0.788981, 0.963931, 0.963931, 1.324443, 1.324443, 1.229152, 1.229152, 1.190894, 1.190894, 1.0848209999999998, 1.0848209999999998, 0.816308, 0.816308, 1.190894, 0.811373, 0.343295, 0.343295, 0.040046","21.03465, 15.345823, 15.345823, 9.157736, 9.157736, 2.763759, 2.763759, 6.14382, 6.14382, 7.890135000000001, 7.890135000000001, 7.585078999999999, 21.03465, 23.417648, 23.417648, 24.267178, 24.267178, 28.992217, 28.992217, 27.264059000000003, 27.264059000000003, 24.583713, 24.583713, 21.03465, 21.03465, 14.946132999999998, 14.946132999999998, 16.940644, 16.940644, 21.03465, 7.585078999999999, 8.190271000000001, 8.190271000000001, 8.956824000000003"
7,8,"8.526591999999999, 8.74475, 8.74475, 8.721430999999999, 8.721430999999999, 8.545139, 8.545139, 8.526591999999999, 8.275256, 8.526591999999999, 8.74475, 8.974784, 8.721430999999999, 8.778284, 8.545139, 7.740792999999999","18.09442, 18.154309, 18.154309, 21.468501, 21.468501, 20.441162, 20.441162, 18.09442, 9.185545, 18.09442, 18.154309, 11.857701, 21.468501, 28.759898, 20.441162, 24.397993"
8,19,"9.764188, 9.879398, 9.879398, 10.278171, 10.278171, 10.332873, 10.332873, 10.122209, 10.122209, 10.139532, 10.139532, 11.237335, 11.237335, 11.235138, 11.235138, 10.332873, 11.235138, 11.817663, 11.237335, 11.398736, 10.139532, 10.131742, 10.131742, 10.003557, 10.332873, 10.92689, 10.92689, 11.303118, 11.303118, 11.307983, 9.410906, 9.879398, 9.528675, 9.764188, 11.237335, 11.083619, 10.139532, 10.546853","23.774255, 26.006951, 26.006951, 23.417311, 23.417311, 19.841489000000006, 19.841489000000006, 16.762664, 16.762664, 11.967207, 11.967207, 15.429570000000002, 15.429570000000002, 20.523717, 20.523717, 19.841489000000006, 20.523717, 14.57206, 15.429570000000002, 10.529509, 11.967207, 9.997508, 9.997508, 8.044222999999999, 19.841489000000006, 24.749718, 24.749718, 31.528783, 31.528783, 33.094306, 26.182324, 26.006951, 22.967971, 23.774255, 15.429570000000002, 7.336007, 11.967207, 9.306586"
9,1,"10.139532, 10.139532","11.967207, 11.967207"
10,10,"12.448966, 12.440017999999998, 12.440017999999998, 12.481863, 12.440017999999998, 12.375087, 12.448966, 12.420863, 12.420863, 12.495344, 12.495344, 12.345286, 12.580857, 12.420863, 12.420863, 12.272372, 12.202581, 12.495344, 12.495344, 12.585489","28.268423, 27.268237, 27.268237, 25.912852, 27.268237, 25.84616, 28.268423, 23.926202, 23.926202, 20.896109, 20.896109, 17.792868, 22.629259, 23.926202, 23.926202, 23.945409, 20.542064, 20.896109, 20.896109, 18.377058"
