ast_ID,vals,ra,dec
1,2,"12.519429, 12.443311, 12.795359, 12.252427","-57.113212, -63.09909200000001, -59.688764, -58.748928"
2,1,"7.5766339999999985, 7.755277","31.888276, 28.026199"
3,2,"5.679313, 5.603559, 5.603559, 5.533445","-1.942572, -1.20192, -1.20192, -0.299092"
4,4,"4.598677, 4.476248, 4.476248, 4.329889, 4.329889, 4.382247, 4.382247, 4.476943","16.509301, 15.962181, 15.962181, 15.627642000000002, 15.627642000000002, 17.542514, 17.542514, 19.180431"
5,2,"8.745059, 9.284838, 8.375236, 9.368562","-54.70882099999999, -59.275229, -59.509483, -55.010668"
6,1,"14.660765, 14.063729","-60.833976, -60.373039"
7,8,"5.407949, 5.533445, 5.533445, 5.603559, 5.603559, 5.679313, 5.679313, 5.6457690000000005, 5.6457690000000005, 5.593307, 5.593307, 5.589768, 5.589768, 5.592046, 5.592046, 5.5905510000000005","-2.397146, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -1.942572, -2.600069, -2.600069, -3.25284, -3.25284, -4.838358, -4.838358, -5.267384, -5.267384, -5.9099010000000005"
8,2,"5.603559, 9.270024, 9.270024, 12.458019","-1.20192, -57.541473, -57.541473, -58.991756"
9,2,"12.448966, 13.197904, 13.197904, 13.166469","28.268423, 27.878183, 27.878183, 17.529431"
10,6,"16.024047, 15.959794, 15.959794, 15.826570000000002, 15.826570000000002, 15.712381, 15.712381, 15.578128, 15.578128, 15.463818, 15.463818, 15.548829","29.851061, 26.87788, 26.87788, 26.068394, 26.068394, 26.295637, 26.295637, 26.714693, 26.714693, 29.105703, 29.105703, 31.359133"
11,4,"1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887","63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001"
