ast_ID,vals,ra,dec
1,43,"16.09062, 16.005557, 16.005557, 15.980865, 16.005557, 16.353143, 16.353143, 16.490128, 16.490128, 16.598043, 16.598043, 16.83608, 16.83608, 16.864508999999998, 16.864508999999998, 16.909731, 16.909731, 17.202551999999994, 17.202551999999994, 17.621979999999994, 17.621979999999994, 17.793078, 17.793078, 17.708132, 17.708132, 17.609121, 17.609121, 17.512732, 17.512732, 17.560145000000002, 17.560145000000002, 17.830965, 17.830965, 17.793078, 17.793078, 18.293793, 18.293793, 18.402868, 18.402868, 18.3499, 18.3499, 18.300886, 18.300886, 18.466179, 18.466179, 18.76094, 18.76094, 18.92109, 18.92109, 19.11567, 19.11567, 19.043532, 19.043532, 18.738711, 18.738711, 18.556426, 18.556426, 18.539257, 18.539257, 18.558383, 18.558383, 18.659768, 18.659768, 18.826388, 18.826388, 18.938044, 18.938044, 19.051907, 19.051907, 19.139156, 19.139156, 19.167154, 19.167154, 19.157869, 19.157869, 19.106971, 19.106971, 18.978721, 18.978721, 18.944582, 18.944582, 18.729706, 18.729706, 18.74921, 18.74921, 18.795726","-19.805453, -22.62171, -22.62171, -26.114105, -22.62171, -25.592796, -25.592796, -26.432002, -26.432002, -28.216016, -28.216016, -34.293232, -34.293232, -38.04738, -38.04738, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -38.635308, -38.635308, -37.295811, -37.295811, -37.103821, -37.103821, -37.043304, -37.043304, -40.126997, -40.126997, -36.761686, -36.761686, -34.384615999999994, -34.384615999999994, -29.828103, -29.828103, -27.042641, -27.042641, -25.4217, -25.4217, -26.990778, -26.990778, -26.296721999999995, -26.296721999999995, -27.670423, -27.670423, -29.880105, -29.880105, -35.641987, -35.641987, -38.725985, -38.725985, -39.704001, -39.704001, -42.31251, -42.31251, -43.185878, -43.185878, -43.434102, -43.434102, -42.710676, -42.710676, -42.095105, -42.095105, -40.496703, -40.496703, -39.34079600000001, -39.34079600000001, -37.904474, -37.904474, -37.063437, -37.063437, -37.107357, -37.107357, -37.343241, -37.343241, -38.323441, -38.323441, -39.686188, -39.686188, -40.406167"
2,12,"20.77764, 20.724315, 20.724315, 20.625816, 20.625816, 20.660635, 20.660635, 20.77764, 20.625816, 20.645552, 20.625816, 20.588482, 20.588482, 20.565845, 20.565845, 20.553547, 20.553547, 20.630311, 20.553547, 20.652161, 19.921887, 19.846388, 19.846388, 19.770994","16.124295999999998, 15.074581, 15.074581, 14.595087, 14.595087, 15.912072, 15.912072, 16.124295999999998, 14.595087, 13.315125, 14.595087, 14.674213, 14.674213, 13.027255, 13.027255, 11.303263, 11.303263, 11.377676, 11.303263, 10.086203, 6.406763, 8.868322000000003, 8.868322000000003, 10.613261"
3,18,"23.382842, 23.434108, 23.434108, 23.528345, 23.528345, 23.554618, 23.554618, 23.696057, 23.696057, 23.736688, 23.736688, 23.766922, 23.766922, 23.855927, 23.855927, 0.06233, 0.06233, 0.142638, 0.142638, 0.202773, 0.202773, 0.24400500000000006, 0.24400500000000006, 0.292417, 0.292417, 0.362853, 23.696057, 23.707729, 23.707729, 23.712039, 23.712039, 23.663074, 23.663074, 23.580378, 23.663074, 23.627655","-20.10058, -20.642014, -20.642014, -21.369457, -21.369457, -20.914504, -20.914504, -17.816533, -17.816533, -18.276938, -18.276938, -18.67834, -18.67834, -18.909163, -18.909163, -17.335988, -17.335988, -17.578155, -17.578155, -17.938278, -17.938278, -18.932866, -18.932866, -19.051092, -19.051092, -20.058024, -17.816533, -15.448033, -15.448033, -14.544904999999998, -14.544904999999998, -14.222178, -14.222178, -15.246004999999998, -14.222178, -13.060243"
4,5,"23.238711, 23.280817000000006, 23.280817000000006, 23.264859, 23.264859, 23.298393, 23.298393, 23.316021, 23.298393, 23.280817000000006","-6.049003, -7.7265039999999985, -7.7265039999999985, -9.087737, -9.087737, -9.182513, -9.182513, -9.61075, -9.182513, -7.7265039999999985"
5,58,"3.805021, 3.94347, 3.94347, 4.109735, 4.109735, 4.304056, 4.304056, 4.248295, 4.248295, 4.144357, 4.144357, 3.932824, 3.932824, 3.715416, 3.715416, 3.608159, 3.608159, 3.489456, 3.489456, 3.405378, 3.405378, 3.3187870000000004, 3.3187870000000004, 3.270057, 3.270057, 3.4299660000000003, 3.4299660000000003, 3.560855, 3.560855, 3.500057, 3.500057, 3.5614550000000005, 3.5614550000000005, 3.49854, 3.49854, 3.484482, 3.500057, 3.079942, 3.079942, 2.717451, 2.717451, 2.421119, 2.421119, 2.301275, 2.301275, 2.144606, 2.144606, 1.906584, 1.906584, 1.854701, 1.854701, 1.705688, 1.705688, 1.432208, 1.906584, 1.430216, 1.430216, 0.944432, 0.944432, 0.945143, 0.945143, 1.06028, 1.06028, 1.072084, 1.072084, 0.955435, 0.955435, 0.884511, 0.884511, 0.945143, 0.945143, 0.607595, 0.607595, 0.152887, 0.152887, 0.104356, 0.152887, 23.906398, 0.152887, 23.784284, 0.152887, 0.008593, 0.152887, 0.6751159999999999, 0.6751159999999999, 0.552879, 0.552879, 0.529539, 0.529539, 0.616188, 0.616188, 0.754774, 0.754774, 0.6751159999999999, 0.6751159999999999, 0.81826, 0.81826, 0.944432, 0.81826, 1.119292, 1.119292, 1.364429, 1.364429, 1.633205, 1.633205, 2.319675, 2.319675, 2.861594, 2.861594, 2.997164, 2.997164, 3.129817, 3.129817, 3.509579, 3.509579, 3.715416","50.736767, 50.695381, 50.695381, 50.351262, 50.351262, 50.295502, 50.295502, 48.409331, 48.409331, 47.712513, 47.712513, 47.87142, 47.87142, 47.787551, 47.787551, 48.19263400000001, 48.19263400000001, 49.508948, 49.508948, 49.86118, 49.86118, 50.094966, 50.094966, 50.937664, 50.937664, 53.921522, 53.921522, 54.97485699999999, 54.97485699999999, 55.45180799999999, 55.45180799999999, 57.868725, 57.868725, 58.87875, 58.87875, 59.94033, 55.45180799999999, 53.50644000000001, 53.50644000000001, 55.106019, 55.106019, 56.609823, 56.609823, 57.516321, 57.516321, 58.423601, 58.423601, 63.670101, 63.670101, 64.854952, 64.854952, 68.043021, 68.043021, 68.130012, 63.670101, 60.235283, 60.235283, 59.18105600000001, 59.18105600000001, 60.71674, 60.71674, 61.074823, 61.074823, 61.580184, 61.580184, 61.42189499999999, 61.42189499999999, 61.12396999999999, 61.12396999999999, 60.71674, 60.71674, 60.32621500000001, 60.32621500000001, 59.14978000000001, 59.14978000000001, 58.436733, 59.14978000000001, 57.499382, 59.14978000000001, 58.651989, 59.14978000000001, 59.559679, 59.14978000000001, 56.53733100000001, 56.53733100000001, 54.894985, 54.894985, 54.522289, 54.522289, 53.896909, 53.896909, 55.221396, 55.221396, 56.53733100000001, 56.53733100000001, 57.815187, 57.815187, 59.18105600000001, 57.815187, 53.498185, 53.498185, 50.12198400000001, 50.12198400000001, 48.628213, 48.628213, 46.472261, 46.472261, 46.841939, 46.841939, 47.220693, 47.220693, 47.308709, 47.308709, 47.995216, 47.995216, 47.787551"
6,8,"3.819373, 3.79141, 3.79141, 3.772104, 3.772104, 3.747927, 3.747927, 3.746726, 3.746726, 3.75347, 3.75347, 3.765132, 3.765132, 3.763779, 3.763779, 3.79141","24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.28947, 24.28947, 24.467278, 24.467278, 24.554511, 24.554511, 24.367748, 24.367748, 24.105137"
7,4,"4.598677, 4.476248, 4.476248, 4.329889, 4.329889, 4.382247, 4.382247, 4.476943","16.509301, 15.962181, 15.962181, 15.627642000000002, 15.627642000000002, 17.542514, 17.542514, 19.180431"
8,7,"5.533445, 5.603559, 5.603559, 5.679313, 5.679313, 5.707953, 5.707953, 5.919529, 5.919529, 5.418851, 5.418851, 5.653096, 5.653096, 5.707953","-0.299092, -1.20192, -1.20192, -1.942572, -1.942572, 1.4746290000000002, 1.4746290000000002, 7.407063000000001, 7.407063000000001, 6.349702, 6.349702, 4.121467, 4.121467, 1.4746290000000002"
9,22,"12.585489, 12.777433, 12.777433, 12.652031, 12.652031, 12.888263, 12.888263, 13.105901, 12.652031, 12.495344, 12.495344, 12.345286, 12.495344, 12.585602, 12.585602, 12.652031, 12.652031, 12.650606, 12.650606, 12.888263, 12.650606, 12.559506, 12.559506, 12.516823, 12.516823, 12.490845, 12.490845, 12.585602, 12.490845, 12.375087, 12.375087, 12.3388, 12.375087, 12.405146, 12.375087, 12.317229, 12.516823, 12.481863, 12.481863, 12.449805, 12.449805, 12.440017999999998, 12.440017999999998, 12.448966","18.377058, 16.577691, 16.577691, 21.062559, 21.062559, 21.244943, 21.244943, 21.153397, 21.062559, 20.896109, 20.896109, 17.792868, 20.896109, 21.881384, 21.881384, 21.062559, 21.062559, 22.659497, 22.659497, 21.244943, 22.659497, 24.282984, 24.282984, 24.567168, 24.567168, 24.108925, 24.108925, 21.881384, 24.108925, 25.84616, 25.84616, 26.619482, 25.84616, 26.098606, 25.84616, 26.008349, 24.567168, 25.912852, 25.912852, 26.825699, 26.825699, 27.268237, 27.268237, 28.268423"
10,4,"12.443311, 12.795359, 12.795359, 12.519429, 12.519429, 12.252427, 12.252427, 12.443311","-63.09909200000001, -59.688764, -59.688764, -57.113212, -57.113212, -58.748928, -58.748928, -63.09909200000001"
11,6,"11.062155, 11.030677, 11.030677, 11.897168, 11.897168, 12.257086, 12.257086, 12.900472, 12.900472, 13.398747, 13.398747, 13.792354","61.75103299999999, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 57.032617, 55.959821, 55.959821, 54.925362, 54.925362, 49.313265"
