star,name,ra,dec,culture,total_culture_names
746,The Hand dyed with Henna,0.152887,59.14978000000001,arabic_moon_stations,116
113368,The First Frog,22.960838,-29.622236,arabic_moon_stations,116
3419,The Second Frog,0.72649,-17.986604999999994,arabic_moon_stations,116
5447,The Bucket cord,1.162194,35.620558,arabic_moon_stations,116
7588,The Oath star,1.628556,-57.236757,arabic_moon_stations,116
9640,The Caracal,2.064984,42.329725,arabic_moon_stations,116
8903,The Two signs 1,1.910668,20.808035,arabic_moon_stations,116
9884,The Two signs 2,2.119555,23.462423,arabic_moon_stations,116
8796,The Two friendly ones 1,1.884696,29.578829,arabic_moon_stations,116
10064,The Two friendly ones 2,2.1590580000000004,34.987297,arabic_moon_stations,116
11767,The Kid,2.52975,89.26410899999998,arabic_moon_stations,116
15863,The Elbow,3.405378,49.86118,arabic_moon_stations,116
18614,The Shoulder side,3.98275,35.791033,arabic_moon_stations,116
21421,The Follower,4.598677,16.509301,arabic_moon_stations,116
24436,The Foot of Al-Jawza,5.242298,-8.20164,arabic_moon_stations,116
24608,The Obstructor,5.27815,45.997991,arabic_moon_stations,116
25336,AlNajith,5.418851,6.349702,arabic_moon_stations,116
25930,The String of beads 1,5.533445,-0.299092,arabic_moon_stations,116
26311,The String of beads 2,5.603559,-1.20192,arabic_moon_stations,116
26727,The String of beads 3,5.679313,-1.942572,arabic_moon_stations,116
26237,The gazelles 1,5.589768,-4.838358,arabic_moon_stations,116
26235,The gazelles 2,5.589695,-5.41606,arabic_moon_stations,116
26241,The gazelles 3,5.5905510000000005,-5.9099010000000005,arabic_moon_stations,116
27989,The Shoulder side of Al-Jawza,5.919529,7.407063000000001,arabic_moon_stations,116
30324,The Precedent of Southern Shi'ra,6.378329,-17.955918,arabic_moon_stations,116
30438,Suhayl,6.399195,-52.69566,arabic_moon_stations,116
31681,The Neck bend 1,6.628528,16.399252,arabic_moon_stations,116
32362,The Neck bend 2,6.754824,12.895591,arabic_moon_stations,116
32349,The Southern Shi'ra,6.752481,-16.716116,arabic_moon_stations,116
36188,The Precedent of the Northern Shi'ra,7.452512,8.289315,arabic_moon_stations,116
36850,The Arm 1,7.5766339999999985,31.888276,arabic_moon_stations,116
37826,The Arm 2,7.755277,28.026199,arabic_moon_stations,116
37279,The Northern Shi'ra,7.655033,5.224993,arabic_moon_stations,116
46390,The Lone one,9.45979,-8.658603,arabic_moon_stations,116
49669,The Forehead 1,10.139532,11.967207,arabic_moon_stations,116
49583,The Forehead 2,10.122209,16.762664,arabic_moon_stations,116
50583,The Forehead 3,10.332873,19.841489000000006,arabic_moon_stations,116
50335,The Forehead 4,10.278171,23.417311,arabic_moon_stations,116
54061,The Two first ones 1,11.062155,61.75103299999999,arabic_moon_stations,116
53910,The Two first ones 2,11.030677,56.382427,arabic_moon_stations,116
54879,The Mane 1,11.237335,15.429570000000002,arabic_moon_stations,116
54872,The Mane 2,11.235138,20.523717,arabic_moon_stations,116
57632,The Star of weather change,11.817663,14.57206,arabic_moon_stations,116
57757,The Bend 1,11.844922,1.764718,arabic_moon_stations,116
60129,The Bend 2,12.331766,-0.6668029999999999,arabic_moon_stations,116
61941,The Bend 3,12.694345,-1.449375,arabic_moon_stations,116
63090,The Bend 4,12.926725,3.39747,arabic_moon_stations,116
63608,The Bend 5,13.036278,10.95915,arabic_moon_stations,116
