star,name,ra,dec,culture,total_culture_names
677,Horse navel,0.139791,29.090432,arabic,224
746,Tinted palm,0.152887,59.14978000000001,arabic,224
1067,Horse flank,0.220598,15.183596,arabic,224
3179,The breast,0.6751159999999999,56.53733100000001,arabic,224
3419,The second frog,0.72649,-17.986604999999994,arabic,224
5447,The rope,1.162194,35.620558,arabic,224
6686,The knee,1.430216,60.235283,arabic,224
7588,End of the river,1.628556,-57.236757,arabic,224
8645,Belly of Cetus,1.857676,-10.335038,arabic,224
8796,The triangle - The first companionable,1.884696,29.578829,arabic,224
8832,The second sign,1.89217,19.293852,arabic,224
8903,The first sign,1.910668,20.808035,arabic,224
9487,The rope knot,2.034117,2.763759,arabic,224
9640,Earthkid,2.064984,42.329725,arabic,224
9884,A butter,2.119555,23.462423,arabic,224
11767,The goat,2.52975,89.26410899999998,arabic,224
13701,The hatching-place,2.940458,-8.898144,arabic,224
13847,The aggrieved-end of the river,2.971023,-40.304672,arabic,224
14135,The nostril,3.037992,4.089734,arabic,224
14576,The ghoul,3.136148,40.955648,arabic,224
14838,The little belly,3.193822,19.726677,arabic,224
15863,The elbow of the Pleiades,3.405378,49.86118,arabic,224
17448,Shoulder of the Pleiades,3.738648,32.288248,arabic,224
17702,The Pleiades,3.79141,24.105137,arabic,224
18614,Shoulder of the Pleiades,3.98275,35.791033,arabic,224
19587,One of the eggs,4.197761,-6.837581,arabic,224
19849,One of the eggs shells,4.254537,-7.652871,arabic,224
20889,Eye of the Bull,4.476943,19.180431,arabic,224
21421,Follower of the Pleiades,4.598677,16.509301,arabic,224
23875,Footstool of the giant,5.130829,-5.086446,arabic,224
24436,The giant foot,5.242298,-8.20164,arabic,224
24608,The Pleiades watcher,5.27815,45.997991,arabic,224
25336,The molar,5.418851,6.349702,arabic,224
25428,Heel of the Reins holder,5.438198000000001,28.60745,arabic,224
25606,The camels quenching their thirst,5.470756,-20.759441,arabic,224
25930,The zone,5.533445,-0.299092,arabic,224
25985,The hare,5.545504,-17.822289,arabic,224
