star,name,ra,dec,culture,total_culture_names
69673,Marpeankurrk,14.261029999999998,19.18241,boorong,27
80763,Djuit,16.490128,-26.432002,boorong,27
91262,Neilloan,18.61564,38.783692,boorong,27
97649,Totyarguil,19.846388,8.868322000000003,boorong,27
85927,Karik Karik,17.560145000000002,-37.103821,boorong,27
68702,Berm-berm-gle,14.063729,-60.373039,boorong,27
71683,Berm-berm-gle,14.660765,-60.833976,boorong,27
61084,Bunya,12.519429,-57.113212,boorong,27
64394,Tourchingboiongerra,13.197904,27.878183,boorong,27
24372,Kourt-chin,5.229288,-67.185255,boorong,27
89931,Warring,18.3499,-29.828103,boorong,27
26311,Kulkanbulla,5.603559,-1.20192,boorong,27
17702,Lamankurrk,3.79141,24.105137,boorong,27
21421,Gellarlec,4.598677,16.509301,boorong,27
32349,Warepil,6.752481,-16.716116,boorong,27
24436,Colowgulloric Warepil,5.242298,-8.20164,boorong,27
94114,Won,19.157869,-37.904474,boorong,27
67480,Weetkurrk,13.828564000000002,21.264105,boorong,27
30438,War,6.399195,-52.69566,boorong,27
52526,Collowgulloric War,10.739699,-59.99332,boorong,27
7588,Yerredetkurrk,1.628556,-57.236757,boorong,27
101958,Otchocut,20.660635,15.912072,boorong,27
100027,Collenbitchick,20.29413,-12.508212,boorong,27
36850,Yurree,7.5766339999999985,31.888276,boorong,27
37826,Wanjel,7.755277,28.026199,boorong,27
24608,Purra,5.27815,45.997991,boorong,27
33856,Unurgunite,7.028652,-27.93483,boorong,27
