star,name,ra,dec,culture,total_culture_names
24608,Hokulei,5.27815,45.997991,hawaiian_starlines,72
36850,Nana-mua,7.5766339999999985,31.888276,hawaiian_starlines,72
37826,Nana-hope,7.755277,28.026199,hawaiian_starlines,72
37279,Puana,7.655033,5.224993,hawaiian_starlines,72
32349,A‘a,6.752481,-16.716116,hawaiian_starlines,72
24436,Puana-kau,5.242298,-8.20164,hawaiian_starlines,72
27366,Pu'uhonua,5.795941,-9.669605,hawaiian_starlines,72
27989,Kaulua-koko,5.919529,7.407063000000001,hawaiian_starlines,72
11767,Hokupa‘a,2.52975,89.26410899999998,hawaiian_starlines,72
69673,Hokule‘a,14.261029999999998,19.18241,hawaiian_starlines,72
65474,Hiki-analia,13.419883,-11.161322,hawaiian_starlines,72
72607,Holopuni,14.845104999999998,74.155505,hawaiian_starlines,72
102098,Hawaiki,20.690532,45.280338,hawaiian_starlines,72
97649,Humu,19.846388,8.868322000000003,hawaiian_starlines,72
91262,Keoe,18.61564,38.783692,hawaiian_starlines,72
21421,Hoku‘ula,4.598677,16.509301,hawaiian_starlines,72
80763,Lehua-Kona,16.490128,-26.432002,hawaiian_starlines,72
30438,Ke ali'i o kona i ka lewa,6.399195,-52.69566,hawaiian_starlines,72
27366,Pu‘uhonua,5.795941,-9.669605,hawaiian_starlines,72
54061,Hiku-kahi,11.062155,61.75103299999999,hawaiian_starlines,72
53910,Hiku-lua,11.030677,56.382427,hawaiian_starlines,72
58001,Hiku-kolu,11.897168,53.69476,hawaiian_starlines,72
59774,Hiku-ha,12.257086,57.032617,hawaiian_starlines,72
62956,Hiku-lima,12.900472,55.959821,hawaiian_starlines,72
65378,Hiku-ono,13.398747,54.925362,hawaiian_starlines,72
67301,Hiku-pau,13.792354,49.313265,hawaiian_starlines,72
61084,Kaulia,12.519429,-57.113212,hawaiian_starlines,72
60718,Ka Mole Honua,12.443311,-63.09909200000001,hawaiian_starlines,72
68702,Ka-maile-mua,14.063729,-60.373039,hawaiian_starlines,72
71683,Ka-maile-hope,14.660765,-60.833976,hawaiian_starlines,72
85927,Ka Maka,17.560145000000002,-37.103821,hawaiian_starlines,72
21421,Kapuahi,4.598677,16.509301,hawaiian_starlines,72
113963,Keawe,23.079348,15.205264,hawaiian_starlines,72
677,Manokalanipo,0.139791,29.090432,hawaiian_starlines,72
1067,Pi‘ilani,0.220598,15.183596,hawaiian_starlines,72
113881,Kakuhihewa,23.062901,28.082789,hawaiian_starlines,72
3419,Pi‘ikea,0.72649,-17.986604999999994,hawaiian_starlines,72
2081,Kaikilani,0.4380560000000001,-42.305981,hawaiian_starlines,72
113368,Kukaniloko,22.960838,-29.622236,hawaiian_starlines,72
746,Kealohalani-po-keao,0.152887,59.14978000000001,hawaiian_starlines,72
3179,Kamoanalipoli-po-keao,0.6751159999999999,56.53733100000001,hawaiian_starlines,72
4427,Kaheihiwahiwa-o-keao,0.945143,60.71674,hawaiian_starlines,72
6686,Kapalinihinihi-o-keao,1.430216,60.235283,hawaiian_starlines,72
8886,Haumea,1.906584,63.670101,hawaiian_starlines,72
30324,Mirzim,6.378329,-17.955918,hawaiian_starlines,72
11368,Kukaniloko,2.440709,-2.273521,hawaiian_starlines,72
28360,‘Ekekeu’ena’ena,5.992149,44.947433,hawaiian_starlines,72
28380,‘Ekekeuehuehu,5.995351,37.212585,hawaiian_starlines,72
25428,‘Ekekeuhe’ehe’e,5.438198000000001,28.60745,hawaiian_starlines,72
23015,‘Ekekeukolokolo,4.9498940000000005,33.166090000000004,hawaiian_starlines,72
25336,Bellatrix,5.418851,6.349702,hawaiian_starlines,72
26727,Alnitak,5.679313,-1.942572,hawaiian_starlines,72
26311,Alnilam,5.603559,-1.20192,hawaiian_starlines,72
25930,Mintaka,5.533445,-0.299092,hawaiian_starlines,72
65477,Hiku-ono,13.420413,54.987958,hawaiian_starlines,72
78820,Pua‘i,16.09062,-19.805453,hawaiian_starlines,72
78401,Mili’opu,16.005557,-22.62171,hawaiian_starlines,72
78265,Kahe,15.980865,-26.114105,hawaiian_starlines,72
80112,Hihiwai,16.353143,-25.592796,hawaiian_starlines,72
81266,Kawelaokapo,16.598043,-28.216016,hawaiian_starlines,72
82396,‘Ohelokulu,16.83608,-34.293232,hawaiian_starlines,72
82514,‘Ohelokoko,16.864508999999998,-38.04738,hawaiian_starlines,72
82729,‘Ohelouli,16.909731,-42.361313,hawaiian_starlines,72
84143,‘Oheloawa,17.202551999999994,-43.239189,hawaiian_starlines,72
86228,‘Ohelowaha,17.621979999999994,-42.997824,hawaiian_starlines,72
87073,Kawilikolokio,17.793078,-40.126997,hawaiian_starlines,72
86670,Ka‘ielawei‘a,17.708132,-39.029983,hawaiian_starlines,72
85686,Lele,17.510914,46.34220300000001,hawaiian_starlines,72
95947,Kalipo‘eu‘eu,19.512023000000006,27.959681,hawaiian_starlines,72
100453,Momonapikowalu,20.370473,40.256679,hawaiian_starlines,72
97165,Mokopapa‘i,19.749574,45.13081,hawaiian_starlines,72
102488,Wainielela,20.770178,33.970256,hawaiian_starlines,72
