star,name,ra,dec,culture,total_culture_names
11767,Dhruva,2.52975,89.26410899999998,indian,31
21421,Rohiṇī,4.598677,16.509301,indian,31
27989,Ārdrā,5.919529,7.407063000000001,indian,31
49669,Maghā,10.139532,11.967207,indian,31
65474,Chitrā,13.419883,-11.161322,indian,31
69673,Svātī,14.261029999999998,19.18241,indian,31
97649,Śravaṇa,19.846388,8.868322000000003,indian,31
24608,Bramha Hṛdaya,5.27815,45.997991,indian,31
32349,Lubdhaka,6.752481,-16.716116,indian,31
24436,Vānrājā,5.242298,-8.20164,indian,31
54061,Kratu,11.062155,61.75103299999999,indian,31
53910,Pulaha,11.030677,56.382427,indian,31
58001,Pulasta,11.897168,53.69476,indian,31
59774,Atri,12.257086,57.032617,indian,31
62956,Angirā,12.900472,55.959821,indian,31
65378,Vaśisṭha,13.398747,54.925362,indian,31
67301,Mārīchi,13.792354,49.313265,indian,31
65477,Arundhati,13.420413,54.987958,indian,31
91262,Abhijit,18.61564,38.783692,indian,31
80763,jyeṣṭhā,16.490128,-26.432002,indian,31
30438,Augastya,6.399195,-52.69566,indian,31
25428,Agni,5.438198000000001,28.60745,indian,31
26727,Uṣā,5.679313,-1.942572,indian,31
26311,Aniruddha,5.603559,-1.20192,indian,31
25930,Chitralekhā,5.533445,-0.299092,indian,31
31681,Anala,6.628528,16.399252,indian,31
37826,Diti,7.755277,28.026199,indian,31
36850,Aditi,7.5766339999999985,31.888276,indian,31
746,Yamadagni,0.152887,59.14978000000001,indian,31
25336,Kārtikeya,5.418851,6.349702,indian,31
27366,Kārtyabīrya,5.795941,-9.669605,indian,31
