star,name,ra,dec,culture,total_culture_names
17499,Waipunarangi,3.747927,24.113339,maori,24
21421,Taumata-kuku,4.598677,16.509301,maori,24
24436,Puanga,5.242298,-8.20164,maori,24
30438,Atutahi,6.399195,-52.69566,maori,24
32349,Takarua,6.752481,-16.716116,maori,24
36850,Whakaahu,7.5766339999999985,31.888276,maori,24
37279,Puanga Hori,7.655033,5.224993,maori,24
65474,Mariao,13.419883,-11.161322,maori,24
69673,Ruawahia,14.261029999999998,19.18241,maori,24
80763,Rehua,16.490128,-26.432002,maori,24
80112,Pekehawani,16.353143,-25.592796,maori,24
81266,Whakaonge-kai,16.598043,-28.216016,maori,24
91262,Whanui,18.61564,38.783692,maori,24
97649,Poutu-te-Rangi,19.846388,8.868322000000003,maori,24
50583,Pipiri,10.332873,19.841489000000006,maori,24
7588,Turu,1.628556,-57.236757,maori,24
17702,Matariki,3.79141,24.105137,maori,24
17573,Waiti,3.763779,24.367748,maori,24
17531,Waita,3.75347,24.467278,maori,24
17847,Tupuarangi,3.819373,24.053415,maori,24
17579,Pohutukawa,3.765132,24.554511,maori,24
17489,Hiwa-i-te-rangi,3.746726,24.28947,maori,24
17851,Tupuanuku,3.819782,24.136712,maori,24
17608,Ururangi,3.772104,23.948358,maori,24
