star,name,ra,dec,culture,total_culture_names
4427,Wolf,0.945143,60.71674,mulapin,15
30438,Star of Eridu,6.399195,-52.69566,mulapin,15
80763,"Scorpion's Heart, Lisi",16.490128,-26.432002,mulapin,15
91262,Goddess Lamssatu,18.61564,38.783692,mulapin,15
11767,"Heir of the Sublime Temple, the first-ranking son of Anu",2.52975,89.26410899999998,mulapin,15
54061,Ewe,11.062155,61.75103299999999,mulapin,15
65477,Fox,13.420413,54.987958,mulapin,15
69673,Abundant One,14.261029999999998,19.18241,mulapin,15
49669,King,10.139532,11.967207,mulapin,15
85927,Shargaz,17.560145000000002,-37.103821,mulapin,15
85969,Sharur,17.569955,-54.895775,mulapin,15
65474,Ear of Grain,13.419883,-11.161322,mulapin,15
116584,Heel of the U.KA.DU.A demon,23.626056,46.458152,mulapin,15
113726,Knee of the U.KA.DU.A demon,23.032017,42.325979,mulapin,15
102098,Breast of the U.KA.DU.A demon,20.690532,45.280338,mulapin,15
