star,name,ra,dec,culture,total_culture_names
677,Alpheratz,0.139791,29.090432,romanian,230
746,Caph,0.152887,59.14978000000001,romanian,230
1067,Algenib,0.220598,15.183596,romanian,230
2081,Ankaa,0.4380560000000001,-42.305981,romanian,230
3179,Shedir,0.6751159999999999,56.53733100000001,romanian,230
3419,Diphda,0.72649,-17.986604999999994,romanian,230
3829,Van Maanen 2,0.819416,5.38861,romanian,230
5447,Mirach,1.162194,35.620558,romanian,230
6411,Adhil,1.372337,45.528778,romanian,230
6686,Ruchbah,1.430216,60.235283,romanian,230
7588,Achernar,1.628556,-57.236757,romanian,230
8645,Baten Kaitos,1.857676,-10.335038,romanian,230
8796,Mothallah,1.884696,29.578829,romanian,230
8832,Mesarthim,1.89217,19.293852,romanian,230
8903,Sheratan,1.910668,20.808035,romanian,230
9487,Alrescha,2.034117,2.763759,romanian,230
9640,Almaak,2.064984,42.329725,romanian,230
9884,Hamal,2.119555,23.462423,romanian,230
10826,Mira,2.322442,-2.977643,romanian,230
11767,The Sky's Votive Light,2.52975,89.26410899999998,romanian,230
13701,Azha,2.940458,-8.898144,romanian,230
13847,Acamar,2.971023,-40.304672,romanian,230
14135,Menkar,3.037992,4.089734,romanian,230
14576,Algol,3.136148,40.955648,romanian,230
14838,Botein,3.193822,19.726677,romanian,230
15197,Zibal,3.263896,-8.81973,romanian,230
15863,Mirphak,3.405378,49.86118,romanian,230
17448,Atik,3.738648,32.288248,romanian,230
17489,Celaeno,3.746726,24.28947,romanian,230
17499,Electra,3.747927,24.113339,romanian,230
17531,Taygeta,3.75347,24.467278,romanian,230
17573,Maia,3.763779,24.367748,romanian,230
17579,Asterope,3.765132,24.554511,romanian,230
17608,Merope,3.772104,23.948358,romanian,230
17702,Alcyone,3.79141,24.105137,romanian,230
17847,Atlas,3.819373,24.053415,romanian,230
17851,Pleione,3.819782,24.136712,romanian,230
18543,Zaurak,3.967157,-13.508515,romanian,230
18614,Menkib,3.98275,35.791033,romanian,230
19587,Beid,4.197761,-6.837581,romanian,230
19849,Keid,4.254537,-7.652871,romanian,230
20889,Ain,4.476943,19.180431,romanian,230
21421,The Bright Star of the Pig The Alarm Clock,4.598677,16.509301,romanian,230
23875,Cursa,5.130829,-5.086446,romanian,230
24186,Kapteyn's Star,5.1941690000000005,-45.018417,romanian,230
24436,Rigel,5.242298,-8.20164,romanian,230
24608,Capella,5.27815,45.997991,romanian,230
25336,Bellatrix,5.418851,6.349702,romanian,230
25428,Alnath,5.438198000000001,28.60745,romanian,230
25606,Nihal,5.470756,-20.759441,romanian,230
25930,Mintaka,5.533445,-0.299092,romanian,230
25985,Arneb,5.545504,-17.822289,romanian,230
26207,Meissa,5.5856330000000005,9.934158,romanian,230
26311,Alnilam,5.603559,-1.20192,romanian,230
26634,Phact,5.660817,-34.074108,romanian,230
26727,Alnitak,5.679313,-1.942572,romanian,230
27366,Saiph,5.795941,-9.669605,romanian,230
27628,Wazn,5.849329,-35.768309,romanian,230
27989,Betelgeuse,5.919529,7.407063000000001,romanian,230
28360,Menkalinan,5.992149,44.947433,romanian,230
29655,Propus,6.247961,22.506799,romanian,230
30089,Red Rectangle,6.332838,-10.637414,romanian,230
30122,Furud,6.338553,-30.063367,romanian,230
30324,Mirzam,6.378329,-17.955918,romanian,230
30343,Tejat,6.3826730000000005,22.513586,romanian,230
30438,Canopus,6.399195,-52.69566,romanian,230
31681,Alhena,6.628528,16.399252,romanian,230
32246,Mebsuta,6.732202,25.131124,romanian,230
32349,Morning Star,6.752481,-16.716116,romanian,230
33579,Adhara,6.9770970000000005,-28.972084,romanian,230
34045,Muliphein,7.062637,-15.633285999999998,romanian,230
34088,Mekbuda,7.0684809999999985,20.570297,romanian,230
34444,Wezen,7.139857000000001,-26.3932,romanian,230
35488,Bernes 135,7.324517,-44.586468,romanian,230
35550,Wasat,7.335383,21.98232,romanian,230
35904,Aludra,7.401584,-29.303104,romanian,230
36188,Gomeisa,7.452512,8.289315,romanian,230
36208,Luyten's Star,7.456805,5.225785,romanian,230
36850,Romulus,7.5766339999999985,31.888276,romanian,230
37279,Procyon,7.655033,5.224993,romanian,230
37826,Remus,7.755277,28.026199,romanian,230
39429,Naos,8.059737,-40.003148,romanian,230
39953,Regor,8.158876,-47.336588,romanian,230
40167,Tegmine,8.203535,17.647771,romanian,230
41037,Avior,8.375236,-59.509483,romanian,230
41704,Muscida,8.504431,60.718169,romanian,230
42806,Asellus Borealis,8.721430999999999,21.468501,romanian,230
42911,Asellus Australis,8.74475,18.154309,romanian,230
44066,Acubens,8.974784,11.857701,romanian,230
44127,Talitha,8.986828,48.041826,romanian,230
44816,Suhail,9.133268,-43.432589,romanian,230
45238,Miaplacidus,9.220041,-69.717208,romanian,230
45556,Aspidiske,9.284838,-59.275229,romanian,230
46390,Alphard,9.45979,-8.658603,romanian,230
46750,Alterf,9.528675,22.967971,romanian,230
47508,Subra,9.685842999999998,9.892308,romanian,230
48455,Rasalas,9.879398,26.006951,romanian,230
49669,Regulus,10.139532,11.967207,romanian,230
50335,Adhafera,10.278171,23.417311,romanian,230
50372,Tania Borealis,10.284952,42.914365,romanian,230
50583,Algieba,10.332873,19.841489000000006,romanian,230
50801,Tania Australis,10.372155,41.499516,romanian,230
53740,Alkes,10.996244,-18.298783,romanian,230
53910,Merak,11.030677,56.382427,romanian,230
54061,Dubhe,11.062155,61.75103299999999,romanian,230
