star,name,ra,dec,culture,total_culture_names
677,Alpheratz,0.139791,29.090432,western,876
677,Sirrah,0.139791,29.090432,western,876
5447,Mirach,1.162194,35.620558,western,876
9640,Almach,2.064984,42.329725,western,876
9640,Almaak,2.064984,42.329725,western,876
6411,Adhil,1.372337,45.528778,western,876
7607,Nembus,1.633205,48.628213,western,876
7513,Titawin,1.613299,41.405459,western,876
116076,Veritate,23.52149,39.236198,western,876
6999,Thail,1.501695,47.007274,western,876
109074,Sadalmelik,22.096399,-0.319851,western,876
106278,Sadalsuud,21.525982,-5.571172,western,876
110395,Sadachbia,22.360938,-1.387331,western,876
113136,Skat,22.910837,-15.82082,western,876
102618,Albali,20.794598,-9.495776,western,876
110003,Ancha,22.280565,-7.783289999999999,western,876
111710,Situla,22.629273,-4.228056,western,876
110960,Sadaltager,22.480531,-0.019972,western,876
110960,Alsad,22.480531,-0.019972,western,876
112961,Hydor,22.87691,-7.579599000000001,western,876
104459,Albulan II,21.159902,-11.371693,western,876
104459,Albulaan,21.159902,-11.371693,western,876
103045,Albulan I,20.877565,-8.983317999999997,western,876
103045,Albulaan,20.877565,-8.983317999999997,western,876
106786,Bunda,21.629197,-7.854201,western,876
108874,Sadalmulk,22.055234,-2.155363,western,876
108874,Al Sa'd al Mulk,22.055234,-2.155363,western,876
110672,Seat,22.421284,1.377401,western,876
97649,Altair,19.846388,8.868322000000003,western,876
98036,Alshain,19.921887,6.406763,western,876
97278,Tarazed,19.770994,10.613261,western,876
97278,Reda,19.770994,10.613261,western,876
97938,Libertas,19.904134,8.461453,western,876
93805,Al Thalimain Prior,19.10415,-4.882554,western,876
93805,Al Thalimain I,19.10415,-4.882554,western,876
96468,Al Thalimain Posterior,19.612022,-1.286601,western,876
96468,Al Thalimain II,19.612022,-1.286601,western,876
93747,Okab,19.090169,13.863478,western,876
93747,Deneb al Okab Australis,19.090169,13.863478,western,876
93747,Deneb el Okab,19.090169,13.863478,western,876
93244,Deneb al Okab Borealis,18.993711,15.068298,western,876
93244,Deneb el Okab,18.993711,15.068298,western,876
95501,Almizan I,19.424972,3.114775,western,876
97804,Almizan II,19.874547,1.005661,western,876
99473,Almizan III,20.188413,-0.8214610000000001,western,876
86796,Cervantes,17.735751999999994,-51.834053,western,876
9884,Hamal,2.119555,23.462423,western,876
8903,Sheratan,1.910668,20.808035,western,876
8832,Mesarthim,1.89217,19.293852,western,876
14838,Botein,3.193822,19.726677,western,876
12489,Barani I,2.678075,27.060943,western,876
12719,Barani II,2.724198,27.707146,western,876
13061,Lilii Borea,2.79848,29.247118,western,876
13061,Barani III,2.79848,29.247118,western,876
13209,Bharani,2.833063,27.260507,western,876
13209,Nair al Butain,2.833063,27.260507,western,876
13914,Al Butain III,2.986868,21.340429,western,876
15110,Al Butain IV,3.24836,21.044441,western,876
12640,Koleon,2.706094,20.011465,western,876
13165,Al Butain I,2.821544,17.464309,western,876
13702,Al Butain II,2.940596,18.023119,western,876
24608,Capella,5.27815,45.997991,western,876
24608,Alhajoth,5.27815,45.997991,western,876
24608,Goat Star,5.27815,45.997991,western,876
28360,Menkalinan,5.992149,44.947433,western,876
23015,Hassaleh,4.9498940000000005,33.166090000000004,western,876
23015,Kabalinan,4.9498940000000005,33.166090000000004,western,876
23453,Saclateni,5.041301,41.075837,western,876
23453,Haedus I,5.041301,41.075837,western,876
23453,Haedus,5.041301,41.075837,western,876
23453,Sadatoni,5.041301,41.075837,western,876
23416,Almaaz,5.032815,43.823308,western,876
23416,Al Ma'az,5.032815,43.823308,western,876
23416,Alanz,5.032815,43.823308,western,876
23767,Haedus,5.10858,41.234474,western,876
23767,Haedus II,5.10858,41.234474,western,876
28380,Mahasim,5.995351,37.212585,western,876
24813,Alhiba II,5.318995,40.099051,western,876
24340,Alhiba I,5.223811,38.484498,western,876
25292,Alhiba III,5.4108730000000005,37.38534600000001,western,876
30520,Dolones I,6.414973000000002,49.287893,western,876
31832,Dolones III,6.655507000000001,42.488877,western,876
31789,Dolones II,6.646995,39.902559,western,876
32173,Dolones IV,6.718050999999999,44.52445,western,876
32480,Dolones V,6.778983,43.577427,western,876
32562,Dolones VI,6.794327,48.789476,western,876
32844,Dolones VII,6.846097,41.78123,western,876
33133,Dolones VIII,6.899187,38.505018,western,876
33377,Dolones IX,6.9422380000000015,46.273998,western,876
26712,Andrews' star,5.676641,31.358197,western,876
69673,Arcturus,14.261029999999998,19.18241,western,876
73555,Nekkar,15.032436,40.390566,western,876
71075,Seginus,14.534636,38.308253,western,876
71075,Haris,14.534636,38.308253,western,876
71075,Ceginus,14.534636,38.308253,western,876
72105,Izar,14.749784,27.074222,western,876
72105,Pulcherrima,14.749784,27.074222,western,876
72105,Mirak,14.749784,27.074222,western,876
67927,Muphrid,13.911411,18.397717,western,876
75411,Alkalurops,15.408181,37.377167,western,876
75411,Inkalunis,15.408181,37.377167,western,876
75411,Clava,15.408181,37.377167,western,876
75411,Venabulum,15.408181,37.377167,western,876
72487,Merga,14.821853,46.116205,western,876
70497,Asellus Primus,14.419967000000002,51.850744,western,876
69713,Asellus Secundus,14.269439000000002,51.367231,western,876
69483,Asellus Tertius,14.224718,51.789965,western,876
74666,Thiba,15.258376,33.314833,western,876
69732,Xuange,14.273074,46.088305,western,876
69732,Aulad Althiba,14.273074,46.088305,western,876
76534,Ceginus,15.630441,40.353433,western,876
73745,Aulad Alnathlat,15.074098,26.947649,western,876
58952,Tonatiuh,12.087451,76.905734,western,876
44066,Acubens,8.974784,11.857701,western,876
44066,Sertan,8.974784,11.857701,western,876
42806,Asellus Borealis,8.721430999999999,21.468501,western,876
42911,Asellus Australis,8.74475,18.154309,western,876
40167,Tegmine,8.203535,17.647771,western,876
40167,Tegmeni,8.203535,17.647771,western,876
40526,Tarf,8.275256,9.185545,western,876
40526,Al Tarf,8.275256,9.185545,western,876
40526,Altarf,8.275256,9.185545,western,876
43587,Copernicus,8.876625,28.330819,western,876
42556,Meleph,8.67417,19.544808,western,876
42556,Almalaf,8.67417,19.544808,western,876
43103,Zubanah,8.778284,28.759898,western,876
40881,Piautos,8.342260000000001,24.022314,western,876
44946,Nahn,9.155982,22.045446,western,876
63125,Cor Caroli,12.933807,38.31838,western,876
61317,Chara,12.562411,41.35748,western,876
62223,La Superba,12.752174,45.440256,western,876
32349,Sirius,6.752481,-16.716116,western,876
32349,Canicula,6.752481,-16.716116,western,876
32349,Aschere,6.752481,-16.716116,western,876
30324,Mirzam,6.378329,-17.955918,western,876
30324,Murzim,6.378329,-17.955918,western,876
30324,Murzam,6.378329,-17.955918,western,876
34045,Muliphein,7.062637,-15.633285999999998,western,876
34045,Mirza,7.062637,-15.633285999999998,western,876
34045,Isis,7.062637,-15.633285999999998,western,876
34444,Wezen,7.139857000000001,-26.3932,western,876
34444,Alwazn,7.139857000000001,-26.3932,western,876
33579,Adhara,6.9770970000000005,-28.972084,western,876
30122,Furud,6.338553,-30.063367,western,876
35904,Aludra,7.401584,-29.303104,western,876
33345,Isis,6.935179,-14.04343,western,876
33152,Udra,6.902209,-24.184211,western,876
33977,Al Zara,7.050408999999998,-23.833291,western,876
33856,Unurgunite,7.028652,-27.93483,western,876
37279,Procyon,7.655033,5.224993,western,876
37279,Elgomaisa,7.655033,5.224993,western,876
37279,Antecanis,7.655033,5.224993,western,876
36188,Gomeisa,7.452512,8.289315,western,876
36188,Algomeyla,7.452512,8.289315,western,876
36188,Gomelza,7.452512,8.289315,western,876
36208,Luyten's Star,7.456805,5.225785,western,876
100027,Prima Giedi,20.29413,-12.508212,western,876
100064,Algedi,20.300904,-12.544852,western,876
100064,Secunda Giedi,20.300904,-12.544852,western,876
100345,Dabih,20.350187,-14.781367,western,876
100345,Dabih Major,20.350187,-14.781367,western,876
100325,Dabih Minor,20.346263,-14.784892,western,876
106985,Nashira,21.668181,-16.662308,western,876
107556,Deneb Algedi,21.784011,-16.127285999999998,western,876
100310,Alshat,20.344393,-12.75908,western,876
100310,Al Shat,20.344393,-12.75908,western,876
30438,Canopus,6.399195,-52.69566,western,876
30438,Suhel,6.399195,-52.69566,western,876
45238,Miaplacidus,9.220041,-69.717208,western,876
41037,Avior,8.375236,-59.509483,western,876
45556,Aspidiske,9.284838,-59.275229,western,876
45556,Turais,9.284838,-59.275229,western,876
45556,Scutulum,9.284838,-59.275229,western,876
55042,Innes' Star,11.267069,-57.54766899999999,western,876
3179,Shedar,0.6751159999999999,56.53733100000001,western,876
3179,Shedir,0.6751159999999999,56.53733100000001,western,876
746,Caph,0.152887,59.14978000000001,western,876
6686,Ruchbah,1.430216,60.235283,western,876
6686,Ksora,1.430216,60.235283,western,876
3821,Achird,0.81826,57.815187,western,876
8886,Segin,1.906584,63.670101,western,876
5542,Marfak,1.185017,55.149901,western,876
5542,Marfak-East,1.185017,55.149901,western,876
5336,Marfak,1.137477,54.92034,western,876
5336,Marfak-West,1.137477,54.92034,western,876
5336,Al Marfak,1.137477,54.92034,western,876
4427,Navi,0.945143,60.71674,western,876
2920,Fulu,0.616188,53.896909,western,876
4422,Castula,0.944432,59.18105600000001,western,876
1415,Pearce's Star,0.295295,51.43309,western,876
71683,Rigil Kentaurus,14.660765,-60.833976,western,876
71683,Toliman,14.660765,-60.833976,western,876
71683,Bungula,14.660765,-60.833976,western,876
70890,Proxima,14.495985,-62.679485,western,876
70890,Proxima Centauri,14.495985,-62.679485,western,876
68702,Hadar,14.063729,-60.373039,western,876
68702,Agena,14.063729,-60.373039,western,876
61932,Muhlifain,12.691971,-48.959888,western,876
68002,Alnair,13.925667,-47.288375,western,876
68002,Baten Kentaurus,13.925667,-47.288375,western,876
68933,Menkent,14.111395000000002,-36.369954,western,876
56709,Przybylski's Star,11.626959,-46.709689,western,876
70300,Bidelman's Helium Variable Star,14.383956,-39.511819,western,876
69619,Popper's Star,14.249620000000002,-46.288691,western,876
105199,Alderamin,21.30963,62.585573,western,876
