star_ID_pair,culture,ras,decs
"7588, 9007",western,"1.628556, 1.932564","-57.236757, -51.608896"
"9007, 10602",western,"1.932564, 2.275154","-51.608896, -51.512165"
"10602, 11407",western,"2.275154, 2.449755","-51.512165, -47.70384"
"11407, 12413",western,"2.449755, 2.663326","-47.70384, -42.89167"
"12413, 12486",western,"2.663326, 2.677781","-42.89167, -39.855375"
"12486, 13847",western,"2.677781, 2.971023","-39.855375, -40.304672"
"13847, 15510",western,"2.971023, 3.331944","-40.304672, -43.06978400000001"
"15510, 17797",western,"3.331944, 3.809963","-43.06978400000001, -37.620155"
"17797, 17874",western,"3.809963, 3.824237","-37.620155, -36.20025"
"17874, 20042",western,"3.824237, 4.298237","-36.20025, -33.798348"
"20042, 20535",western,"4.298237, 4.400613","-33.798348, -34.016846"
"20535, 21393",western,"4.400613, 4.592512","-34.016846, -30.562341"
"17651, 21393",western,"3.780804, 4.592512","-23.249723, -30.562341"
"16611, 17651",western,"3.563132, 3.780804","-21.632883, -23.249723"
"15474, 16611",western,"3.325278, 3.563132","-21.757864, -21.632883"
"14146, 15474",western,"3.039863, 3.325278","-23.624472, -21.757864"
"12843, 14146",western,"2.7517150000000004, 3.039863","-18.572563, -23.624472"
"12843, 13701",western,"2.7517150000000004, 2.940458","-18.572563, -8.898144"
"13701, 15197",western,"2.940458, 3.263896","-8.898144, -8.81973"
"15197, 16537",western,"3.263896, 3.5488480000000004","-8.81973, -9.458262"
"16537, 17378",western,"3.5488480000000004, 3.720806","-9.458262, -9.763395"
"17378, 21444",western,"3.720806, 4.6053169999999986","-9.763395, -3.352459"
"21444, 22109",western,"4.6053169999999986, 4.758375","-3.352459, -3.254657"
"22109, 22701",western,"4.758375, 4.881575","-3.254657, -5.4526949999999985"
"22701, 23875",western,"4.881575, 5.130829","-5.4526949999999985, -5.086446"
"23875, 23972",western,"5.130829, 5.15244","-5.086446, -8.754081"
"21594, 23972",western,"4.6363400000000015, 5.15244","-14.30402, -8.754081"
"89931, 90496",western,"18.3499, 18.466179","-29.828103, -25.4217"
"89642, 90185",western,"18.293793, 18.402868","-36.761686, -34.384615999999994"
"88635, 90185",western,"18.096803, 18.402868","-30.424091, -34.384615999999994"
"87072, 88635",western,"17.792673999999995, 18.096803","-27.830788, -30.424091"
"88635, 89931",western,"18.096803, 18.3499","-30.424091, -29.828103"
"89931, 90185",western,"18.3499, 18.402868","-29.828103, -34.384615999999994"
"90185, 93506",western,"18.402868, 19.043532","-34.384615999999994, -29.880105"
"92041, 93506",western,"18.76094, 19.043532","-26.990778, -29.880105"
"89931, 92041",western,"18.3499, 18.76094","-29.828103, -26.990778"
"90496, 92041",western,"18.466179, 18.76094","-25.4217, -26.990778"
"89341, 90496",western,"18.229392, 18.466179","-21.058834, -25.4217"
"93506, 93864",western,"19.043532, 19.11567","-29.880105, -27.670423"
"92855, 93864",western,"18.92109, 19.11567","-26.296721999999995, -27.670423"
"92041, 92855",western,"18.76094, 18.92109","-26.990778, -26.296721999999995"
