star_ID,count,ra,dec,size
26727,28,5.679313,-1.942572,819
25930,28,5.533445,-0.299092,819
26311,26,5.603559,-1.20192,711
21421,24,4.598677,16.509301,611
17499,24,3.747927,24.113339,611
17847,23,3.819373,24.053415,564
58001,22,11.897168,53.69476,519
17608,22,3.772104,23.948358,519
54061,22,11.062155,61.75103299999999,519
53910,22,11.030677,56.382427,519
62956,22,12.900472,55.959821,519
67301,22,13.792354,49.313265,519
59774,22,12.257086,57.032617,519
65378,22,13.398747,54.925362,519
20205,21,4.329889,15.627642000000002,476
746,21,0.152887,59.14978000000001,476
20889,21,4.476943,19.180431,476
17702,20,3.79141,24.105137,435
20455,20,4.382247,17.542514,435
4427,20,0.945143,60.71674,435
6686,20,1.430216,60.235283,435
36850,19,7.5766339999999985,31.888276,396
27989,19,5.919529,7.407063000000001,396
3179,19,0.6751159999999999,56.53733100000001,396
24436,19,5.242298,-8.20164,396
80763,18,16.490128,-26.432002,359
85927,18,17.560145000000002,-37.103821,359
37826,18,7.755277,28.026199,359
8886,18,1.906584,63.670101,359
78265,18,15.980865,-26.114105,359
78401,18,16.005557,-22.62171,359
17531,18,3.75347,24.467278,359
78820,17,16.09062,-19.805453,324
82396,17,16.83608,-34.293232,324
91262,17,18.61564,38.783692,324
87073,16,17.793078,-40.126997,291
81266,16,16.598043,-28.216016,291
25336,16,5.418851,6.349702,291
113881,16,23.062901,28.082789,291
102098,16,20.690532,45.280338,291
27366,16,5.795941,-9.669605,291
76952,15,15.712381,26.295637,260
86670,15,17.708132,-39.029983,260
24608,15,5.27815,45.997991,260
86228,15,17.621979999999994,-42.997824,260
100453,15,20.370473,40.256679,260
677,15,0.139791,29.090432,260
113963,15,23.079348,15.205264,260
1067,15,0.220598,15.183596,260
76267,15,15.578128,26.714693,260
97649,15,19.846388,8.868322000000003,260
78159,15,15.959794,26.87788,260
84143,15,17.202551999999994,-43.239189,260
60718,14,12.443311,-63.09909200000001,231
26207,14,5.5856330000000005,9.934158,231
77512,14,15.826570000000002,26.068394,231
20894,14,4.477705,15.870883,231
75695,14,15.463818,29.105703,231
102488,14,20.770178,33.970256,231
50335,13,10.278171,23.417311,204
78493,13,16.024047,29.851061,204
97165,13,19.749574,45.13081,204
32349,13,6.752481,-16.716116,204
49669,13,10.139532,11.967207,204
76127,13,15.548829,31.359133,204
75097,13,15.345482999999998,71.834016,204
50583,13,10.332873,19.841489000000006,204
90185,13,18.402868,-34.384615999999994,204
61084,13,12.519429,-57.113212,204
11767,13,2.52975,89.26410899999998,204
82514,13,16.864508999999998,-38.04738,204
97278,13,19.770994,10.613261,204
102281,12,20.724315,15.074581,179
59316,12,12.168746,-22.619766,179
8903,12,1.910668,20.808035,179
31681,12,6.628528,16.399252,179
72607,12,14.845104999999998,74.155505,179
48455,12,9.879398,26.006951,179
47908,12,9.764188,23.774255,179
