star_ID,count,ra,dec,size,culture
110023,1,22.285139,-5.387164,36,chinese_medieval
10623,1,2.279251,83.561414,36,chinese_medieval
100751,1,20.427459,-56.73509,36,western
117299,1,23.783866,57.451359,36,chinese_medieval
25142,1,5.3805559999999995,3.5444519999999997,36,lokono
22157,1,4.76715,11.705591,36,chinese_medieval
109111,1,22.101914,-39.543353,36,western
59767,1,12.255737,87.700115,36,chinese_medieval
38722,1,7.927749,19.88397,36,chinese_medieval
98438,1,20.000919,17.516510999999998,36,korean
31125,1,6.5309349999999995,-23.418422,36,chinese_medieval
53824,1,11.012445,6.101449,36,chinese_medieval
21060,1,4.513916,-44.953749,36,western
22881,1,4.9218470000000005,-16.417767,36,korean
8778,1,1.8811419999999999,-16.92925,36,romanian
37004,1,7.604792,-40.531267,36,arabic
61384,1,12.578902000000001,70.02176999999999,36,korean
105193,1,21.309008,61.18439300000001,36,armintxe
88981,1,18.16205,-13.934435,36,northern_andes
113327,1,22.95125,48.684067999999996,36,korean
2240,1,0.47402700000000003,-39.915002,36,chinese_medieval
35415,1,7.311802,-24.954375,36,chinese_medieval
91014,1,18.566046,-33.01656,36,lokono
55797,1,11.43254,55.850458999999994,36,chinese_medieval
33682,1,6.997378,-67.916443,36,boorong
92056,1,18.762989,74.085553,36,korean
100261,1,20.334998000000002,68.880317,36,chinese_medieval
81854,1,16.71838,77.513973,36,korean
98234,1,19.962623999999998,16.789163000000002,36,chinese_medieval
36393,1,7.489012,28.118275,36,boorong
33694,1,7.001081,76.977408,36,korean
64417,1,13.202335999999999,24.258027,36,boorong
38827,1,7.946313000000001,-52.98236,36,arabic
22439,1,4.828402,-13.769669,36,chinese_medieval
47701,1,9.725906,29.974473,36,chinese_medieval
10559,1,2.265635,33.358895000000004,36,arabic
69996,1,14.323395999999999,-46.058093,36,chinese_medieval
98842,1,20.072108,-32.056296,36,arabic
14143,1,3.039588,4.3528839999999995,36,arabic
51523,1,10.522775,-53.715484,36,tupi
25278,1,5.407071,17.383534,36,korean
84671,1,17.310275,10.864475,36,korean
12484,1,2.677666,-54.549911,36,western
194,1,0.041583999999999996,8.485463000000001,36,seleucid
112833,1,22.850818,85.373739,36,chinese_medieval
78012,1,15.929884,37.946958,36,chinese_medieval
33478,1,6.95942,-24.630841,36,boorong
16602,1,3.5614550000000005,57.868725,36,tukano
71865,1,14.699332,-37.793498,36,chinese_medieval
37580,1,7.7121,34.000218,36,boorong
90830,1,18.529287,-45.914814,36,korean
60327,1,12.369675,24.773866,36,lokono
26795,1,5.690775,3.778039,36,boorong
518,1,0.10435599999999999,58.436733,36,tukano
59923,1,12.291827,28.937189,36,chinese_medieval
80197,1,16.372618,33.799052,36,chinese_medieval
33202,1,6.910732,13.177826999999999,36,korean
10795,1,2.316097,23.167815,36,chinese_medieval
18975,1,4.065723,8.197269,36,chinese_medieval
4572,1,0.9752850000000001,66.351793,36,chinese_medieval
80337,1,16.400354999999998,-39.19298,36,chinese_medieval
111056,1,22.498047,78.824285,36,chinese_medieval
14817,1,3.1881630000000003,39.611582,36,armintxe
115142,1,23.323327,-5.124352,36,korean
31173,1,6.540885,32.454898,36,chinese_medieval
41039,1,8.375471000000001,-48.490381,36,tupi
12832,1,2.7493279999999998,12.445761,36,maya
108991,1,22.079839,-0.906343,36,chinese_medieval
57870,1,11.869537,-56.987741,36,chinese_medieval
90642,1,18.494717,-1.985308,36,northern_andes
37300,1,7.657942,17.674519,36,chinese_medieval
51635,1,10.54913,-47.003353000000004,36,korean
72573,1,14.838814000000001,82.511944,36,chinese_medieval
61468,1,12.595987,-41.021945,36,chinese_medieval
42536,1,8.671553999999999,-52.921887,36,western
95771,1,19.478427,24.664904999999997,36,western
22565,1,4.8562389999999995,18.839861,36,chinese_medieval
36896,1,7.585777999999999,30.960924,36,boorong
10054,1,2.157062,81.29594499999997,36,chinese_medieval
62683,1,12.844769,-33.999302,36,navajo
29508,1,6.216499,10.287415,36,navajo
6981,1,1.498017,18.355669,36,chinese_medieval
16244,1,3.4894559999999997,49.508948,36,tukano
37704,1,7.7352539999999985,25.784159,36,seleucid
99158,1,20.130658,9.399833000000001,36,boorong
93015,1,18.949177,-67.23349499999999,36,western
79867,1,16.302721,68.55454499999999,36,korean
102388,1,20.747919,25.270617,36,korean
105269,1,21.322828,38.237473,36,armintxe
43067,1,8.772927000000001,-13.547720000000002,36,chinese_medieval
186,1,0.040046,8.956824000000003,36,seleucid
67627,1,13.857204999999999,64.723272,36,chinese_medieval
42201,1,8.604845,20.341506,36,egyptian
63613,1,13.037759,-71.548855,36,tupi
22028,1,4.73555,-18.666586,36,korean
12444,1,2.670117,-9.452875,36,chinese_medieval
14544,1,3.1298169999999996,47.308709,36,tukano
90098,1,18.387117,-61.493901,36,western
92382,1,18.826388,-43.434102,36,tukano
70027,1,14.329232999999999,16.306948000000002,36,chinese_medieval
47522,1,9.688058,-23.591514,36,korean
24799,1,5.316674,33.748394,36,korean
66936,1,13.717698,3.537903,36,chinese_medieval
57587,1,11.806524000000001,-10.313105,36,chinese_medieval
108952,1,22.073288,-29.916529999999998,36,chinese_medieval
70035,1,14.331002,-61.272971999999996,36,boorong
82321,1,16.820615,45.983323,36,egyptian
26870,1,5.704893,2.367177,36,boorong
106913,1,21.652812,-27.306571999999996,36,chinese_medieval
103635,1,20.997457999999998,16.824342,36,armintxe
13108,1,2.808913,18.28379,36,seleucid
112761,1,22.836137,50.676916999999996,36,chinese_medieval
86768,1,17.729728,-7.079608,36,northern_andes
3992,1,0.85509,3.38502,36,chinese_medieval
108587,1,21.997092000000002,70.86604,36,romanian
950,1,0.195552,-35.133119,36,chinese_medieval
56253,1,11.530832,81.127257,36,chinese_medieval
1921,1,0.404348,52.019914,36,chinese_medieval
966,1,0.19891,-42.172144,36,chinese_medieval
